DATAFLOW,MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MULT
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,AUS,_T,W,PT_VA,A,2018,20.424,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,AUT,_T,W,PT_VA,A,2018,35.866,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,BEL,_T,W,PT_VA,A,2018,38.242,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,CAN,_T,W,PT_VA,A,2018,24.212,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,CHL,_T,W,PT_VA,A,2018,25.673,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,COL,_T,W,PT_VA,A,2018,13.844,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,CRI,_T,W,PT_VA,A,2018,27.613,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,CZE,_T,W,PT_VA,A,2018,42.154,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,DNK,_T,W,PT_VA,A,2018,34.004,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,EST,_T,W,PT_VA,A,2018,43.527,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,FIN,_T,W,PT_VA,A,2018,27.171,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,FRA,_T,W,PT_VA,A,2018,23.289,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,DEU,_T,W,PT_VA,A,2018,31.115,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,GRC,_T,W,PT_VA,A,2018,24.633,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,HUN,_T,W,PT_VA,A,2018,45.403,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,ISL,_T,W,PT_VA,A,2018,32.951,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,IRL,_T,W,PT_VA,A,2018,68.595,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),FFD_DVA,ISR,_T,W,PT_VA,A,2018,24.591,0
