country_iso3_code,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre
ABW,59987.76900000005,84942.54900000004,0.0864648591948801,0.0134518466070293,0.1563327231915302,0.0042970259487396,0.0003453829436434,0.0359448596250625,0.3268262068556,0.017670264417845,0.5045106428346048,0.1047247481399082,0.0194698607592242,0.2250536418444425,0.522312840139128,0.0509373547277419,0.92184186749564
AFG,44876.50699999999,1331468.8420000004,0.0492309483890981,0.0130784962179436,0.1414459332875624,0.0021219343118661,0.0002625858403049,0.0165460807681446,0.4910223739115885,0.0409095208296258,0.3428083606630881,0.4519021500492451,0.0407860507523453,0.3841434541057028,0.994277406661798,0.0950366536402198,0.884943828824498
AGO,8643274.208999993,6855947.034999969,0.0187482533912051,0.0020517418112223,0.2016133671896149,0.0001636320873086,6.0597463065416005e-05,0.0594771798729337,0.8704841955801486,0.0011900422278316,0.3583171170166438,0.0524797837060037,0.0001655782953284,0.2728299936465323,0.941875864764666,0.0034679597974478,0.8922376577257248
AIA,12049.351999999995,0.0,0.12402559075376,0.012468466079066,,0.0127878246066676,0.0016734815777102,,0.1528902135152164,0.0542732457522651,,0.6997281679545923,0.010013073121721,,0.9894317968302364,0.0784282665307623,0.0
ALB,326493.5439999999,1241570.191000001,0.0052334664234585,0.0007625872586654,0.101868295418829,0.0009393171951969,0.0001872826021327,0.0297097250460646,0.8868271618871587,0.0253421755302629,0.3921254766980799,0.1046671936643255,0.039122952561973,0.3114561261240849,0.9976671391701398,0.0654149979530341,0.8351596232870586
AND,24528.438,150783.1270000002,0.1447640897475819,0.0306348573228801,0.04978678416717,0.0480581763910119,0.0026838226740601,0.0039009736149058,0.0475630368309633,0.0145423324464121,0.1523025185702641,0.7329085121523026,0.120214021055705,0.6986868563881152,0.9732938151218598,0.1680750334990575,0.9046771327404552
ARE,10097275.958999991,101052664.86000016,0.1102294262848126,0.0084645372550672,0.0881816408438651,0.0308915089838637,0.0065705777797173,0.0145151542419204,0.2287129189473711,0.0221892702111635,0.2485363527799594,0.5655022615194035,0.0139808190010471,0.241351503691557,0.9353361157354512,0.0512052042469952,0.5925846515573021
ARG,13335009.57700001,35146485.17399998,0.1106876275923952,0.0050708494608745,0.2212986257230002,0.0065007931564982,0.0006798547939372,0.0527742570506632,0.6498355164248405,0.0307863959382374,0.3322692961525215,0.1978327334350136,0.005070679989486,0.2716484653510343,0.9648566706087476,0.0416077801825352,0.8779906442772192
ARM,176323.44499999998,1147672.1910000022,0.0101621483178258,0.0019897952431521,0.1444386404932938,0.0004375084663301,6.349333593312796e-05,0.0264420025491407,0.1289145411150514,0.0128648609919137,0.3787208040836793,0.8538788928494452,0.4279575207578505,0.2896778832902809,0.9933930907486526,0.4428756703288495,0.8392793304163948
ATF,192.742,0.0,0.0,0.0,,0.532182918097768,0.067059299327456,,0.442939265961752,0.0778928067787451,,0.02487781594048,0.0021462896210764,,1.0,0.1470983957272777,0.0
ATG,8551.472999999996,231249.13600000017,0.0914517300118939,0.0142824217525561,0.3727997712389286,0.0377254304609276,0.0126424459796323,0.073097146620258,0.4230867594389879,0.0662409883186943,0.083753584272851,0.1849351567852697,0.0286080881452154,0.0363432190293675,0.7371990766970791,0.1217739441960983,0.5659937211614052
AUS,28741196.049999926,141175601.7199997,0.1447923649997166,0.0150815488018101,0.1163836626288122,0.0078677854118044,0.0008588564086542,0.0300513034427462,0.3048850530352243,0.0237453123287293,0.3689027022905343,0.3735587193839159,0.0146360444573373,0.2533593687947628,0.8311039228306613,0.054321761996531,0.7686970371568557
AUT,32670474.93799984,26145661.579000022,0.3086122491679117,0.0323058459344135,0.1355274118535241,0.1103249213193307,0.0050971270865494,0.0179364775139851,0.2698164190979366,0.0539601014672202,0.2844183118308537,0.1701067203812203,0.0277585639451318,0.3069920285148497,0.8588603099663993,0.1191216384333151,0.7448742297132127
AZE,433162.6369999997,2123658.517000004,0.0140164212731949,0.0024519016844395,0.2018559596886449,0.0003030570709172,7.64274363147199e-05,0.0250731233735352,0.8926005961128183,0.0046643173284534,0.3805586672859606,0.0076460588173951,0.0010685681644797,0.2693697919984362,0.9145661332743256,0.0082612146136874,0.8768575423465771
BDI,25702.77999999999,325376.44000000047,0.0066578790309841,0.0003519841828388,0.1464952041395497,0.0,0.0,0.0194993466644357,0.1163491653432041,0.0011800884312978,0.4122433972170813,0.8054230709674208,0.0057183457172059,0.3022792861093439,0.9284301153416092,0.0072504183313426,0.8805172341304107
BEL,49078788.10299995,29115618.567000173,0.1496039392331939,0.0113746362588131,0.128233948985432,0.028336817813865,0.0021493172267093,0.0289197299058707,0.1790662287657997,0.0270452805816782,0.3897128733806295,0.2679386110839232,0.0088413848771552,0.2953423410260719,0.624945596896782,0.0494106189443559,0.8422088932980042
