country_iso3_code,wb_region,wb_region_id
ABW,Latin America & Caribbean,LCN
AFG,"Middle East, North Africa, Afghanistan & Pakistan",MEA
AGO,Sub-Saharan Africa,SSF
ALB,Europe & Central Asia,ECS
AND,Europe & Central Asia,ECS
ARE,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ARG,Latin America & Caribbean,LCN
ARM,Europe & Central Asia,ECS
ASM,East Asia & Pacific,EAS
ATG,Latin America & Caribbean,LCN
AUS,East Asia & Pacific,EAS
AUT,Europe & Central Asia,ECS
AZE,Europe & Central Asia,ECS
BDI,Sub-Saharan Africa,SSF
BEL,Europe & Central Asia,ECS
BEN,Sub-Saharan Africa,SSF
BFA,Sub-Saharan Africa,SSF
BGD,South Asia,SAS
BGR,Europe & Central Asia,ECS
BHR,"Middle East, North Africa, Afghanistan & Pakistan",MEA
BHS,Latin America & Caribbean,LCN
BIH,Europe & Central Asia,ECS
BLR,Europe & Central Asia,ECS
BLZ,Latin America & Caribbean,LCN
BMU,North America,NAC
BOL,Latin America & Caribbean,LCN
BRA,Latin America & Caribbean,LCN
BRB,Latin America & Caribbean,LCN
BRN,East Asia & Pacific,EAS
BTN,South Asia,SAS
BWA,Sub-Saharan Africa,SSF
CAF,Sub-Saharan Africa,SSF
CAN,North America,NAC
CHE,Europe & Central Asia,ECS
CHI,Europe & Central Asia,ECS
CHL,Latin America & Caribbean,LCN
CHN,East Asia & Pacific,EAS
CIV,Sub-Saharan Africa,SSF
CMR,Sub-Saharan Africa,SSF
COD,Sub-Saharan Africa,SSF
COG,Sub-Saharan Africa,SSF
COL,Latin America & Caribbean,LCN
COM,Sub-Saharan Africa,SSF
CPV,Sub-Saharan Africa,SSF
CRI,Latin America & Caribbean,LCN
CUB,Latin America & Caribbean,LCN
CUW,Latin America & Caribbean,LCN
CYM,Latin America & Caribbean,LCN
CYP,Europe & Central Asia,ECS
CZE,Europe & Central Asia,ECS
DEU,Europe & Central Asia,ECS
DJI,"Middle East, North Africa, Afghanistan & Pakistan",MEA
DMA,Latin America & Caribbean,LCN
DNK,Europe & Central Asia,ECS
DOM,Latin America & Caribbean,LCN
DZA,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ECU,Latin America & Caribbean,LCN
EGY,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ERI,Sub-Saharan Africa,SSF
ESP,Europe & Central Asia,ECS
EST,Europe & Central Asia,ECS
ETH,Sub-Saharan Africa,SSF
FIN,Europe & Central Asia,ECS
FJI,East Asia & Pacific,EAS
FRA,Europe & Central Asia,ECS
FRO,Europe & Central Asia,ECS
FSM,East Asia & Pacific,EAS
GAB,Sub-Saharan Africa,SSF
GBR,Europe & Central Asia,ECS
GEO,Europe & Central Asia,ECS
GHA,Sub-Saharan Africa,SSF
GIB,Europe & Central Asia,ECS
GIN,Sub-Saharan Africa,SSF
GMB,Sub-Saharan Africa,SSF
GNB,Sub-Saharan Africa,SSF
GNQ,Sub-Saharan Africa,SSF
GRC,Europe & Central Asia,ECS
GRD,Latin America & Caribbean,LCN
GRL,Europe & Central Asia,ECS
GTM,Latin America & Caribbean,LCN
GUM,East Asia & Pacific,EAS
GUY,Latin America & Caribbean,LCN
HKG,East Asia & Pacific,EAS
HND,Latin America & Caribbean,LCN
HRV,Europe & Central Asia,ECS
HTI,Latin America & Caribbean,LCN
HUN,Europe & Central Asia,ECS
IDN,East Asia & Pacific,EAS
IMN,Europe & Central Asia,ECS
IND,South Asia,SAS
IRL,Europe & Central Asia,ECS
IRN,"Middle East, North Africa, Afghanistan & Pakistan",MEA
IRQ,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ISL,Europe & Central Asia,ECS
ISR,"Middle East, North Africa, Afghanistan & Pakistan",MEA
ITA,Europe & Central Asia,ECS
JAM,Latin America & Caribbean,LCN
JOR,"Middle East, North Africa, Afghanistan & Pakistan",MEA
JPN,East Asia & Pacific,EAS
KAZ,Europe & Central Asia,ECS
KEN,Sub-Saharan Africa,SSF
KGZ,Europe & Central Asia,ECS
KHM,East Asia & Pacific,EAS
KIR,East Asia & Pacific,EAS
