country_id,country_iso3_code,year,export_value,import_value,eci,coi,diversity,growth_proj
4,AFG,1995,96180114,321516025,-0.586,-0.565,98,
4,AFG,1996,111171218,465359933,-0.591,-0.605,87,
4,AFG,1997,137826924,409803774,-0.265,-0.271,101,
4,AFG,1998,145173197,357924534,-0.734,-0.61,90,
4,AFG,1999,121710908,407105905,-0.521,-0.506,99,
4,AFG,2000,136231281,592652411,-0.426,-0.47,102,
4,AFG,2001,88091582,511575345,-0.111,-0.324,106,
4,AFG,2002,89719228,986897712,-0.285,-0.083,129,
4,AFG,2003,161525043,1591023532,-0.181,-0.568,84,
4,AFG,2004,178250434,1952662742,-0.298,-0.652,154,
4,AFG,2005,242578658,3573653310,0.046,-0.416,89,
4,AFG,2006,221286555,3489252037,-0.631,-0.649,85,
4,AFG,2007,334522079,3746080636,-0.71,-0.668,96,
4,AFG,2008,496021792,6232229975,-0.077,-0.332,98,
4,AFG,2009,1129248571,7414508971,0.394,0.758,160,
4,AFG,2010,552316479,10099589299,-0.13,0.057,124,
4,AFG,2011,491643490,13244330899,-0.903,-0.752,76,
4,AFG,2012,632759078,11411277994,-0.75,-0.832,76,
4,AFG,2013,723004232,11335073399,-0.776,-0.798,79,
4,AFG,2014,822887729,9808028136,-1.011,-0.854,74,
4,AFG,2015,823382186,10221812060,-1.361,-0.989,66,
4,AFG,2016,923569270,9525384595,-1.512,-1.081,71,
4,AFG,2017,953492744,11047172741,-1.403,-0.858,81,
4,AFG,2018,1102570793,11033859789,-1.313,-0.938,84,
4,AFG,2019,1828059000,9416979195,-1.217,-0.858,88,
4,AFG,2020,1577984811,8712236479,-1.141,-0.928,80,
4,AFG,2021,1730305617,7376480719,-1.318,-0.957,78,4.828
4,AFG,2022,1525000890,7488357006,-1.351,-1.011,81,4.252
4,AFG,2023,1494815799,6923025943,-1.263,-1.068,83,4.016
4,AFG,2024,1463510157,5727948710,-0.803,-1.036,71,3.36
8,ALB,1995,217417322,854181581,-0.47,-0.58,128,
8,ALB,1996,280097918,1168056325,-0.282,0.071,176,
8,ALB,1997,231560587,731503628,-0.393,-0.147,165,
8,ALB,1998,249379051,785289031,-0.417,-0.273,155,
8,ALB,1999,265318559,983702826,-0.364,-0.277,153,
8,ALB,2000,281588414,978019865,-0.287,0.012,167,
8,ALB,2001,315662932,1261331974,-0.345,-0.016,162,
8,ALB,2002,321228859,1364642367,-0.209,-0.265,148,
8,ALB,2003,458324629,1676180265,-0.091,-0.024,165,
8,ALB,2004,552840598,2062506186,-0.116,-0.158,313,2.92
8,ALB,2005,615895618,2321102014,-0.142,-0.179,155,2.53
8,ALB,2006,753888900,2659499234,-0.279,-0.011,169,2.25
8,ALB,2007,1067116347,3552826986,-0.296,-0.13,168,2.53
8,ALB,2008,1958594706,4670652718,0.351,0.646,211,3.75
8,ALB,2009,1877220361,4360816512,0.358,1.028,237,3.95
8,ALB,2010,1607349474,4038358119,-0.374,-0.274,162,2.02
8,ALB,2011,1960123328,4657335031,-0.465,-0.171,165,2.08
8,ALB,2012,1981332243,4502033329,-0.3,-0.149,166,2.25
8,ALB,2013,2549205960,4510574345,-0.264,-0.197,163,2.21
8,ALB,2014,2532632777,4768638325,-0.402,-0.517,140,1.83
8,ALB,2015,2006481670,4169698209,-0.505,-0.328,160,2.67
8,ALB,2016,2059265781,4445495478,-0.428,-0.112,175,3.73
8,ALB,2017,2342561361,4942940124,-0.331,-0.32,163,3.31
8,ALB,2018,2742478502,5651112797,-0.257,-0.218,161,3.38
8,ALB,2019,2706852123,5487209429,-0.292,-0.238,162,3.32
8,ALB,2020,2402784748,5319651744,-0.24,-0.007,179,3.22
8,ALB,2021,3331613569,7051893908,-0.22,-0.016,176,3.22
8,ALB,2022,4486490271,7653105095,-0.279,0.053,177,1.558
8,ALB,2023,3988885220,9259744634,-0.156,0.192,195,1.807
