country_iso3_code,cate_mean_country,dv
COD,-0.5777940946321056,DV1_GVC_Linkage_Change
AGO,-0.43634586890815996,DV1_GVC_Linkage_Change
BGD,-0.15026472757450382,DV1_GVC_Linkage_Change
CIV,-0.12686101531150584,DV1_GVC_Linkage_Change
BLR,-0.12645235659674064,DV1_GVC_Linkage_Change
PAK,-0.11472440973093868,DV1_GVC_Linkage_Change
CHN,-0.06874316263575725,DV1_GVC_Linkage_Change
MAR,-0.05545869470866641,DV1_GVC_Linkage_Change
CMR,-0.04800478245438183,DV1_GVC_Linkage_Change
KOR,-0.04680083279461064,DV1_GVC_Linkage_Change
USA,-0.026473928059731627,DV1_GVC_Linkage_Change
KHM,-0.007697507852752349,DV1_GVC_Linkage_Change
FRA,0.003776459162350353,DV1_GVC_Linkage_Change
GBR,0.011779711792708,DV1_GVC_Linkage_Change
TUR,0.03364438798162728,DV1_GVC_Linkage_Change
PHL,0.04272757236086604,DV1_GVC_Linkage_Change
DEU,0.04286767200793943,DV1_GVC_Linkage_Change
SAU,0.06528555691511301,DV1_GVC_Linkage_Change
ISR,0.07192891511707307,DV1_GVC_Linkage_Change
THA,0.07585456880255667,DV1_GVC_Linkage_Change
UKR,0.07853586818388138,DV1_GVC_Linkage_Change
FIN,0.0865626945994143,DV1_GVC_Linkage_Change
ROU,0.10183027468976502,DV1_GVC_Linkage_Change
ITA,0.102290397063801,DV1_GVC_Linkage_Change
CZE,0.10400749029528636,DV1_GVC_Linkage_Change
KAZ,0.12224540125654196,DV1_GVC_Linkage_Change
ESP,0.12616258125232002,DV1_GVC_Linkage_Change
JPN,0.12848891234639626,DV1_GVC_Linkage_Change
SVN,0.13509167145262843,DV1_GVC_Linkage_Change
BGR,0.14322435547153342,DV1_GVC_Linkage_Change
LVA,0.15290201341917753,DV1_GVC_Linkage_Change
CRI,0.1608490365997079,DV1_GVC_Linkage_Change
AUT,0.16319991124162841,DV1_GVC_Linkage_Change
EST,0.1712465054292149,DV1_GVC_Linkage_Change
SWE,0.17297777047101823,DV1_GVC_Linkage_Change
NZL,0.1740451098682229,DV1_GVC_Linkage_Change
LTU,0.17446600549126515,DV1_GVC_Linkage_Change
IND,0.17936664891687737,DV1_GVC_Linkage_Change
HRV,0.1870530341444425,DV1_GVC_Linkage_Change
LAO,0.20335366204655786,DV1_GVC_Linkage_Change
JOR,0.21523098290767326,DV1_GVC_Linkage_Change
MEX,0.21565251190477705,DV1_GVC_Linkage_Change
SEN,0.21628926229933454,DV1_GVC_Linkage_Change
CAN,0.22568517255569953,DV1_GVC_Linkage_Change
SVK,0.22578309676334657,DV1_GVC_Linkage_Change
IRL,0.2357370154472214,DV1_GVC_Linkage_Change
EGY,0.2447203680050296,DV1_GVC_Linkage_Change
GRC,0.2501194922759714,DV1_GVC_Linkage_Change
HUN,0.2539645541382039,DV1_GVC_Linkage_Change
PRT,0.25861198974612676,DV1_GVC_Linkage_Change
SGP,0.2609375188482017,DV1_GVC_Linkage_Change
DNK,0.2871292769501037,DV1_GVC_Linkage_Change
CHE,0.28974583227941014,DV1_GVC_Linkage_Change
BEL,0.3060146813308273,DV1_GVC_Linkage_Change
ISL,0.3137032195114411,DV1_GVC_Linkage_Change
POL,0.3432304211928305,DV1_GVC_Linkage_Change
LUX,0.35109505247533657,DV1_GVC_Linkage_Change
BRN,0.35132989088822614,DV1_GVC_Linkage_Change
NLD,0.3520226776983416,DV1_GVC_Linkage_Change
VNM,0.35614514428010097,DV1_GVC_Linkage_Change
RUS,0.3682723517165254,DV1_GVC_Linkage_Change
BRA,0.3794281831189612,DV1_GVC_Linkage_Change
MLT,0.3835025219693533,DV1_GVC_Linkage_Change
TUN,0.39369306042388197,DV1_GVC_Linkage_Change
ARG,0.40251833821610794,DV1_GVC_Linkage_Change
HKG,0.42664901383031095,DV1_GVC_Linkage_Change
IDN,0.44386712049522886,DV1_GVC_Linkage_Change
CYP,0.45315886643595743,DV1_GVC_Linkage_Change
COL,0.4626339012933837,DV1_GVC_Linkage_Change
ZAF,0.49648904493977664,DV1_GVC_Linkage_Change
ARE,0.5371078418420661,DV1_GVC_Linkage_Change
MYS,0.5757049133884229,DV1_GVC_Linkage_Change
PER,0.611925144050852,DV1_GVC_Linkage_Change
NOR,0.6778182583387181,DV1_GVC_Linkage_Change
