dv,group_type,group_name,cate_mean
DV1_GVC_Linkage_Change,eci_tercile,low,0.17423140793706274
DV1_GVC_Linkage_Change,eci_tercile,mid,0.24814882414696937
DV1_GVC_Linkage_Change,eci_tercile,high,0.17242374985780579
DV1_GVC_Linkage_Change,size_quartile,Q1_smallest,0.13440161266820294
DV1_GVC_Linkage_Change,size_quartile,Q2,0.17039194732709353
DV1_GVC_Linkage_Change,size_quartile,Q3,0.31883080344955655
DV1_GVC_Linkage_Change,size_quartile,Q4_largest,0.16926389548747214
DV2_Export_Recovery,eci_tercile,low,0.20783841682877777
DV2_Export_Recovery,eci_tercile,mid,0.046113062182827354
DV2_Export_Recovery,eci_tercile,high,0.023108694338480375
DV2_Export_Recovery,size_quartile,Q1_smallest,0.12215046481798712
DV2_Export_Recovery,size_quartile,Q2,0.15480674611892659
DV2_Export_Recovery,size_quartile,Q3,0.06563951650124558
DV2_Export_Recovery,size_quartile,Q4_largest,0.025824777517673626
DV3_Partner_Diversification,eci_tercile,low,0.007088554970431266
DV3_Partner_Diversification,eci_tercile,mid,-0.04223480978094415
DV3_Partner_Diversification,eci_tercile,high,-0.12567054382952203
DV3_Partner_Diversification,size_quartile,Q1_smallest,0.013036240580603068
DV3_Partner_Diversification,size_quartile,Q2,-0.03651572066237197
DV3_Partner_Diversification,size_quartile,Q3,-0.08386149828322027
DV3_Partner_Diversification,size_quartile,Q4_largest,-0.10875394838695476
