spec,outcome,term,coef,se,p_cluster_two_sided,n_obs,n_countries,n_years,r2_within
ratio_continuous_exposure,Ratio export recovery,post_x_exposure,1.4348140851023514,1.4144459565947936,0.31146245128411254,2529,230,11,0.007944416698435486
ratio_continuous_exposure,Ratio export recovery,post_x_eci_below,0.8722561397204334,0.6141670679796838,0.15690186262519176,2529,230,11,0.007944416698435486
ratio_continuous_exposure,Ratio export recovery,post_x_eci_above,-1.2717035036850264,1.1121086507210596,0.2540223183331845,2529,230,11,0.007944416698435486
ratio_continuous_exposure,Ratio export recovery,h6_low_slope,1.0174808285171053,0.9895400474260351,0.3049235984760572,2529,230,11,0.007944416698435486
ratio_continuous_exposure,Ratio export recovery,h6_high_slope,-1.9896996006451586,1.9470179355680681,0.3078963752740269,2529,230,11,0.007944416698435486
winsorized_ratio_continuous_exposure,Winsorized ratio export recovery (1/99),post_x_exposure,-0.05404550658393606,0.09244513128184165,0.559377081818883,2529,230,11,0.014598372276192761
winsorized_ratio_continuous_exposure,Winsorized ratio export recovery (1/99),post_x_eci_below,0.20462874500317174,0.13860549886062543,0.141226585278057,2529,230,11,0.014598372276192761
winsorized_ratio_continuous_exposure,Winsorized ratio export recovery (1/99),post_x_eci_above,-0.13749475337119926,0.044254337075249756,0.0021294064328822504,2529,230,11,0.014598372276192761
winsorized_ratio_continuous_exposure,Winsorized ratio export recovery (1/99),h6_low_slope,0.007405587088351837,0.08846583858859271,0.9333591326775567,2529,230,11,0.014598372276192761
winsorized_ratio_continuous_exposure,Winsorized ratio export recovery (1/99),h6_high_slope,-0.008138275251412747,0.06053872014822961,0.8931799152636204,2529,230,11,0.014598372276192761
pretrend_adjusted_log_continuous_exposure,Pretrend-adjusted log export deviation,post_x_exposure,-0.06396726941769126,0.12599012664515435,0.6121408063257042,2529,230,11,0.003108036483851273
pretrend_adjusted_log_continuous_exposure,Pretrend-adjusted log export deviation,post_x_eci_below,0.06307866359914666,0.20929244754879173,0.7633905691831525,2529,230,11,0.003108036483851273
pretrend_adjusted_log_continuous_exposure,Pretrend-adjusted log export deviation,post_x_eci_above,-0.05115667734434279,0.08718178693760098,0.5579283364468202,2529,230,11,0.003108036483851273
pretrend_adjusted_log_continuous_exposure,Pretrend-adjusted log export deviation,h6_low_slope,0.003272013202620036,0.20720272320472272,0.9874145890076852,2529,230,11,0.003108036483851273
pretrend_adjusted_log_continuous_exposure,Pretrend-adjusted log export deviation,h6_high_slope,0.05920784990749578,0.13604163221058144,0.6638136545132892,2529,230,11,0.003108036483851273
log_continuous_exposure_excl_bottom_export_decile,Log export recovery,post_x_exposure,-0.07924782092179382,0.09424321727592629,0.40138668166505914,2277,207,11,0.03037732885977562
log_continuous_exposure_excl_bottom_export_decile,Log export recovery,post_x_eci_below,0.16654721675536616,0.10484872038547406,0.11371766478397531,2277,207,11,0.03037732885977562
log_continuous_exposure_excl_bottom_export_decile,Log export recovery,post_x_eci_above,-0.11111146146325014,0.03447334625714456,0.0014742473292971717,2277,207,11,0.03037732885977562
log_continuous_exposure_excl_bottom_export_decile,Log export recovery,h6_low_slope,0.001693261537095966,0.09460353453013479,0.9857371476069849,2277,207,11,0.03037732885977562
log_continuous_exposure_excl_bottom_export_decile,Log export recovery,h6_high_slope,-0.005464800982490044,0.05624554890321539,0.9226940299637596,2277,207,11,0.03037732885977562
log_continuous_exposure_export_size_weighted,Log export recovery,post_x_exposure,-0.14468042396219352,0.11429452159186793,0.20685088066637125,2529,230,11,0.017777840239044607
log_continuous_exposure_export_size_weighted,Log export recovery,post_x_eci_below,0.04894685949192659,0.10888484373544015,0.6534755065050695,2529,230,11,0.017777840239044607
log_continuous_exposure_export_size_weighted,Log export recovery,post_x_eci_above,-0.01667084779360218,0.027140891786783247,0.5396707120235591,2529,230,11,0.017777840239044607
log_continuous_exposure_export_size_weighted,Log export recovery,h6_low_slope,-0.04947915360149748,0.13809277680952792,0.7204461187211637,2529,230,11,0.017777840239044607
log_continuous_exposure_export_size_weighted,Log export recovery,h6_high_slope,0.06567146312640725,0.058549377458942994,0.2631892741846319,2529,230,11,0.017777840239044607
log_top_tercile_exposure,Log export recovery,post_x_exposure,-0.013640329745767581,0.13436386100842887,0.9192282221628416,2529,230,11,0.015392938989419513
log_top_tercile_exposure,Log export recovery,post_x_eci_below,0.21477668931172378,0.1027944158932419,0.03777762783442556,2529,230,11,0.015392938989419513
log_top_tercile_exposure,Log export recovery,post_x_eci_above,-0.05592278706915447,0.04095394357488447,0.17343437365602732,2529,230,11,0.015392938989419513
log_top_tercile_exposure,Log export recovery,h6_low_slope,-0.093099320257923,0.2782030253946757,0.7381990113603845,2529,230,11,0.015392938989419513
log_top_tercile_exposure,Log export recovery,h6_high_slope,-0.14138249417750456,0.10204745539084954,0.16726030368255965,2529,230,11,0.015392938989419513
log_top_quartile_exposure,Log export recovery,post_x_exposure,-0.05784413418105982,0.15641748473963046,0.7118687596476114,2529,230,11,0.013670544507624727
log_top_quartile_exposure,Log export recovery,post_x_eci_below,0.15741753714791554,0.1187496471225988,0.1862847286528328,2529,230,11,0.013670544507624727
log_top_quartile_exposure,Log export recovery,post_x_eci_above,-0.06979371094604511,0.04002645051367873,0.08255516708440928,2529,230,11,0.013670544507624727
log_top_quartile_exposure,Log export recovery,h6_low_slope,0.06271011671224921,0.25088736551132146,0.8028475707753802,2529,230,11,0.013670544507624727
log_top_quartile_exposure,Log export recovery,h6_high_slope,-0.10305684248536429,0.11121709638556235,0.3550954050169342,2529,230,11,0.013670544507624727
log_continuous_exposure_pre_shock_controls_x_year,Log export recovery,post_x_exposure,0.052096277541982226,0.05820436621124392,0.3719785890831494,1947,177,11,0.1413025929104491
log_continuous_exposure_pre_shock_controls_x_year,Log export recovery,post_x_eci_below,0.24927434628726092,0.11084183723285933,0.025757579631371513,1947,177,11,0.1413025929104491
log_continuous_exposure_pre_shock_controls_x_year,Log export recovery,post_x_eci_above,0.005712667160847135,0.05431638065683414,0.9163575648806569,1947,177,11,0.1413025929104491
log_continuous_exposure_pre_shock_controls_x_year,Log export recovery,h6_low_slope,0.06987118733262536,0.06381381304535458,0.27504666797565464,1947,177,11,0.1413025929104491
log_continuous_exposure_pre_shock_controls_x_year,Log export recovery,h6_high_slope,-0.06022878635349635,0.04310824974255446,0.16412676387309943,1947,177,11,0.1413025929104491
