replication,threshold_eci_pre,rss_selected
1,0.29248333,457.08779123293306
2,-0.73366667,458.1047420045969
3,-0.901,461.9980322389599
4,-0.901,460.1825780961775
5,0.41953333,456.0473744994406
6,-0.901,459.9018718436399
7,0.41953333,455.15491186597075
8,-0.73366667,457.1078157238675
9,-0.38246667,460.7324238223363
10,-0.57743333,460.9155880447358
11,0.41953333,459.56527154948367
12,-0.901,461.97421745797334
13,-0.901,459.66262874581275
14,0.29248333,459.0094847800334
15,-0.73366667,460.9045549782992
16,-0.73366667,461.9046070912717
17,-0.57743333,460.6921215709584
18,-0.73366667,458.54258166675794
19,0.74525,458.35094798534806
20,0.29248333,458.65430666930297
21,-0.901,462.1464985545494
22,0.55501667,460.680849142533
23,-0.73366667,457.1679443533329
24,-0.73366667,461.22916291739557
25,0.29248333,458.8062503639571
26,-0.73366667,457.35077331199795
27,-0.1952,458.30341488546895
28,-0.73366667,450.7998016478732
29,0.62873333,455.0955327388621
30,0.29248333,457.9870645116693
31,-0.38246667,458.7655417827766
32,-0.73366667,457.1844376458953
33,-0.57743333,460.1052430067729
34,-0.901,457.92623686627184
35,-0.73366667,456.13816354950654
36,-0.901,462.7677529276878
37,0.29248333,454.55512608994906
38,-0.901,461.91816219681544
39,-0.901,461.28897797283054
40,0.41953333,460.3122959341679
41,-0.73366667,458.193101216266
42,-0.1952,460.6846169037961
43,0.29248333,458.6420414235585
44,-0.901,458.76097489364656
45,-0.901,461.54182558267183
46,-0.73366667,456.09190806081705
47,-0.57743333,459.24431286863376
48,-0.73366667,457.74016917708
49,-0.901,460.85508681936756
50,0.29248333,458.4718949767657
51,-0.73366667,460.6714976306536
52,-0.38246667,460.9868539130921
53,-0.901,461.2836617429364
54,0.29248333,460.529665530393
55,0.29248333,456.86322987168865
56,-0.901,459.88871959239606
57,-0.901,460.6909869614648
58,-0.73366667,457.2688124097298
59,-0.38246667,456.64476782556744
60,0.29248333,461.8886464607226
61,-0.901,460.6962346541635
62,-0.901,459.81660871474577
63,0.87593333,458.4495438084123
64,0.55501667,457.7768319367741
65,-0.73366667,460.2515223367177
66,-0.57743333,458.99905591736933
67,-0.73366667,457.976823979296
68,-0.901,459.4777921283539
69,-0.901,459.79220646628295
70,0.29248333,457.05927609695436
71,0.29248333,458.87128470231096
72,-0.901,460.52179608821086
73,-0.901,459.3882503791485
74,-0.901,461.1184137654467
75,0.29248333,458.82114919186586
76,0.29248333,460.5967621654179
77,-0.901,457.12316559202515
78,-0.901,458.53150455894223
79,0.41953333,459.4660311115238
80,0.55501667,454.07016757313846
81,-0.73366667,458.80879904366725
82,0.09716667,457.56667501514437
83,0.87593333,460.05465153584885
84,0.29248333,453.939865107362
85,-0.901,460.99407155552535
86,0.29248333,461.41405697508094
87,-0.57743333,458.88458865708196
88,-0.73366667,457.4133494814157
89,-0.901,461.7673380173725
90,0.41953333,457.70417950979913
91,-0.901,461.3204433363841
92,-0.901,460.0330008309511
93,-0.901,461.38436511751024
94,0.29248333,460.4420607411414
95,-0.38246667,459.8153696690889
96,-0.901,461.7756952011048
97,-0.901,458.48705316821605
98,-0.901,460.35271973792493
99,0.29248333,458.50877173556535
100,-0.901,460.5092737346674
101,-0.57743333,456.866515648485
102,0.62873333,458.0035232136454
103,0.29248333,453.5863323528942
104,0.09716667,460.83141145893563
105,0.62873333,455.52757330082846
106,-0.73366667,457.4733066462509
107,-0.73366667,454.114129859942
108,-0.901,453.7677658523753
109,0.41953333,449.1221887801991
110,0.29248333,455.2984636817802
111,-0.901,461.6045056177705
112,0.41953333,458.586110386894
113,-0.901,460.63048968522776
114,0.09716667,460.1324627531068
115,-0.73366667,453.93249130443644
116,-0.73366667,461.9688154122302
117,-0.901,460.4926869076361
118,-0.73366667,461.158012892314
119,-0.901,461.1592937787058
120,-0.901,462.79011006738665
121,0.29248333,461.22230442452116
122,0.09716667,459.79125994765167
123,-0.38246667,457.3193973964401
124,-0.901,456.55309551870175
125,-0.901,458.44770633710374
126,-0.901,457.87544751982006
127,0.74525,459.3271071113704
128,0.62873333,453.82051594465395
129,-0.73366667,461.3615750215498
130,-0.73366667,459.13998798265516
131,-0.73366667,455.5141458547895
132,-0.901,460.12121569493814
133,0.62873333,455.88462963091337
134,-0.901,461.658955181303
135,0.29248333,459.30235412043123
136,-0.73366667,462.1167360169899
137,-0.73366667,459.1757166123498
138,-0.57743333,458.8773854129735
139,-0.73366667,459.6972585555688
140,-0.73366667,457.0184815015332
141,-0.901,454.9684721358292
142,-0.901,459.49469373759445
143,-0.901,461.11200084100733
144,-0.901,461.1764719916978
145,0.87593333,459.2741470516165
146,-0.901,461.89421143573765
147,-0.03496667,461.1044832572415
148,-0.73366667,458.23258398862964
149,-0.57743333,459.4760252800777
150,0.29248333,460.84009366303445
151,-0.901,461.8596983942284
152,0.29248333,458.755539513533
153,-0.901,456.343998433027
154,-0.1952,458.91851816013536
155,-0.901,461.16421742398785
156,-0.38246667,458.3965016725434
157,-0.73366667,457.0140549388852
158,-0.73366667,460.9319544510312
159,-0.901,455.0647396428435
160,-0.901,460.6141148495545
161,0.41953333,455.0671820212845
162,-0.901,460.73912124960134
163,0.29248333,459.2804677190792
164,-0.1952,456.4943964125769
165,-0.38246667,458.2645173231158
166,-0.73366667,461.1084024967544
167,-0.73366667,460.7674796223085
168,0.74525,458.39692801793933
169,-0.901,461.83158346934096
170,-0.901,462.0675076533802
171,-0.901,461.58984941886536
172,0.29248333,458.2301200110268
173,-0.901,459.6435520803257
174,0.29248333,460.9036705510923
175,-0.73366667,460.16115972744717
176,-0.73366667,456.5204541237996
177,0.29248333,457.5090530404527
178,-0.57743333,458.9392263683641
179,-0.1952,457.771448050394
180,-0.901,461.4255648844127
181,0.29248333,455.84434047362083
182,-0.73366667,460.85176760353767
183,0.29248333,451.46130964766746
184,0.29248333,459.8499017209738
185,-0.901,458.87605251431876
186,0.87593333,460.01942500801266
187,-0.901,460.8782019776103
188,-0.1952,461.76789823183174
189,0.87593333,458.62620122789826
190,0.74525,456.4673287287129
191,-0.73366667,459.2687669427489
192,-0.73366667,457.34237968651223
193,-0.901,462.4741899232744
194,-0.57743333,459.5696584683824
195,-0.73366667,457.510478743095
196,-0.901,455.7674038557029
197,-0.73366667,461.09253506522214
198,0.87593333,460.3320326615303
199,-0.38246667,461.3854810552899
200,-0.901,460.1019144055821
201,-0.73366667,460.27481447003663
202,0.29248333,460.7664703244554
203,0.29248333,457.6316761225281
204,0.29248333,460.62315164128876
205,-0.38246667,458.75449221761386
206,-0.73366667,458.09486663595897
207,0.29248333,460.8755193487301
208,0.29248333,455.52520760455576
209,0.41953333,458.5642674444892
210,-0.57743333,460.68854733409324
211,-0.901,460.8879616874461
212,-0.1952,460.5374072075167
213,0.29248333,461.38026806073435
214,0.87593333,461.94464712204075
215,-0.73366667,460.11786422676914
216,0.29248333,459.7848044184595
217,-0.57743333,455.1013756383367
218,-0.73366667,456.81869218434133
219,-0.901,462.6550443594643
220,0.41953333,458.0457794912801
221,-0.901,457.0541775857581
222,-0.901,461.134968367939
223,0.29248333,460.59411794897426
224,-0.57743333,460.02841380548523
225,0.41953333,455.0256825918637
226,0.29248333,454.58826223355004
227,-0.57743333,450.32569996061574
228,-0.901,458.83677083457746
229,-0.901,457.86334698174994
230,-0.73366667,460.8251471451557
231,-0.901,457.143817136653
232,-0.901,460.87637569453506
233,0.62873333,458.3030449783038
234,-0.901,458.8545536062582
235,-0.901,459.01655963294786
236,-0.901,457.8106916521915
237,-0.73366667,456.5309192735913
238,-0.901,461.3224066978481
239,-0.73366667,460.6643996168365
240,0.29248333,458.17722751740223
241,-0.901,462.12340285130017
242,-0.57743333,459.8810052879281
243,-0.73366667,460.24702256947467
244,-0.73366667,457.9775404066399
245,-0.901,460.64287421496704
246,-0.73366667,462.10103536900436
247,-0.57743333,454.4740671978726
248,-0.901,462.3291507911054
249,0.87593333,456.29993154242567
250,-0.901,456.0899134885507
251,-0.73366667,456.4982013861315
252,0.29248333,457.25575216588095
253,0.29248333,460.03286014676405
254,-0.901,455.1759442630855
255,0.87593333,459.8978807989561
256,-0.901,460.6698978931977
257,-0.73366667,461.1340592829879
258,-0.73366667,462.1488466593688
259,-0.73366667,457.4486556066075
260,-0.901,460.137237835395
261,0.41953333,459.3642672846448
262,0.55501667,461.982950971204
263,0.09716667,460.1488485371936
264,-0.57743333,457.26759373665817
265,-0.73366667,455.9215161810979
266,-0.73366667,461.27014011065074
267,-0.901,455.8937987082654
268,0.29248333,460.25743861323224
269,-0.901,460.1621477284913
270,0.29248333,461.2074589310994
271,-0.901,461.9085063071598
272,-0.901,456.26288470016743
273,0.74525,461.6141478511896
274,-0.73366667,461.5202439055418
275,0.29248333,459.11882170223225
276,-0.57743333,454.90426044018056
277,-0.901,461.2832207874343
278,-0.57743333,458.3775204235724
279,-0.901,457.67622465039733
280,-0.901,461.5133774172
281,0.29248333,458.40008503013064
282,-0.901,455.00345921149545
283,-0.901,459.04450151210494
284,-0.73366667,459.14717745261646
285,0.29248333,458.63929266739615
286,-0.901,462.0459569296454
287,-0.57743333,460.501336523526
288,0.29248333,462.1787767183364
289,-0.901,459.5283565499707
290,-0.901,462.6174160535054
291,0.09716667,458.0087898004376
292,0.87593333,460.9020111992294
293,0.41953333,460.24978392668027
294,-0.901,459.2320507034615
295,-0.73366667,453.6227374462401
296,0.55501667,460.35507268900074
297,0.29248333,454.7236465474938
298,-0.901,460.20607175259187
299,-0.57743333,459.83599246401775
300,-0.901,461.98105089140813
301,0.29248333,460.49026971139546
302,0.55501667,455.3663773233395
303,-0.901,452.88244868318185
304,-0.73366667,457.4850986865032
305,-0.57743333,458.66984515890533
306,-0.73366667,460.0241472282339
307,0.62873333,455.91024862410995
308,-0.901,459.14796502851823
309,-0.901,460.5362787382777
310,-0.901,457.8443726046871
311,0.55501667,460.36407940249717
312,0.62873333,457.80833818553515
313,-0.901,462.24472246684604
314,-0.38246667,456.654234607804
315,-0.901,457.1700243910481
316,-0.901,461.77669054019697
317,-0.03496667,458.07546119244427
318,-0.73366667,455.31072612039895
319,-0.901,460.76905369285976
320,0.29248333,458.8070855313975
321,-0.901,460.0515871992249
322,-0.901,459.13254804278546
323,-0.901,460.99598625112446
324,-0.901,462.40515541860543
325,-0.73366667,456.3599317392584
326,-0.73366667,460.67754790455933
327,0.41953333,451.89043082613694
328,-0.901,460.43167182200744
329,0.29248333,455.55483220083477
330,-0.1952,461.04390914769283
331,-0.38246667,461.24010853024873
332,0.29248333,456.9794589979716
333,-0.57743333,459.24941963721756
334,0.41953333,456.60448490223587
335,0.62873333,456.7448897650963
336,-0.73366667,459.8655326223377
337,-0.38246667,455.91510209307853
338,-0.38246667,459.3493937988268
339,0.29248333,459.24198042279204
340,0.29248333,457.48937532307684
341,-0.901,461.80194004125667
342,0.29248333,457.6954842851841
343,0.62873333,457.7163764390672
344,-0.73366667,460.50165528022103
345,-0.901,461.42526148642577
346,-0.901,460.4035959574378
347,-0.38246667,459.5959279708138
348,0.41953333,457.99217854339304
349,-0.901,460.58879696179173
350,-0.901,462.0270032177501
351,-0.901,461.97177588687236
352,-0.73366667,456.6950205281269
353,0.55501667,461.2938602087977
354,-0.901,462.19952897433154
355,-0.73366667,459.05904387306884
356,0.29248333,461.3570650963434
357,-0.73366667,456.12740941080347
358,0.55501667,453.3198960735099
359,-0.73366667,458.44483170724885
360,-0.901,461.4752074766809
361,-0.38246667,460.6912129257412
362,-0.901,459.25376325995904
363,-0.901,460.06168121422877
364,-0.901,451.39884269958134
365,-0.901,460.2090349927056
366,-0.38246667,459.0096682265022
367,0.29248333,457.22264552591884
368,0.29248333,459.95962696008905
369,-0.901,462.42812481476165
370,0.87593333,451.1368948300589
371,-0.38246667,459.7996566319674
372,0.29248333,460.474548065147
373,0.87593333,459.5318441627576
374,-0.57743333,459.34942587538933
375,0.29248333,459.6905530163712
376,-0.73366667,457.4474194597846
377,0.29248333,460.68732397585745
378,-0.1952,459.24999705778424
379,-0.38246667,461.46372674610836
380,0.62873333,455.33805180531294
381,-0.38246667,461.8443457608701
382,-0.901,458.96607818902197
383,-0.57743333,459.8976362564455
384,0.29248333,461.17588946724146
385,-0.1952,452.21506820569675
386,0.29248333,461.4861605556422
387,0.55501667,458.937455652495
388,-0.901,460.44864036711044
389,0.29248333,456.1094030690449
390,-0.901,458.60477555525426
391,0.29248333,459.5294455990268
392,-0.901,461.5699135206277
393,-0.73366667,459.98092269931146
394,-0.73366667,458.37106012287313
395,0.29248333,456.30110544112824
396,-0.57743333,461.5254170295885
397,-0.38246667,461.73941627964876
398,-0.73366667,460.19313713765257
399,-0.73366667,460.54973983473053
400,-0.901,460.51090990991787
401,-0.901,456.0853560859456
402,0.41953333,459.9523312959747
403,-0.901,460.57414325539304
404,-0.73366667,461.22396270064473
405,-0.901,459.3477848251098
406,0.29248333,457.4069397515384
407,0.29248333,457.62040711982405
408,-0.38246667,460.59062832177574
409,-0.57743333,458.9492845555153
410,-0.03496667,456.66884834300225
411,0.87593333,462.6091893105024
412,-0.901,459.3843011900899
413,-0.901,457.93400136378057
414,0.09716667,460.46882182615093
415,-0.73366667,461.59879483835635
416,-0.901,462.32457045587086
417,0.29248333,455.02859773911655
418,-0.38246667,458.9362232807784
419,0.29248333,460.70538339721486
420,0.29248333,459.76221389802186
421,-0.57743333,461.80166602514834
422,-0.1952,459.43070803427884
423,-0.901,461.8112171295278
424,-0.901,461.0777074420474
425,-0.73366667,459.3183846037222
426,0.29248333,457.9650544862019
427,-0.901,461.0942355096365
428,-0.38246667,462.4583705270216
429,0.29248333,460.2381437613539
430,-0.73366667,461.32219200748773
431,-0.901,461.8863383294258
432,-0.73366667,456.3782382162924
433,-0.901,461.5096018571436
434,-0.57743333,460.3155183733519
435,-0.73366667,458.53720679830695
436,-0.73366667,455.797067190176
437,-0.73366667,457.7173717878095
438,-0.73366667,460.52629740775626
439,0.74525,454.35428304777554
440,0.55501667,461.1552544041967
441,-0.1952,459.2297901393432
442,0.29248333,461.6425321050288
443,0.87593333,459.34365923343734
444,0.55501667,456.87192266487193
445,0.29248333,460.5899534850457
446,-0.38246667,455.91228917093974
447,-0.901,457.1348246406911
448,-0.901,459.78953486081053
449,-0.1952,459.2597226866085
450,0.29248333,459.75105028455425
451,-0.73366667,458.7017915512334
452,0.41953333,452.46597542734423
453,-0.73366667,458.8640835661712
454,0.29248333,455.52608220586677
455,-0.73366667,459.2907431259161
456,0.29248333,457.30732968838834
457,-0.901,461.6141682109187
458,-0.901,461.1991819361178
459,-0.57743333,457.84824385795923
460,-0.73366667,456.46357145825175
461,-0.901,462.0330570143486
462,0.87593333,458.8467563692256
463,-0.03496667,458.4447752887436
464,0.29248333,458.49110912315575
465,-0.901,461.1284529711469
466,0.29248333,458.78670806045824
467,-0.73366667,458.59245395161423
468,0.29248333,454.83506084996935
469,-0.901,461.5686948383177
470,0.29248333,462.13423460542435
471,0.29248333,461.28706488901247
472,-0.1952,457.551772833198
473,-0.73366667,459.95771559196396
474,0.29248333,460.11562613391544
475,-0.73366667,457.70630929242293
476,-0.57743333,456.79828446891685
477,-0.73366667,460.38744127786913
478,-0.73366667,459.5318080720649
479,-0.73366667,455.8331840463021
480,-0.901,459.4114521065335
481,-0.901,462.6377589681849
482,-0.901,459.7607827819099
483,-0.901,462.72206455930666
484,-0.73366667,456.48925676763525
485,-0.901,462.0112139912959
486,-0.901,458.68619570500107
487,-0.38246667,462.38263776905774
488,-0.73366667,460.8944461744898
489,-0.73366667,458.06464222673253
490,0.29248333,455.72570368144113
491,0.62873333,455.90625526126996
492,-0.901,459.5748787195233
493,0.87593333,461.16817682630193
494,0.41953333,456.67778466326854
495,0.62873333,459.1220675733093
496,0.62873333,459.71156621364884
497,0.87593333,460.0491267087774
498,-0.73366667,462.2898935414096
499,0.29248333,458.49215322699575
500,-0.73366667,461.53000540079057
501,-0.73366667,461.152562632883
502,-0.901,461.03897409368835
503,0.29248333,459.2976845329146
504,-0.73366667,459.5798149291094
505,-0.73366667,460.9845749399582
506,-0.901,457.8107328753372
507,0.29248333,452.39626661909045
508,-0.901,462.58739372463157
509,-0.901,461.61272220149965
510,-0.73366667,459.8532960032827
511,-0.73366667,457.59321005296187
512,0.29248333,461.6422917385845
513,0.29248333,455.8698862006883
514,-0.901,460.80268271277134
515,-0.901,456.5302931443092
516,0.41953333,462.4070661158251
517,-0.73366667,462.41873519650744
518,-0.38246667,460.80086515302685
519,-0.901,459.19003811963046
520,0.74525,461.09899142161595
521,0.29248333,459.57098330382627
522,-0.901,461.2680414865889
523,-0.57743333,462.2381412490556
524,-0.03496667,460.69314182690715
525,-0.73366667,459.671916173712
526,0.74525,460.505101469457
527,-0.73366667,459.4829829503417
528,0.09716667,459.05097877183994
529,-0.38246667,459.8127257633621
530,0.62873333,456.49093445399194
531,0.29248333,458.53533981400795
532,-0.901,459.0606589925062
533,-0.73366667,457.97135145372056
534,-0.901,462.1840976607863
535,0.41953333,460.6768022345437
536,-0.73366667,459.7543285266902
537,0.29248333,460.01757682765304
538,-0.901,460.7561396036342
539,0.29248333,460.0763802971761
540,-0.73366667,461.37005319850806
541,-0.73366667,457.0258520120715
542,-0.901,459.7702540576479
543,-0.901,462.1079131838293
544,-0.901,461.6781351337512
545,0.87593333,460.92172408971896
546,-0.73366667,458.031936796688
547,-0.73366667,459.7736432097447
548,-0.901,459.67948407095867
549,-0.901,460.14452606822425
550,-0.73366667,452.94006375012066
551,0.29248333,458.4732685188674
552,-0.73366667,453.76299828837443
553,0.41953333,457.73889304758166
554,-0.901,460.75665127323975
555,-0.73366667,461.06674025979567
556,0.29248333,462.2574391479783
557,0.29248333,459.2663363316175
558,-0.38246667,460.6430227344995
559,-0.57743333,458.32852847831134
560,-0.901,457.288435224189
561,-0.901,458.55746329874006
562,0.29248333,460.0481328647007
563,-0.901,459.9412983471929
564,-0.901,462.3562739948761
565,-0.901,461.6683229411899
566,0.62873333,458.1214181450937
567,-0.73366667,453.3284768656807
568,-0.38246667,455.674201807685
569,-0.73366667,459.36847047241906
570,-0.38246667,456.5647055672674
571,-0.73366667,455.14289156013757
572,-0.73366667,457.7838423161023
573,-0.73366667,458.1235030722924
574,-0.57743333,461.7278702789662
575,0.74525,458.11682667754826
576,-0.73366667,461.1672384124255
577,-0.901,459.010357248391
578,-0.901,460.02403209646997
579,-0.901,460.172328691384
580,-0.38246667,458.2057041826898
581,-0.73366667,456.0517740946151
582,0.29248333,459.4325541428202
583,-0.38246667,456.1461814565708
584,-0.901,462.20487024906953
585,-0.73366667,459.5392558280175
