threshold_eci_pre,rss,r2_within,n_obs,n_countries,countries_below_threshold,countries_above_threshold
-0.901,463.3220162445415,0.017485110415093708,2529,230,46,184
-0.73366667,464.06101172626376,0.015918005812525227,2529,230,58,172
-0.57743333,464.5646584212433,0.014849978912101824,2529,230,69,161
-0.38246667,465.0689808610311,0.013780519035665018,2529,230,81,149
-0.1952,465.445391102141,0.012982308172558743,2529,230,92,138
-0.03496667,465.4971625858776,0.012872522209786186,2529,230,104,126
0.09716667,465.345805394724,0.013193488381779361,2529,230,115,115
0.29248333,464.8823889104315,0.014176203599128745,2529,230,126,104
0.41953333,465.03262590893314,0.013857612893703353,2529,230,138,92
0.55501667,465.16460561871844,0.013577738367044345,2529,230,149,81
0.62873333,465.2544513033192,0.01338721272874055,2529,230,161,69
0.74525,465.3713935823832,0.013139226390138203,2529,230,172,58
0.87593333,465.4973310596178,0.012872164946473696,2529,230,184,46
