dv,model,term,coef,se,pvalue,coef_fmt,n_obs,n_countries
DV1_GVC_Linkage_Change,Model1_Baseline,z_eci,-0.7243646418034357,0.6529706713535129,0.2672847524279617,-0.724 (0.653),800,80
DV1_GVC_Linkage_Change,Model1_Baseline,pe,0.2586279270216836,0.29618969814953405,0.3825631225669127,0.259 (0.296),800,80
DV1_GVC_Linkage_Change,Model1_Baseline,z_eci:pe,0.42346384879407317,0.5902426802359431,0.4731024991992624,0.423 (0.590),800,80
DV1_GVC_Linkage_Change,Model2_Controls,z_eci,-0.7079791145180611,0.43639537400515305,0.10473182215445782,-0.708 (0.436),679,76
DV1_GVC_Linkage_Change,Model2_Controls,pe,0.2091990484940715,0.2574695910031463,0.4164936350727927,0.209 (0.257),679,76
DV1_GVC_Linkage_Change,Model2_Controls,z_eci:pe,0.3519035206730338,0.4246138553929021,0.40723950442057877,0.352 (0.425),679,76
DV1_GVC_Linkage_Change,Model2_Controls,z_log_gdp_pc,0.44288432238346087,1.7824841180869637,0.8037749048995844,0.443 (1.782),679,76
DV1_GVC_Linkage_Change,Model2_Controls,z_trade_open,-1.8810476702617682,0.8546414500767656,0.027737528250162184,-1.881** (0.855),679,76
DV1_GVC_Linkage_Change,Model2_Controls,z_wgi,-0.4429245809745843,0.6062151519164507,0.46499953412498063,-0.443 (0.606),679,76
DV1_GVC_Linkage_Change,Model2_Controls,z_rents,0.45610736615597314,0.4014984092466864,0.25595117181690186,0.456 (0.401),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_eci,-0.7079791145180482,0.43676756628944086,0.105028004882277,-0.708 (0.437),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,pe,0.20919904849407187,0.2576891813125745,0.41689087690204585,0.209 (0.258),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_eci:pe,0.35190352067303315,0.42497599947185777,0.40763932671851044,0.352 (0.425),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_log_gdp_pc,0.44288432238352754,1.784004360681515,0.8039387100628672,0.443 (1.784),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_trade_open,-1.8810476702617551,0.8553703554971686,0.02787058636105836,-1.881** (0.855),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_wgi,-0.4429245809745492,0.6067321798585439,0.46538001977624976,-0.443 (0.607),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_rents,0.45610736615597675,0.4018408386558371,0.2563565357049836,0.456 (0.402),679,76
DV1_GVC_Linkage_Change,Model3_Full_DiD,z_intensity,-2.2567909131922623,1.1556060145970253,0.050830632712032,-2.257* (1.156),679,76
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_eci,-0.8550026969267365,0.34520508367729796,0.01325675131182813,-0.855** (0.345),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,pe,0.11564513868849408,0.29844998397937306,0.69839657587225,0.116 (0.298),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_eci:pe,0.3562891985472327,0.4359803040522006,0.4138061558932773,0.356 (0.436),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_log_gdp_pc,-0.17776327033768097,1.6833946121924253,0.9159012333692312,-0.178 (1.683),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_trade_open,-0.3979956481053348,0.6569867099414215,0.5446545454870872,-0.398 (0.657),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_wgi,-1.0938843717752649,0.9158329853492498,0.232315793118693,-1.094 (0.916),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_rents,0.1996301452331864,0.4553058800924698,0.6610580670306192,0.200 (0.455),355,40
DV1_GVC_Linkage_Change,Model4_PSM_DiD,z_intensity,-2.305958559198519,1.123597922555652,0.040140641984712455,-2.306** (1.124),355,40
DV2_Export_Recovery,Model1_Baseline,z_eci,-11.032932942294217,10.369112486930645,0.2873200818070094,-11.033 (10.369),2529,230
DV2_Export_Recovery,Model1_Baseline,pe,-1.4157731494177206,1.352955555321775,0.29536259304344736,-1.416 (1.353),2529,230
DV2_Export_Recovery,Model1_Baseline,z_eci:pe,-0.8306557561480046,0.76216032120761,0.27577036310379555,-0.831 (0.762),2529,230
DV2_Export_Recovery,Model2_Controls,z_eci,-0.1678024415597654,0.18006038003715852,0.35137622840717153,-0.168 (0.180),1729,180
DV2_Export_Recovery,Model2_Controls,pe,0.06722920712420354,0.11362062735857073,0.5540521926209424,0.067 (0.114),1729,180
DV2_Export_Recovery,Model2_Controls,z_eci:pe,-0.1030868624149652,0.07734298002564927,0.18257988146563964,-0.103 (0.077),1729,180
DV2_Export_Recovery,Model2_Controls,z_log_gdp_pc,2.854181716939132,0.578145411083521,7.941944779494416e-07,2.854*** (0.578),1729,180
DV2_Export_Recovery,Model2_Controls,z_trade_open,0.03931782197061937,0.16938315072072502,0.8164420370731857,0.039 (0.169),1729,180
DV2_Export_Recovery,Model2_Controls,z_wgi,-0.0036780168406273786,0.1986870371112157,0.9852307161238135,-0.004 (0.199),1729,180
DV2_Export_Recovery,Model2_Controls,z_rents,0.2143402450587671,0.04130345777688281,2.109705358350897e-07,0.214*** (0.041),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_eci,-0.1678024415597573,0.1801191752648604,0.3515334729725783,-0.168 (0.180),1729,180
DV2_Export_Recovery,Model3_Full_DiD,pe,0.06722920712419904,0.11365772797257381,0.554181559439044,0.067 (0.114),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_eci:pe,-0.10308686241497023,0.07736823487694289,0.1827227276944272,-0.103 (0.077),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_log_gdp_pc,2.854181716939138,0.5783341932636009,8.007802726918704e-07,2.854*** (0.578),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_trade_open,0.03931782197061726,0.1694384595061073,0.816500886883194,0.039 (0.169),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_wgi,-0.0036780168406248194,0.19875191451281762,0.9852355366226415,-0.004 (0.199),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_rents,0.2143402450587676,0.041316944620597935,2.1289805018846745e-07,0.214*** (0.041),1729,180
DV2_Export_Recovery,Model3_Full_DiD,z_intensity,-0.9877940128646975,0.2668781198749176,0.0002145039386623697,-0.988*** (0.267),1729,180
DV2_Export_Recovery,Model4_PSM_DiD,z_eci,-0.07684547573155961,0.20632750414451734,0.7095621736542919,-0.077 (0.206),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,pe,0.08746194574168013,0.11299466008686845,0.4389094448662715,0.087 (0.113),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,z_eci:pe,-0.10460970978589897,0.07663605698495131,0.17224693107906086,-0.105 (0.077),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,z_log_gdp_pc,2.7602882986058597,0.6904683613824186,6.395979628877128e-05,2.760*** (0.690),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,z_trade_open,0.16815877464441775,0.15960815989923258,0.29207866618087275,0.168 (0.160),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,z_wgi,0.25281606166669157,0.22921005181552154,0.2700321394932925,0.253 (0.229),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,z_rents,0.20817826298065975,0.0516831329010256,5.625980677863633e-05,0.208*** (0.052),1131,118
DV2_Export_Recovery,Model4_PSM_DiD,z_intensity,-1.9569179017916587,0.5197523974726816,0.00016648481186156102,-1.957*** (0.520),1131,118
DV3_Partner_Diversification,Model1_Baseline,z_eci,0.06547621678108541,0.021989044748568626,0.0029044430221833372,0.065*** (0.022),2529,230
DV3_Partner_Diversification,Model1_Baseline,pe,0.006558260574857331,0.013687432094549859,0.6318356901930791,0.007 (0.014),2529,230
DV3_Partner_Diversification,Model1_Baseline,z_eci:pe,-0.004422409496259607,0.012965181016998627,0.7330290995090096,-0.004 (0.013),2529,230
DV3_Partner_Diversification,Model2_Controls,z_eci,0.03405193470421898,0.022954362279699464,0.13795158358537696,0.034 (0.023),1729,180
DV3_Partner_Diversification,Model2_Controls,pe,-0.007018818693707582,0.010334297206641434,0.4970256131879256,-0.007 (0.010),1729,180
DV3_Partner_Diversification,Model2_Controls,z_eci:pe,0.0005757448508212291,0.012416864394410412,0.9630169617439346,0.001 (0.012),1729,180
DV3_Partner_Diversification,Model2_Controls,z_log_gdp_pc,0.005265380638631577,0.053827169755802214,0.9220751241537344,0.005 (0.054),1729,180
DV3_Partner_Diversification,Model2_Controls,z_trade_open,-0.0143595794294594,0.014385255681745987,0.31817506615916025,-0.014 (0.014),1729,180
DV3_Partner_Diversification,Model2_Controls,z_wgi,0.017426429639075702,0.02521355524042852,0.48946926452253514,0.017 (0.025),1729,180
DV3_Partner_Diversification,Model2_Controls,z_rents,-0.012900774794979515,0.011131208584708204,0.24646702281490307,-0.013 (0.011),1729,180
DV3_Partner_Diversification,Model3_Full_DiD,z_eci,0.03405193470421954,0.022961857581868087,0.13808019730336063,0.034 (0.023),1729,180
DV3_Partner_Diversification,Model3_Full_DiD,pe,-0.00701881869370795,0.01033767167112536,0.49716607941799373,-0.007 (0.010),1729,180
