sample,hypothesis_id,dv,spec,coef,pvalue,n_obs,n_countries
full,H1,DV1_GVC_Linkage_Stability,OLS_FE_cluster,-0.15672710735923642,0.36453794759407687,679,76
full,H1,DV1_GVC_Linkage_Stability,RLM_Huber_FE,-0.23379574897258917,0.009186935133873803,679,76
full,H1,DV1_GVC_Linkage_Stability,Trimmed_5_95_FE_cluster,0.16166639304928196,0.3565944838189046,611,76
full,H2,DV2_Export_Recovery,OLS_FE_cluster,-0.10229287188790268,0.1827227276944443,1729,180
full,H2,DV2_Export_Recovery,RLM_Huber_FE,-0.08774290229819041,7.114062340643092e-09,1729,180
full,H2,DV2_Export_Recovery,Trimmed_5_95_FE_cluster,-0.05577104326274356,0.037591384603799065,1555,179
full,H3,DV3_Partner_Diversification,OLS_FE_cluster,0.0005713103773405398,0.9630290252515189,1729,180
full,H3,DV3_Partner_Diversification,RLM_Huber_FE,0.003960957262300533,0.04903396849369436,1729,180
full,H3,DV3_Partner_Diversification,Trimmed_5_95_FE_cluster,0.007227247233971218,0.3703609150852327,1555,172
core_excl_q1,H1,DV1_GVC_Linkage_Stability,OLS_FE_cluster,-0.15672710735923642,0.36453794759407687,679,76
core_excl_q1,H1,DV1_GVC_Linkage_Stability,RLM_Huber_FE,-0.23379574897258917,0.009186935133873803,679,76
core_excl_q1,H1,DV1_GVC_Linkage_Stability,Trimmed_5_95_FE_cluster,0.16166639304928196,0.3565944838189046,611,76
core_excl_q1,H2,DV2_Export_Recovery,OLS_FE_cluster,-0.09810291621661524,0.10566576937439871,1529,158
core_excl_q1,H2,DV2_Export_Recovery,RLM_Huber_FE,-0.06756952297648917,2.0029635647077114e-06,1529,158
core_excl_q1,H2,DV2_Export_Recovery,Trimmed_5_95_FE_cluster,-0.05148892146647039,0.029536373301005586,1375,156
core_excl_q1,H3,DV3_Partner_Diversification,OLS_FE_cluster,-0.0012813821933682756,0.9117242492727851,1529,158
core_excl_q1,H3,DV3_Partner_Diversification,RLM_Huber_FE,0.003506692286424142,0.04712349627918316,1529,158
core_excl_q1,H3,DV3_Partner_Diversification,Trimmed_5_95_FE_cluster,0.007074469795692744,0.36379373000373105,1375,149
