sample,hypothesis_id,dv,spec,coef,pvalue,n_obs,n_countries
full,H1,DV1_GVC_Linkage_Stability,OLS_FE_cluster,0.02205995793237868,0.798594492870615,754,76
full,H1,DV1_GVC_Linkage_Stability,RLM_Huber_FE,-0.19995799332043357,0.016660339404898132,754,76
full,H1,DV1_GVC_Linkage_Stability,Trimmed_5_95_FE_cluster,0.08411553735034595,0.6402912490559373,678,76
full,H2,DV2_Export_Recovery,OLS_FE_cluster,-0.11432428366309368,0.2445799475104461,1924,180
full,H2,DV2_Export_Recovery,RLM_Huber_FE,-0.10258792895895553,6.14557520814604e-11,1924,180
full,H2,DV2_Export_Recovery,Trimmed_5_95_FE_cluster,-0.05235368898864983,0.047025248039280355,1730,180
full,H3,DV3_Partner_Diversification,OLS_FE_cluster,0.0011429698799472685,0.9222802712876684,1924,180
full,H3,DV3_Partner_Diversification,RLM_Huber_FE,0.0025337701896015544,0.17784304354950364,1924,180
full,H3,DV3_Partner_Diversification,Trimmed_5_95_FE_cluster,0.008731062030163895,0.2725211433318643,1730,172
core_excl_q1,H1,DV1_GVC_Linkage_Stability,OLS_FE_cluster,0.02205995793237868,0.798594492870615,754,76
core_excl_q1,H1,DV1_GVC_Linkage_Stability,RLM_Huber_FE,-0.19995799332043357,0.016660339404898132,754,76
core_excl_q1,H1,DV1_GVC_Linkage_Stability,Trimmed_5_95_FE_cluster,0.08411553735034595,0.6402912490559373,678,76
core_excl_q1,H2,DV2_Export_Recovery,OLS_FE_cluster,-0.12895099400591148,0.022128739905653116,1697,158
core_excl_q1,H2,DV2_Export_Recovery,RLM_Huber_FE,-0.07929760191576254,6.142378828343343e-08,1697,158
core_excl_q1,H2,DV2_Export_Recovery,Trimmed_5_95_FE_cluster,-0.05260820659432586,0.02402961946014927,1527,157
core_excl_q1,H3,DV3_Partner_Diversification,OLS_FE_cluster,-0.0016410820885652236,0.8838598826327411,1697,158
core_excl_q1,H3,DV3_Partner_Diversification,RLM_Huber_FE,0.0017989256373194006,0.26039923336507675,1697,158
core_excl_q1,H3,DV3_Partner_Diversification,Trimmed_5_95_FE_cluster,0.004516327219658225,0.5622481947094158,1527,149
