year,gpr_profile_knn_method,rows
2012,knn_profile_year,185
2012,observed_country_gpr,44
2013,knn_profile_year,186
2013,observed_country_gpr,44
2014,knn_profile_year,186
2014,observed_country_gpr,44
2015,knn_profile_year,186
2015,observed_country_gpr,44
2016,knn_profile_year,186
2016,knn_profile_year_min1,1
2016,observed_country_gpr,44
2017,knn_profile_year,186
2017,observed_country_gpr,44
2018,knn_profile_year,186
2018,observed_country_gpr,44
2019,knn_profile_year,186
2019,observed_country_gpr,44
2020,knn_profile_year,186
2020,knn_profile_year_min1,1
2020,observed_country_gpr,44
2021,knn_profile_year,186
2021,knn_profile_year_min1,1
2021,observed_country_gpr,44
2022,knn_profile_year,186
2022,knn_profile_year_min1,1
2022,observed_country_gpr,44
