spec,hypothesis_id,dv,outcome_col,term,coef,se,p_cluster,n_obs,n_countries,year_min,year_max,covid_contamination_coef,covid_contamination_p
baseline_full,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,0.0858945065448257,0.10878367989398065,0.4297672462420805,754,76,2013,2022,,
baseline_full,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,0.13064604116842315,0.14691060595545263,0.37384757944404146,754,76,2013,2022,,
baseline_full,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.1453735964691782,0.10150980408894128,0.15211124102634518,1924,180,2012,2022,,
baseline_full,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,0.017898572812869357,0.11664002742663979,0.8780423316796465,1924,180,2012,2022,,
baseline_full,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,0.0024536982657741117,0.013291267092579233,0.8535350925219423,1924,180,2012,2022,,
baseline_full,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.014056327707446852,0.00816173853179359,0.08502926554433145,1924,180,2012,2022,,
exclude_2020,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,-0.13468321749507428,0.1712247825685566,0.43152357107859085,679,76,2013,2022,,
exclude_2020,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,0.25490082345485215,0.1596557189877376,0.11036257951905418,679,76,2013,2022,,
exclude_2020,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.15562466825934484,0.10774961267484574,0.14864964086202712,1747,180,2012,2022,,
exclude_2020,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,0.025357391559830147,0.12474023921717088,0.8389149604912313,1747,180,2012,2022,,
exclude_2020,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,0.0049796333202239,0.013612163967558542,0.7144976682013848,1747,180,2012,2022,,
exclude_2020,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.01550738060600959,0.008835478692725966,0.0792377147765406,1747,180,2012,2022,,
exclude_2020_2021,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,-0.43765732676165103,0.23371562233427387,0.06112278257868672,604,76,2013,2022,,
exclude_2020_2021,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,0.35033648975483656,0.16337539875213092,0.03200365098957172,604,76,2013,2022,,
exclude_2020_2021,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.22017350755314558,0.10581667289406875,0.037460719515891326,1571,180,2012,2022,,
exclude_2020_2021,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,0.019304169414876258,0.11337330709379122,0.8647971344782814,1571,180,2012,2022,,
exclude_2020_2021,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,0.009485633514156733,0.01471375677559955,0.5191359543041354,1571,180,2012,2022,,
exclude_2020_2021,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.017797265110335598,0.009083278941341347,0.05007255256673084,1571,180,2012,2022,,
covid_interaction_check,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,0.08422037576899669,0.11368879308333588,0.4588162201664142,754,76,2013,2022,-0.4966500331006632,0.28037512362143
covid_interaction_check,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,0.11130481584748281,0.13126881439392693,0.39648522918114426,754,76,2013,2022,-0.187492813543041,0.5642183900668141
covid_interaction_check,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.1452724174710866,0.1016325654072302,0.15289260965112544,1924,180,2012,2022,-0.001517307894291997,0.9773544432758531
covid_interaction_check,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,0.012747791714703461,0.11734733139827938,0.913493591757278,1924,180,2012,2022,-0.011357835653829987,0.8250946304188761
covid_interaction_check,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,0.0024648359651322305,0.013281180514451608,0.8527673783628938,1924,180,2012,2022,0.0042707893706619635,0.49737850864184907
covid_interaction_check,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.014886367052595221,0.008842206177382435,0.09226711911294867,1924,180,2012,2022,-0.0014324774429762405,0.8691091369935756
