year,missing_n,variable
2012,27,wdi_natural_resource_rents_pct_gdp
2013,26,wdi_natural_resource_rents_pct_gdp
2014,26,wdi_natural_resource_rents_pct_gdp
2015,26,wdi_natural_resource_rents_pct_gdp
2016,28,wdi_natural_resource_rents_pct_gdp
2017,27,wdi_natural_resource_rents_pct_gdp
2018,27,wdi_natural_resource_rents_pct_gdp
2019,29,wdi_natural_resource_rents_pct_gdp
2020,32,wdi_natural_resource_rents_pct_gdp
2021,37,wdi_natural_resource_rents_pct_gdp
2022,231,wdi_natural_resource_rents_pct_gdp
2012,54,wdi_trade_openness_pct_gdp
2013,53,wdi_trade_openness_pct_gdp
2014,51,wdi_trade_openness_pct_gdp
2015,49,wdi_trade_openness_pct_gdp
2016,51,wdi_trade_openness_pct_gdp
2017,49,wdi_trade_openness_pct_gdp
2018,49,wdi_trade_openness_pct_gdp
2019,51,wdi_trade_openness_pct_gdp
2020,51,wdi_trade_openness_pct_gdp
2021,52,wdi_trade_openness_pct_gdp
2022,52,wdi_trade_openness_pct_gdp
2012,29,wgi_institutional_quality_composite
2013,30,wgi_institutional_quality_composite
2014,30,wgi_institutional_quality_composite
2015,30,wgi_institutional_quality_composite
2016,31,wgi_institutional_quality_composite
2017,30,wgi_institutional_quality_composite
2018,29,wgi_institutional_quality_composite
2019,28,wgi_institutional_quality_composite
2020,29,wgi_institutional_quality_composite
2021,29,wgi_institutional_quality_composite
2022,29,wgi_institutional_quality_composite
2012,26,log_gdp_pc
2013,26,log_gdp_pc
2014,26,log_gdp_pc
2015,25,log_gdp_pc
2016,28,log_gdp_pc
2017,27,log_gdp_pc
2018,27,log_gdp_pc
2019,28,log_gdp_pc
2020,29,log_gdp_pc
2021,29,log_gdp_pc
2022,29,log_gdp_pc
