dv,moderator,coef_triple,pvalue_triple,abs_coef,n_obs,n_countries
DV2_Export_Recovery,wgi_institutional_quality_composite,-0.16795336169183747,0.17483184521054362,0.16795336169183747,2209,202
DV2_Export_Recovery,gpr_for_model_annual,-0.9347800489539762,0.2204839180324949,0.9347800489539762,2529,230
DV2_Export_Recovery,coi,1.8992182786101446,0.28087503424476934,1.8992182786101446,2529,230
DV2_Export_Recovery,wdi_natural_resource_rents_pct_gdp,0.059902389286778476,0.3490458005318082,0.059902389286778476,2017,205
DV2_Export_Recovery,wdi_trade_openness_pct_gdp,0.13993989734319628,0.46019175037590776,0.13993989734319628,1971,184
DV2_Export_Recovery,log_gdp_pc,-0.040190973845072586,0.7476687423989716,0.040190973845072586,2233,205
DV2_Export_Recovery,wdi_tariff_applied_weighted_mean_all_products_pct,0.001933130748196103,0.939963723312097,0.001933130748196103,1610,186
DV3_Partner_Diversification,wdi_tariff_applied_weighted_mean_all_products_pct,-0.004592904206927807,0.26228325575104783,0.004592904206927807,1610,186
DV3_Partner_Diversification,gpr_for_model_annual,-0.006998694769716337,0.3051803172057358,0.006998694769716337,2529,230
DV3_Partner_Diversification,coi,0.006081861726820731,0.6132991685031239,0.006081861726820731,2529,230
DV3_Partner_Diversification,wdi_natural_resource_rents_pct_gdp,0.0033178674244676827,0.7147712145792791,0.0033178674244676827,2017,205
DV3_Partner_Diversification,wdi_trade_openness_pct_gdp,-0.0011736388681613304,0.9094775350757438,0.0011736388681613304,1971,184
DV3_Partner_Diversification,wgi_institutional_quality_composite,0.0014871374912182717,0.9239994942499181,0.0014871374912182717,2209,202
DV3_Partner_Diversification,log_gdp_pc,0.0008839205488283834,0.9436193311079029,0.0008839205488283834,2233,205
