event_time,coef,se,pvalue,ci_low,ci_high,n_obs,n_countries
-6,0.562950602200275,0.7387556324407694,0.4460448076077781,-0.8850104373836329,2.0109116417841832,1924,180
-5,0.48512217799477797,0.7563944767746557,0.5212879421647097,-0.997410996483547,1.9676553524731029,1924,180
-4,0.41777013488762943,0.7681228306741971,0.586520926068316,-1.0877506132337966,1.9232908830090556,1924,180
-3,0.5624278730371499,0.8170545436303236,0.4912259466731388,-1.0389990324782843,2.163854778552584,1924,180
-2,0.5704206835035719,0.7829691280786807,0.46628594076510654,-0.9641988075306422,2.105040174537786,1924,180
0,0.4801165425960685,0.8136789140780412,0.5551527624521584,-1.1146941289968921,2.074927214189029,1924,180
1,0.40059685674876583,0.7783410733641866,0.6067764062493118,-1.1249516470450398,1.9261453605425716,1924,180
2,0.38448887330078824,0.77744766088668,0.6209158671058623,-1.1393085420371045,1.908286288638681,1924,180
3,0.33288383484893946,0.7844850381910651,0.671322097262774,-1.204706840005548,1.8704745097034268,1924,180
4,0.27427599845799827,0.8344151115333681,0.7423790559058837,-1.361177620147403,1.9097296170633997,1924,180
