country_iso3_code,eci_pre_raw,coi_pre_raw,baseline_log_gdp_pc,baseline_trade_open,baseline_wgi,baseline_rents,baseline_export_value,nexus_exposure_pre,z_eci_pre_raw,z_coi_pre_raw,z_baseline_log_gdp_pc,z_baseline_trade_open,z_baseline_wgi,z_baseline_rents,z_nexus_exposure_pre,exposed_top_tercile_pre,exposed_top_quartile_pre,exposure_tercile_threshold,exposure_quartile_threshold,us_export_market_dependence_pre,china_export_market_dependence_pre,china_import_dependence_pre,wb_income_id,wb_income_name,wb_region,eci_pre_regime,coi_pre_regime,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre,tariff_weighted_us_diversion_2012,tariff_weighted_us_diversion_2013,tariff_weighted_us_diversion_2014,tariff_weighted_us_diversion_2015,tariff_weighted_us_diversion_2016,tariff_weighted_us_diversion_2017,tariff_weighted_us_diversion_2018,tariff_weighted_us_diversion_2019,tariff_weighted_us_diversion_2020,tariff_weighted_us_diversion_2021,tariff_weighted_us_diversion_2022,tariff_weighted_us_covered_basket_2012,tariff_weighted_us_covered_basket_2013,tariff_weighted_us_covered_basket_2014,tariff_weighted_us_covered_basket_2015,tariff_weighted_us_covered_basket_2016,tariff_weighted_us_covered_basket_2017,tariff_weighted_us_covered_basket_2018,tariff_weighted_us_covered_basket_2019,tariff_weighted_us_covered_basket_2020,tariff_weighted_us_covered_basket_2021,tariff_weighted_us_covered_basket_2022,tariff_weighted_china_network_2012,tariff_weighted_china_network_2013,tariff_weighted_china_network_2014,tariff_weighted_china_network_2015,tariff_weighted_china_network_2016,tariff_weighted_china_network_2017,tariff_weighted_china_network_2018,tariff_weighted_china_network_2019,tariff_weighted_china_network_2020,tariff_weighted_china_network_2021,tariff_weighted_china_network_2022
ABW,0.8849999999999999,0.07100000000000001,10.234967730966828,138.6989615165197,1.1789619777777778,0.0028528641389486335,300604043.3333333,0.4475506686847455,0.9002486319663799,0.3022453255286476,1.0420957229105636,0.8852977023291011,1.3252997428131654,-0.6520764069067637,1.32423737721177,1,1,0.26917599908681505,0.317817685580497,0.09199032602445012,0.0005054242967162711,0.01557475757050082,HIC,High income,Latin America & Caribbean,high,middle,59987.76900000005,84942.54900000004,0.0864648591948801,0.0134518466070293,0.1563327231915302,0.0042970259487396,0.0003453829436434,0.0359448596250625,0.3268262068556,0.017670264417845,0.5045106428346048,0.1047247481399082,0.0194698607592242,0.2250536418444425,0.522312840139128,0.0509373547277419,0.92184186749564,0.0,0.0,0.0,0.0,0.0,0.0,0.0021594987528919126,0.007906267561741759,0.00950266097394949,0.009327113049071238,0.009327113049071238,0.0,0.0,0.0,0.0,0.0,0.0,0.01985098492236314,0.09232134022803634,0.11319561864270705,0.11225137911029803,0.11225137911029803,0.0,0.0,0.0,0.0,0.0,0.0,0.036075996930422904,0.15873459259609718,0.1931052517316972,0.19107607955113254,0.19107607955113254
AFG,-1.4253333333333333,-0.976,6.335177243409859,,-1.6036923222222172,0.5967695277875674,900148066.6666666,0.112989740455886,-1.4277008606724713,-0.8899463115449194,-1.7003429335172104,,-1.7449747223188266,-0.5737170864532848,-0.6608772802777427,0,0,0.26917599908681505,0.317817685580497,0.021970128661692664,0.007612739778248709,0.04478966690330599,LIC,Low income,"Middle East, North Africa, Afghanistan & Pakistan",low,low,44876.50699999999,1331468.8420000004,0.0492309483890981,0.0130784962179436,0.1414459332875624,0.0021219343118661,0.0002625858403049,0.0165460807681446,0.4910223739115885,0.0409095208296258,0.3428083606630881,0.4519021500492451,0.0407860507523453,0.3841434541057028,0.994277406661798,0.0950366536402198,0.884943828824498,0.0,0.0,0.0,0.0,0.0,0.0,0.002736620954071937,0.013438775381460795,0.016989347608948407,0.016621604528394472,0.016621604528394472,0.0,0.0,0.0,0.0,0.0,0.0,0.019544382988631454,0.13221991390851337,0.1735610029892428,0.16948647540683157,0.16948647540683157,0.0,0.0,0.0,0.0,0.0,0.0,0.02812436282284856,0.12628634965587304,0.15747444125825166,0.1540108527376265,0.1540108527376265
AGO,-0.6973333333333334,-1.2636666666666667,8.152636118267052,49.21976312416896,-1.093438694444443,20.047041688403834,29834914306.666668,0.4702183907848021,-0.6941499023802695,-1.2175048543002485,-0.42225645918497,-0.7105548417674729,-1.181980359667646,1.9924848782769438,1.4587361294448458,1,1,0.26917599908681505,0.317817685580497,0.07708148122938464,0.48756844988648834,0.177898443551778,LMC,Lower-middle income,Sub-Saharan Africa,low,low,8643274.208999993,6855947.034999969,0.0187482533912051,0.0020517418112223,0.2016133671896149,0.0001636320873086,6.0597463065416005e-05,0.0594771798729337,0.8704841955801486,0.0011900422278316,0.3583171170166438,0.0524797837060037,0.0001655782953284,0.2728299936465323,0.941875864764666,0.0034679597974478,0.8922376577257248,0.0,0.0,0.0,0.0,0.0,0.0,0.000289264194583899,0.000770808432231112,0.0008395066667356987,0.000838013747679459,0.000838013747679459,0.0,0.0,0.0,0.0,0.0,0.0,0.025923662537970564,0.17883261165464912,0.22675818242029294,0.22628500404261587,0.22628500404261587,0.0,0.0,0.0,0.0,0.0,0.0,0.03977374049599622,0.14953507401831723,0.17777410810895347,0.17531416554328802,0.17531416554328802
AIA,0.852,-0.2856666666666667,,,,,30083587.33333333,0.5144204805249987,0.8669970088569807,-0.10388172052952396,,,,,1.7210088840652162,1,1,0.26917599908681505,0.317817685580497,0.24826737140557856,0.0,0.0,,,,high,middle,12049.351999999995,0.0,0.12402559075376,0.012468466079066,,0.0127878246066676,0.0016734815777102,,0.1528902135152164,0.0542732457522651,,0.6997281679545923,0.010013073121721,,0.9894317968302364,0.0784282665307623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00315089181275517,0.014728598168208722,0.01794506064322459,0.0178547788363894,0.0178547788363894,0.0,0.0,0.0,0.0,0.0,0.0,0.020500163166848676,0.09940289308754005,0.13121454428066975,0.1249055198155054,0.1249055198155054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,-0.42133333333333334,-0.25333333333333335,8.394492713674516,74.02709330172728,-0.04052983888888883,1.379795096702037,2136102937.3333333,0.10813723774581659,-0.4160454181925666,-0.06706459579340936,-0.25217632829748926,-0.2681185919196594,-0.02024094657433697,-0.4704073879159534,-0.6896695672499888,0,0,0.26917599908681505,0.317817685580497,0.04272962506251631,0.05507784398581162,0.10250623089478368,UMC,Upper-middle income,Europe & Central Asia,low,middle,326493.5439999999,1241570.191000001,0.0052334664234585,0.0007625872586654,0.101868295418829,0.0009393171951969,0.0001872826021327,0.0297097250460646,0.8868271618871587,0.0253421755302629,0.3921254766980799,0.1046671936643255,0.039122952561973,0.3114561261240849,0.9976671391701398,0.0654149979530341,0.8351596232870586,0.0,0.0,0.0,0.0,0.0,0.0,0.0007976625282047269,0.007191035828240645,0.009859980722849047,0.009507232789913224,0.009507232789913224,0.0,0.0,0.0,0.0,0.0,0.0,0.024779586748699556,0.18148369613409912,0.2320437464998907,0.23110002590127793,0.23110002590127793,0.0,0.0,0.0,0.0,0.0,0.0,0.02579079982071837,0.12575332397283354,0.1570932947232997,0.15428508375004973,0.15428508375004973
AND,1.1079999999999999,0.8106666666666666,10.580573821265189,,1.4065832,0.0,89246982.33333333,0.0075082148144855,1.1249489941905022,1.1444844986156406,1.2851353182311949,,1.5764483049292086,-0.6524528039822401,-1.2867510897318546,0,0,0.26917599908681505,0.317817685580497,0.07295407069538265,0.000757609723450744,0.0009184934168692238,HIC,High income,Europe & Central Asia,high,high,24528.438,150783.1270000002,0.1447640897475819,0.0306348573228801,0.04978678416717,0.0480581763910119,0.0026838226740601,0.0039009736149058,0.0475630368309633,0.0145423324464121,0.1523025185702641,0.7329085121523026,0.120214021055705,0.6986868563881152,0.9732938151218598,0.1680750334990575,0.9046771327404552,0.0,0.0,0.0,0.0,0.0,0.0,0.004391162052037897,0.017221479008047193,0.022065201601173944,0.02098130469001595,0.02098130469001595,0.0,0.0,0.0,0.0,0.0,0.0,0.023350609199004016,0.09432065727583584,0.12167265565682453,0.11506446415381197,0.11506446415381197,0.0,0.0,0.0,0.0,0.0,0.0,0.010584960030725033,0.07845350261566827,0.11019871890757826,0.10389908331719361,0.10389908331719361
ANS,,,,,,,0.0,0.0,,,,,,,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.6023333333333333,0.20099999999999998,10.702108371879172,165.052581460766,0.6700927722222222,13.393390324526434,155524867089.33334,0.1716374011784639,0.6154266481606165,0.4502729404470465,1.3706017171977105,1.35531187534135,0.7638328987609855,1.114625017930848,-0.3128918429339606,0,0,0.26917599908681505,0.317817685580497,0.022916014909349053,0.05437733805257692,0.1390187718562734,HIC,High income,"Middle East, North Africa, Afghanistan & Pakistan",high,high,10097275.958999991,101052664.86000016,0.1102294262848126,0.0084645372550672,0.0881816408438651,0.0308915089838637,0.0065705777797173,0.0145151542419204,0.2287129189473711,0.0221892702111635,0.2485363527799594,0.5655022615194035,0.0139808190010471,0.241351503691557,0.9353361157354512,0.0512052042469952,0.5925846515573021,0.0,0.0,0.0,0.0,0.0,0.0,0.0022291732590151163,0.008830717158427133,0.010480714301329071,0.010354657736565532,0.010354657736565532,0.0,0.0,0.0,0.0,0.0,0.0,0.022489648337111985,0.10868612493530899,0.1399699240505191,0.13487113316796712,0.13487113316796712,0.0,0.0,0.0,0.0,0.0,0.0,0.018854820881390285,0.08673309269592466,0.10808576985855474,0.105909649743303,0.105909649743303
ARG,0.24033333333333332,0.15766666666666665,9.509515885305017,24.623238358512335,-0.02950993888888867,1.0223408745494844,55873179628.333336,0.22967574386156,0.2506664188999338,0.4009304021409136,0.5319382692556226,-1.149231398201209,-0.008082009843206341,-0.5175686676972402,0.031478210576295414,0,0,0.26917599908681505,0.317817685580497,0.06756796139832381,0.07583372395081024,0.1571685471155271,UMC,Upper-middle income,Latin America & Caribbean,middle,high,13335009.57700001,35146485.17399998,0.1106876275923952,0.0050708494608745,0.2212986257230002,0.0065007931564982,0.0006798547939372,0.0527742570506632,0.6498355164248405,0.0307863959382374,0.3322692961525215,0.1978327334350136,0.005070679989486,0.2716484653510343,0.9648566706087476,0.0416077801825352,0.8779906442772192,0.0,0.0,0.0,0.0,0.0,0.0,0.001517728979901719,0.007756402945255973,0.009560295293280566,0.009514576047473725,0.009514576047473725,0.0,0.0,0.0,0.0,0.0,0.0,0.03177957239244088,0.1672245371127214,0.2083771770615391,0.20659343930105947,0.20659343930105947,0.0,0.0,0.0,0.0,0.0,0.0,0.04087927794910532,0.14759035578736168,0.17440846907456345,0.1719591796328738,0.1719591796328738
ARM,-0.07866666666666666,-0.5996666666666667,8.193666760945547,78.3208061139831,-0.23577803888888868,0.409221689363609,1592818319.3333333,0.1037333032830861,-0.07076593782425905,-0.461425344255503,-0.3934025961534538,-0.191540653827131,-0.2356703525278486,-0.5984615027509136,-0.7158002780262611,0,0,0.26917599908681505,0.317817685580497,0.031458089933145444,0.13294420841613827,0.048946041069710046,LMC,Lower-middle income,Europe & Central Asia,middle,middle,176323.44499999998,1147672.1910000022,0.0101621483178258,0.0019897952431521,0.1444386404932938,0.0004375084663301,6.349333593312796e-05,0.0264420025491407,0.1289145411150514,0.0128648609919137,0.3787208040836793,0.8538788928494452,0.4279575207578505,0.2896778832902809,0.9933930907486526,0.4428756703288495,0.8392793304163948,0.0,0.0,0.0,0.0,0.0,0.0,0.0005985886786378412,0.024504023885010374,0.03968498483347078,0.03582635144958852,0.03582635144958852,0.0,0.0,0.0,0.0,0.0,0.0,0.00478174930557267,0.0708552271969076,0.1066183744887921,0.09891946643851021,0.09891946643851021,0.0,0.0,0.0,0.0,0.0,0.0,0.030353262208185426,0.13184654727520775,0.1617380527956709,0.15912620302829952,0.15912620302829952
