country_iso3_code,year,gpr_profile_matched,donor_pool,n_nearest_donors,k
ABW,2012,0.25092164082980556,same_historical_income_group,10,10
AFG,2012,0.04755220018429248,all_income_groups,10,10
AGO,2012,0.09009593236493452,all_income_groups,10,10
AIA,2012,0.09510377910545931,all_income_groups,10,10
ALB,2012,0.09735792872068819,same_historical_income_group,10,10
AND,2012,0.1676247409461843,same_historical_income_group,10,10
ARE,2012,0.21946862511962711,same_historical_income_group,10,10
ARM,2012,0.02333941986534296,all_income_groups,10,10
ASM,2012,0.10976589070699729,same_historical_income_group,10,10
ATA,2012,0.13464392463404598,all_income_groups,10,10
ATF,2012,0.12846559813640715,all_income_groups,10,10
ATG,2012,0.12551791307310783,same_historical_income_group,10,10
AUT,2012,0.1818521802655147,same_historical_income_group,10,10
AZE,2012,0.09829558731750622,same_historical_income_group,10,10
BDI,2012,0.11994716375372395,all_income_groups,10,10
BEN,2012,0.03810547940609858,all_income_groups,10,10
BES,2012,0.13567644419494299,all_income_groups,10,10
BFA,2012,0.09804153591138468,all_income_groups,10,10
BGD,2012,0.04333885446564316,all_income_groups,10,10
BGR,2012,0.11194459174813622,same_historical_income_group,10,10
BHR,2012,0.1479298196561254,same_historical_income_group,10,10
BHS,2012,0.24502287213932727,same_historical_income_group,10,10
BIH,2012,0.10942874598631347,same_historical_income_group,10,10
BLR,2012,0.1097147110205146,same_historical_income_group,10,10
BLZ,2012,0.05731437975947412,same_historical_income_group,10,10
BMU,2012,0.22181015029127746,same_historical_income_group,10,10
BOL,2012,0.04365884623861489,all_income_groups,10,10
BRB,2012,0.132529207887198,same_historical_income_group,10,10
BRN,2012,0.16274303630643466,same_historical_income_group,10,10
BTN,2012,0.0726405311930288,all_income_groups,10,10
BVT,2012,0.13380134929922413,all_income_groups,10,10
BWA,2012,0.10403434690043331,same_historical_income_group,10,10
CAF,2012,0.10461171163453961,all_income_groups,10,10
CCK,2012,0.23509043590483994,all_income_groups,10,10
CIV,2012,0.045238544241744706,all_income_groups,10,10
CMR,2012,0.09013391459092193,all_income_groups,10,10
COD,2012,0.10984108245719701,all_income_groups,10,10
COG,2012,0.11524893251780655,all_income_groups,10,10
COK,2012,0.11731845263078015,all_income_groups,10,10
COM,2012,0.04771360596992908,all_income_groups,10,10
CPV,2012,0.09086694461446126,all_income_groups,10,10
CRI,2012,0.09565414284332546,same_historical_income_group,10,10
CUB,2012,0.0982845088842122,same_historical_income_group,10,10
CUW,2012,0.13597503126738064,same_historical_income_group,10,10
CXR,2012,0.1390622829452901,all_income_groups,10,10
CYM,2012,0.22086683610795307,same_historical_income_group,10,10
CYP,2012,0.18645352693244993,same_historical_income_group,10,10
CZE,2012,0.17974599125758509,same_historical_income_group,10,10
DJI,2012,0.024741871755496646,all_income_groups,10,10
DMA,2012,0.08816341585964836,same_historical_income_group,10,10
DOM,2012,0.0556264720148878,same_historical_income_group,10,10
DZA,2012,0.09503062649288348,same_historical_income_group,10,10
ECU,2012,0.0712439474053258,same_historical_income_group,10,10
ERI,2012,0.09927119910895413,all_income_groups,10,10
EST,2012,0.13594432383309293,same_historical_income_group,10,10
ETH,2012,0.08909424643783913,all_income_groups,10,10
FJI,2012,0.08940913967607353,same_historical_income_group,10,10
FLK,2012,0.0954292845066695,all_income_groups,10,10
FRO,2012,0.20370652432486275,same_historical_income_group,10,10
