spec,outcome,term,threshold_type,threshold_eci_pre,coef,se,p_cluster_two_sided,n_obs,n_countries,r2_within
primary_log_tariff_weighted,Log export recovery,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.17273946855649538,0.06710029250146948,0.010678634790064458,2507,228,0.015447305613963236
primary_log_tariff_weighted,Log export recovery,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.11183105387150484,0.07955763138598398,0.1611920438253074,2507,228,0.015447305613963236
primary_log_tariff_weighted,Log export recovery,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,0.0005524239357202766,0.13123834472690488,0.9966451568479371,2507,228,0.015447305613963236
primary_log_tariff_weighted,Log export recovery,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.096956036951746,0.04905395467892975,0.04930675091533337,2507,228,0.015447305613963236
primary_log_tariff_weighted,Log export recovery,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.08212543907478059,0.07939662855267754,0.30206421479115386,2507,228,0.015447305613963236
pretrend_log_tariff_weighted,Pretrend-adjusted log export deviation,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.03711565928570798,0.09184755596774985,0.6865191416235856,2507,228,0.01916453751373659
pretrend_log_tariff_weighted,Pretrend-adjusted log export deviation,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.1989181070252219,0.11045602504852085,0.07304896739943675,2507,228,0.01916453751373659
pretrend_log_tariff_weighted,Pretrend-adjusted log export deviation,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,0.23772643037121238,0.2901775759886054,0.413506116767589,2507,228,0.01916453751373659
pretrend_log_tariff_weighted,Pretrend-adjusted log export deviation,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.15036309086561758,0.043759808710388745,0.0007016891936600066,2507,228,0.01916453751373659
pretrend_log_tariff_weighted,Pretrend-adjusted log export deviation,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.11537199988104371,0.16384505450363432,0.48205916939424515,2507,228,0.01916453751373659
raw_ratio_tariff_weighted,Raw export-recovery ratio,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,-0.07515465923523784,0.36265852447864033,0.8360140102318611,2507,228,0.008021686655383498
raw_ratio_tariff_weighted,Raw export-recovery ratio,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,0.4057562933901582,0.5483727255528524,0.46010827971040374,2507,228,0.008021686655383498
raw_ratio_tariff_weighted,Raw export-recovery ratio,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,-5.436500521934527,5.421610087293493,0.31705088322202135,2507,228,0.008021686655383498
raw_ratio_tariff_weighted,Raw export-recovery ratio,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.16339521808814492,0.30409802310318285,0.5915790975446928,2507,228,0.008021686655383498
raw_ratio_tariff_weighted,Raw export-recovery ratio,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,2.383416367328303,2.5047970794128926,0.34234201424847643,2507,228,0.008021686655383498
winsorized_ratio_tariff_weighted,Winsorized export-recovery ratio,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.2212834380958278,0.07193522124228371,0.002354378475501398,2507,228,0.020409591225791
winsorized_ratio_tariff_weighted,Winsorized export-recovery ratio,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.12131329695459163,0.08787217974405175,0.16877046530896367,2507,228,0.020409591225791
winsorized_ratio_tariff_weighted,Winsorized export-recovery ratio,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,0.025582409253906754,0.11463717878655023,0.8236118266296801,2507,228,0.020409591225791
winsorized_ratio_tariff_weighted,Winsorized export-recovery ratio,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.09981888661142793,0.05500953303378698,0.07090934322073306,2507,228,0.020409591225791
winsorized_ratio_tariff_weighted,Winsorized export-recovery ratio,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.13634287594748554,0.08961827269832134,0.12955783354644315,2507,228,0.020409591225791
exclude_microeconomies_log,Log export recovery excluding bottom baseline-export decile,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.19711669734721735,0.06989980679771658,0.0052763000686208705,2255,205,0.028096984232024336
exclude_microeconomies_log,Log export recovery excluding bottom baseline-export decile,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.14543054975990494,0.07917440332899027,0.0676887944850423,2255,205,0.028096984232024336
exclude_microeconomies_log,Log export recovery excluding bottom baseline-export decile,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,0.0907101364178909,0.0857356738714092,0.2912971175748929,2255,205,0.028096984232024336
exclude_microeconomies_log,Log export recovery excluding bottom baseline-export decile,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.11291748894965162,0.04791168433449698,0.019381373069468445,2255,205,0.028096984232024336
exclude_microeconomies_log,Log export recovery excluding bottom baseline-export decile,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.14420975109085535,0.06144907200209033,0.019893185735973203,2255,205,0.028096984232024336
weighted_log_tariff_weighted,Export-size-weighted log export recovery,post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.2210916105566015,0.0433324442849198,7.087071088750696e-07,2507,228,0.06183155709544763
weighted_log_tariff_weighted,Export-size-weighted log export recovery,post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.10061719917137973,0.0546283145500286,0.06680151452739919,2507,228,0.06183155709544763
weighted_log_tariff_weighted,Export-size-weighted log export recovery,post_x_eci_above,pre_specified_pre_shock_median,0.09166666666666667,0.1508484074220076,0.051619765151099485,0.0038257383078290287,2507,228,0.06183155709544763
weighted_log_tariff_weighted,Export-size-weighted log export recovery,h6_low_slope,pre_specified_pre_shock_median,0.09166666666666667,0.10398564877765623,0.04148144854492198,0.01288358469312996,2507,228,0.06183155709544763
weighted_log_tariff_weighted,Export-size-weighted log export recovery,h6_high_slope,pre_specified_pre_shock_median,0.09166666666666667,-0.16762042646018624,0.03650208636354834,7.271623685414665e-06,2507,228,0.06183155709544763
covered_basket_log,"Log export recovery, covered-US-basket sensitivity",post_x_exposure,pre_specified_pre_shock_median,0.09166666666666667,0.07222165332305412,0.0796040447944895,0.365230833352019,2507,228,0.004591947029960797
covered_basket_log,"Log export recovery, covered-US-basket sensitivity",post_x_eci_below,pre_specified_pre_shock_median,0.09166666666666667,-0.0777201468370898,0.1020515110780496,0.44710261918789374,2507,228,0.004591947029960797
