replication,threshold_eci_pre,rss_selected
1,-0.57963333,456.53626436179945
2,-0.907,458.6219268209385
3,-0.907,456.7897973065466
4,-0.73925,457.6690560963909
5,-0.73925,452.461139513363
6,-0.38943333,458.0518572484936
7,-0.73925,456.2810000378647
8,-0.73925,457.05535078399487
9,-0.907,458.05905466637455
10,-0.57963333,457.22551256279223
11,-0.57963333,455.7642178019485
12,-0.907,458.4191448691021
13,-0.907,453.8257685359051
14,-0.907,454.07765938899433
15,-0.73925,455.13207525451566
16,-0.73925,455.7405495316068
17,-0.907,457.07248739221774
18,-0.907,458.4015682588751
19,-0.73925,457.73391979854756
20,-0.907,456.38557092455767
21,-0.73925,457.5009042071339
22,0.7145,457.0125571073096
23,-0.907,455.80627565078146
24,-0.907,456.86033221263244
25,-0.907,455.86568757909356
26,-0.907,456.5771868506197
27,-0.907,456.62872968702186
28,-0.73925,454.936804610579
29,-0.73925,458.21172934604544
30,-0.57963333,456.0518639428209
31,-0.907,455.47772987494255
32,-0.907,451.1874090608613
33,-0.21506667,456.4743888215293
34,-0.73925,456.79423740003944
35,-0.907,457.3458102228139
36,-0.907,454.2469758923224
37,-0.57963333,453.3619606611189
38,-0.907,457.6369416166158
39,-0.907,457.82519811523343
40,-0.907,457.1784960821384
41,-0.57963333,456.2853541791561
42,-0.73925,457.46299476818444
43,0.28161667,456.06048565864813
44,-0.907,458.5119799489426
45,-0.907,457.6765305245347
46,-0.57963333,455.9462388229665
47,-0.907,456.70676382970623
48,-0.57963333,455.57816683224286
49,-0.907,458.39894082508175
50,-0.907,455.74591617208483
51,-0.73925,456.2221407350474
52,-0.907,458.28877129942686
53,0.28161667,454.81832511156404
54,-0.907,456.6667222138026
55,-0.907,458.0945591528873
56,-0.907,457.2502357687116
57,-0.57963333,456.10409659296306
58,-0.907,456.6366548021342
59,-0.907,454.7900345617718
60,-0.73925,456.7686907886132
61,0.51945,455.78786621134344
62,-0.73925,455.3572319326093
63,-0.907,457.9216051023047
64,-0.73925,456.53724266626585
65,-0.907,456.3559825286618
66,-0.907,458.3214805124317
67,-0.907,457.65294500647366
68,-0.907,458.34659586141754
69,-0.907,457.141289271673
70,-0.907,457.9111215275665
71,-0.57963333,454.6809443639047
72,-0.907,457.7223306506489
73,-0.907,455.14264332993275
74,-0.73925,455.23174594025437
75,-0.907,453.0538536008551
76,-0.907,456.5599693401198
77,-0.73925,458.0591947642743
78,-0.57963333,457.41191881590885
79,-0.907,457.5996713958843
80,-0.57963333,456.28694442310064
81,-0.73925,455.38872221523184
82,-0.73925,457.5836683201775
83,-0.38943333,457.5551766695127
84,-0.73925,454.0107688924724
85,-0.73925,457.16544727122783
86,-0.907,454.29774620980567
87,-0.907,456.47012676510303
88,-0.38943333,454.14114341423385
89,-0.73925,456.9006252791327
90,-0.907,456.9526301536996
91,-0.907,454.22273609368625
92,-0.73925,458.0537973787847
93,-0.57963333,454.7787548054078
94,-0.907,455.3364786072741
95,-0.907,455.62524632648524
96,-0.907,451.12224315403625
97,-0.57963333,456.13023584786345
98,-0.907,453.11744702244863
99,-0.38943333,457.89493833534334
100,-0.907,454.21959474281624
101,-0.907,457.2520744581284
102,-0.907,457.88217223519246
103,-0.907,454.9884502651671
104,-0.907,457.8212449765746
105,-0.907,457.61343309677585
106,-0.907,458.1432220162726
107,-0.907,455.7560340650032
108,0.28161667,456.38002018021996
109,-0.907,457.4385985861798
110,-0.907,457.00449847619916
111,-0.907,448.67592805985373
112,-0.73925,457.4873705238583
113,-0.21506667,455.2535110467696
114,-0.907,453.96500734116864
115,-0.73925,457.2561534752303
116,-0.907,458.42637577225685
117,-0.73925,454.91179696464974
118,-0.73925,454.29875430750883
119,-0.73925,457.63831119358167
120,-0.907,455.96010814078835
121,-0.57963333,454.84711297726085
122,-0.907,454.8084132251454
123,-0.907,458.5723332040617
124,-0.907,456.57851795793846
125,0.28161667,457.37579011810425
126,-0.57963333,457.42231568343334
127,-0.907,456.312722654023
128,-0.21506667,453.3617187082156
129,-0.907,456.51312174280145
130,-0.907,455.4561651242803
131,-0.21506667,453.2408043412619
132,-0.907,455.7901515985666
133,-0.907,457.5426667132877
134,-0.73925,457.17090143003156
135,-0.907,455.69806360450286
136,-0.73925,458.28353878543777
137,-0.907,454.828924386611
138,-0.907,458.2319572676755
139,-0.73925,457.77684971326295
140,-0.907,456.79385177128813
141,-0.907,457.41739338659676
142,-0.907,456.9529047009446
143,-0.907,455.5924031371118
144,-0.38943333,456.90678278848327
145,-0.907,455.70631462561744
146,-0.907,454.3757747483568
147,-0.907,457.79316117257054
148,-0.907,455.7491647999325
149,-0.907,457.82236944427746
150,-0.907,454.4034192064925
151,0.09166667,456.5502249175043
152,-0.907,457.6468345888046
153,-0.57963333,456.25164125720204
154,-0.57963333,457.89560857519274
155,-0.907,457.8000480035118
156,-0.907,454.3357152167322
157,-0.907,458.00459797324083
158,-0.907,454.7840642609633
159,-0.21506667,455.20488563835465
160,-0.57963333,453.34440032703884
161,-0.907,456.66069526801135
162,-0.907,456.930360836996
163,-0.907,456.80424505088405
164,-0.73925,457.7561692796969
165,-0.907,458.08658434036306
166,-0.907,453.26302210939184
167,-0.907,458.48331846907723
168,-0.907,458.35425488380025
169,-0.73925,456.1077520169677
170,-0.57963333,455.87465648673503
171,-0.907,458.197770262533
172,-0.907,458.12015490646536
173,-0.907,455.9561574925522
174,-0.73925,456.42468181159774
175,-0.57963333,458.2491374925305
176,-0.907,456.929743571062
177,-0.907,454.23566683131685
178,-0.907,454.07028595215775
179,-0.57963333,457.06235095898637
180,-0.73925,454.03270263881785
181,-0.73925,456.3026336409158
182,-0.73925,457.6121847761895
183,-0.907,457.89902469402847
184,-0.57963333,456.92495374390745
185,-0.73925,456.30672374870335
186,-0.73925,455.3596557945946
187,-0.73925,455.2208213278135
188,-0.73925,453.48878237971064
189,-0.73925,458.0321415538532
190,-0.73925,456.5498149211184
191,-0.38943333,456.52921905686617
192,-0.38943333,454.4388684069162
193,-0.73925,458.3571698422217
194,-0.907,456.75445419882044
195,-0.73925,457.32794954852176
196,-0.21506667,456.5404717421063
197,-0.73925,454.3735554927197
198,-0.57963333,457.8041067283963
199,-0.57963333,456.557172611511
200,-0.57963333,455.69655693595536
201,-0.73925,456.0837628219953
202,-0.907,453.75409402723125
203,-0.907,455.8863405912694
204,-0.57963333,457.37705603435336
205,-0.907,455.3921728572736
206,-0.907,457.0917373760817
207,-0.907,455.7857042124784
208,-0.73925,458.22296493239605
209,-0.907,457.62462869099005
210,-0.907,456.1643710560085
211,-0.21506667,455.88990488978936
212,-0.907,458.1210480783069
213,-0.73925,457.49709047490825
214,-0.73925,456.8526741752804
215,-0.907,454.59288083714256
216,-0.907,457.00365449117896
217,-0.38943333,457.10159351734444
218,-0.907,452.6204714255958
219,-0.73925,454.4664012756453
220,-0.907,455.4014828224675
221,-0.73925,455.35362330462874
222,-0.57963333,453.2418048176705
223,-0.907,458.1570960675653
224,0.51945,456.3665928695734
225,-0.907,452.1487578781887
226,-0.73925,456.86321718604705
227,-0.73925,456.12086097868877
228,-0.907,457.74921160035586
229,-0.907,456.5179405660301
230,-0.73925,447.4753109611152
231,-0.21506667,456.05198597427557
232,-0.907,456.3747143836933
233,-0.38943333,458.41719452233167
234,-0.907,453.6280462748795
235,-0.57963333,456.2769657425101
236,-0.907,458.04796482551484
237,-0.907,457.15712198567087
238,-0.73925,457.48041965566864
239,-0.73925,457.12800759203253
240,0.62323333,450.7047246209773
241,-0.73925,455.52830564184546
242,-0.73925,457.9152170858419
243,-0.907,457.76210388060275
244,-0.73925,457.59605909287774
245,-0.907,456.58168466349423
246,-0.907,457.02758010226836
247,-0.907,456.390571168302
248,-0.907,456.9676315258342
249,-0.73925,458.01778008900135
250,-0.57963333,456.0035713546947
251,-0.57963333,457.55916381933673
252,-0.907,455.24859759866195
253,-0.907,454.6562988924585
254,-0.907,457.76244541767693
255,-0.907,457.73590325029306
256,-0.907,457.6989552381584
257,-0.57963333,454.62456580697983
258,-0.907,453.22054043669607
259,-0.907,454.07268728568016
260,-0.907,457.9746055598398
261,-0.907,457.0852237214358
262,-0.57963333,451.93653168630004
263,-0.38943333,455.128129536232
264,-0.907,458.10569425024926
265,-0.907,456.9098591003938
266,-0.57963333,455.88515176010304
267,-0.907,450.78843767635635
268,-0.907,456.3586814743216
269,-0.907,457.2940614636161
270,-0.907,456.68302969285764
271,-0.73925,455.9604562500581
272,-0.38943333,455.01188530110653
273,-0.73925,457.90918403193814
274,-0.907,456.9088537205225
275,-0.73925,457.7301439904197
276,-0.907,458.0448033591863
277,-0.907,453.8804202822748
278,-0.907,457.54674299467615
279,-0.907,454.66216444135216
280,-0.73925,451.23770610271
281,-0.57963333,454.8438883015849
282,-0.57963333,457.2409220011637
283,-0.21506667,455.5990436280075
284,-0.907,453.1542578847078
285,-0.38943333,457.2784097788917
286,-0.907,455.7113185989363
287,-0.907,454.75428675783394
288,-0.907,456.8864769919304
289,0.28161667,456.8313518723876
290,-0.57963333,454.98365225417217
291,-0.73925,456.7471945346691
292,-0.907,457.86193479202325
293,-0.21506667,456.7379884974751
294,-0.907,455.401920944063
295,-0.03963333,455.32501498144495
296,-0.907,457.3868841912958
297,-0.907,457.3266851735825
298,-0.21506667,457.1859759464327
299,-0.73925,457.3434578379831
300,-0.907,458.17720032523283
301,-0.907,454.9821118393467
302,-0.73925,456.8967396098779
303,-0.907,457.4906610635086
304,-0.907,456.6229338932955
305,-0.907,458.0150869652354
306,-0.907,458.21562667263845
307,-0.73925,454.7790914848681
308,-0.907,453.77462395742305
309,-0.907,456.07475445542195
310,-0.57963333,455.0887905307317
311,-0.73925,456.29665020136673
312,0.09166667,455.48885343978395
313,-0.907,458.3765741156692
314,-0.57963333,457.4382370976245
315,-0.73925,456.5916891963316
316,-0.907,458.20371043569673
317,-0.73925,457.22069519399054
318,-0.73925,456.89034054531874
319,-0.907,454.8820982392421
320,-0.73925,456.7351900967032
321,0.28161667,456.56672323059536
