threshold_eci_pre,rss,r2_within,n_obs,n_countries,countries_below_threshold,countries_above_threshold
-0.907,458.7805281575079,0.026792354107356697,2507,228,46,182
-0.73925,459.54211209625583,0.025176811889043416,2507,228,57,171
-0.57963333,460.6284447024264,0.022872382791859214,2507,228,69,159
-0.38943333,461.6159080394035,0.020777684323630363,2507,228,80,148
-0.21506667,462.6550869125347,0.018573282081793763,2507,228,91,137
-0.03963333,463.5260134857696,0.01672579216436576,2507,228,103,125
0.09166667,464.1287057763193,0.015447305591190785,2507,228,114,114
0.28161667,464.5998924620957,0.014447780857475445,2507,228,125,103
0.39473333,465.022318300034,0.013551692139510019,2507,228,137,91
0.51945,465.5066136458743,0.01252436010487712,2507,228,148,80
0.62323333,465.72350385798853,0.012064272547114951,2507,228,159,69
0.7145,465.8044404603082,0.011892582348042247,2507,228,171,57
0.86,465.79089400729293,0.011921318335818554,2507,228,181,45
