country_iso3_code,wb_income_id,wb_income_name,income_group_2015,income_group_2016,income_group_2017,historical_income_group_rule,historical_income_group_tie
AFG,LIC,Low income,LIC,LIC,LIC,modal_2015_2017_tie_break_latest_2017,0
ALB,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
DZA,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
ASM,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
AND,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
AGO,LMC,Lower-middle income,UMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
ATG,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
ARG,UMC,Upper-middle income,UMC,UMC,HIC,modal_2015_2017_tie_break_latest_2017,0
ARM,LMC,Lower-middle income,LMC,LMC,UMC,modal_2015_2017_tie_break_latest_2017,0
ABW,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
AUS,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
AUT,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
AZE,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
BHS,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BHR,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BGD,LMC,Lower-middle income,LMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
BRB,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BLR,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
BEL,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BLZ,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
BEN,LIC,Low income,LIC,LIC,LIC,modal_2015_2017_tie_break_latest_2017,0
BMU,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BTN,LMC,Lower-middle income,LMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
BOL,LMC,Lower-middle income,LMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
BIH,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
BWA,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
BRA,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
VGB,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BRN,HIC,High income,HIC,HIC,HIC,modal_2015_2017_tie_break_latest_2017,0
BGR,UMC,Upper-middle income,UMC,UMC,UMC,modal_2015_2017_tie_break_latest_2017,0
BFA,LIC,Low income,LIC,LIC,LIC,modal_2015_2017_tie_break_latest_2017,0
BDI,LIC,Low income,LIC,LIC,LIC,modal_2015_2017_tie_break_latest_2017,0
CPV,LMC,Lower-middle income,LMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
KHM,LMC,Lower-middle income,LMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
CMR,LMC,Lower-middle income,LMC,LMC,LMC,modal_2015_2017_tie_break_latest_2017,0
