metric,value,tariff_list,expected_official_hts8_line_count,extracted_hts8_line_count_after_chapter_98_99_exclusion,difference_from_official_count,source_file,source_sha256,source_notice,gpr_series,n_rows,n_countries,imputed_rows
historical_income_countries,218,,,,,,,,,,,
income_group_ties,0,,,,,,,,,,,
source_workbook_sha256,f9e3908b9ecd3f9480e6e00b43b1beb2cd04c9fbe8e04db3b4bce47d621fb027,,,,,,,,,,,
source_workbook,world_bank_historical_income_classifications.xlsx,,,,,,,,,,,
,,list1,818.0,817.0,-1.0,ustr_2018_list1_notice.pdf,3e27dfb420dc308a079e7a71f2715fa29ed00fbbd84dbec4514f2cd66b9cf301,"83 FR 28710 (June 20, 2018)",,,,
,,list2,279.0,279.0,0.0,ustr_2018_list2_notice.pdf,97a1883d0617b038e4b5bd2f6e36400168fcc27d67fe6562149cc85866c08729,"83 FR 40823 (August 16, 2018)",,,,
,,list3,5733.0,5741.0,8.0,ustr_2018_list3_notice.pdf,1673a0954c3d0f50db8f275c9aafe4a6c576b487897d0821d7af128b25b19cdc,"83 FR 47974 (September 21, 2018), with later amendments",,,,
,,list4a,3233.0,3233.0,0.0,ustr_2019_list4_original_notice.pdf,d0df1ca6ee0f9c08f31af519cab32ad2adb1607fd8a53880463bebb9136d939c,"84 FR 43304 (August 20, 2019), Annex A only",,,,
baci_rows_scanned_2015_2017,32864341,,,,,,,,,,,
baci_rows_exporter_to_us,591637,,,,,,,,,,,
baci_rows_china_to_third_country,1567224,,,,,,,,,,,
countries_with_baci_tariff_profile,221,,,,,,,,,,,
covered_hs6_with_us_imports,4798,,,,,,,,,,,
china_share_of_covered_us_imports_pre,0.18946116843655963,,,,,,,,,,,
baci_archive_sha256,2dd0dd6174f11e9fc33b9bacf001d50c1913dbfeed9cba30876a1668b2b75bf9,,,,,,,,,,,
tariff_profile_cache_reused,1,,,,,,,,,,,
panel_countries_before_direct_party_exclusion,231,,,,,,,,,,,
excluded_direct_policy_parties,"USA, CHN",,,,,,,,,,,
analysis_countries_after_direct_party_exclusion,229,,,,,,,,,,,
analysis_rows_after_direct_party_exclusion,2511,,,,,,,,,,,
,,,,,,,,,direct_country_observation,462.0,42.0,
,,,,,,,,,profile_matched_knn_k10,2507.0,228.0,2045.0
