hs6,list1,list2,list3,list4a,number_of_lists_at_hs6,multi_list_hs6,dominant_tariff_list
010121,0,0,0,1,1,0,list4a
010129,0,0,0,1,1,0,list4a
010130,0,0,0,1,1,0,list4a
010190,0,0,0,1,1,0,list4a
010221,0,0,0,1,1,0,list4a
010229,0,0,0,1,1,0,list4a
010231,0,0,0,1,1,0,list4a
010239,0,0,0,1,1,0,list4a
010290,0,0,0,1,1,0,list4a
010310,0,0,0,1,1,0,list4a
010391,0,0,0,1,1,0,list4a
010392,0,0,0,1,1,0,list4a
010410,0,0,0,1,1,0,list4a
010420,0,0,0,1,1,0,list4a
010511,0,0,0,1,1,0,list4a
010512,0,0,0,1,1,0,list4a
010513,0,0,0,1,1,0,list4a
010514,0,0,0,1,1,0,list4a
010515,0,0,0,1,1,0,list4a
010594,0,0,0,1,1,0,list4a
010599,0,0,0,1,1,0,list4a
010611,0,0,0,1,1,0,list4a
010612,0,0,0,1,1,0,list4a
010613,0,0,0,1,1,0,list4a
010614,0,0,0,1,1,0,list4a
010619,0,0,0,1,1,0,list4a
010620,0,0,0,1,1,0,list4a
010631,0,0,0,1,1,0,list4a
010632,0,0,0,1,1,0,list4a
010633,0,0,0,1,1,0,list4a
010639,0,0,0,1,1,0,list4a
010641,0,0,0,1,1,0,list4a
010649,0,0,0,1,1,0,list4a
010690,0,0,0,1,1,0,list4a
020110,0,0,0,1,1,0,list4a
020120,0,0,0,1,1,0,list4a
020130,0,0,0,1,1,0,list4a
020210,0,0,0,1,1,0,list4a
020220,0,0,0,1,1,0,list4a
020230,0,0,0,1,1,0,list4a
020311,0,0,0,1,1,0,list4a
020312,0,0,0,1,1,0,list4a
020319,0,0,0,1,1,0,list4a
020321,0,0,0,1,1,0,list4a
020322,0,0,0,1,1,0,list4a
020329,0,0,1,0,1,0,list3
020410,0,0,0,1,1,0,list4a
020421,0,0,0,1,1,0,list4a
020422,0,0,0,1,1,0,list4a
020423,0,0,0,1,1,0,list4a
020430,0,0,0,1,1,0,list4a
020441,0,0,0,1,1,0,list4a
020442,0,0,0,1,1,0,list4a
020443,0,0,0,1,1,0,list4a
020450,0,0,0,1,1,0,list4a
020500,0,0,0,1,1,0,list4a
020610,0,0,1,0,1,0,list3
020621,0,0,0,1,1,0,list4a
020622,0,0,0,1,1,0,list4a
020629,0,0,0,1,1,0,list4a
020630,0,0,0,1,1,0,list4a
020641,0,0,0,1,1,0,list4a
020649,0,0,0,1,1,0,list4a
020680,0,0,0,1,1,0,list4a
020690,0,0,0,1,1,0,list4a
020711,0,0,0,1,1,0,list4a
020712,0,0,0,1,1,0,list4a
020713,0,0,0,1,1,0,list4a
020714,0,0,0,1,1,0,list4a
020724,0,0,0,1,1,0,list4a
020725,0,0,0,1,1,0,list4a
020726,0,0,0,1,1,0,list4a
020727,0,0,0,1,1,0,list4a
020741,0,0,0,1,1,0,list4a
020742,0,0,0,1,1,0,list4a
020743,0,0,0,1,1,0,list4a
020744,0,0,0,1,1,0,list4a
020745,0,0,0,1,1,0,list4a
020751,0,0,0,1,1,0,list4a
020752,0,0,0,1,1,0,list4a
020753,0,0,0,1,1,0,list4a
020754,0,0,0,1,1,0,list4a
020755,0,0,0,1,1,0,list4a
020760,0,0,0,1,1,0,list4a
020810,0,0,1,0,1,0,list3
020830,0,0,0,1,1,0,list4a
020840,0,0,0,1,1,0,list4a
020850,0,0,0,1,1,0,list4a
020860,0,0,0,1,1,0,list4a
020890,0,0,1,1,2,1,list3
020910,0,0,0,1,1,0,list4a
020990,0,0,0,1,1,0,list4a
021011,0,0,0,1,1,0,list4a
021012,0,0,0,1,1,0,list4a
021019,0,0,1,0,1,0,list3
021020,0,0,0,1,1,0,list4a
021091,0,0,0,1,1,0,list4a
021092,0,0,0,1,1,0,list4a
021093,0,0,0,1,1,0,list4a
021099,0,0,0,1,1,0,list4a
030111,0,0,1,0,1,0,list3
030119,0,0,1,0,1,0,list3
030191,0,0,1,0,1,0,list3
030192,0,0,1,0,1,0,list3
030193,0,0,1,0,1,0,list3
030194,0,0,1,0,1,0,list3
030195,0,0,1,0,1,0,list3
030199,0,0,1,0,1,0,list3
030211,0,0,1,0,1,0,list3
030213,0,0,1,0,1,0,list3
030214,0,0,1,0,1,0,list3
030219,0,0,1,0,1,0,list3
030221,0,0,1,0,1,0,list3
030222,0,0,1,0,1,0,list3
030223,0,0,1,0,1,0,list3
030224,0,0,1,0,1,0,list3
030229,0,0,1,0,1,0,list3
030231,0,0,1,0,1,0,list3
