tariff_list,hts8,hs6,source_notice
list1,28459000,284590,"83 FR 28710 (June 20, 2018)"
list1,40113000,401130,"83 FR 28710 (June 20, 2018)"
list1,40121300,401213,"83 FR 28710 (June 20, 2018)"
list1,84011000,840110,"83 FR 28710 (June 20, 2018)"
list1,84012000,840120,"83 FR 28710 (June 20, 2018)"
list1,84013000,840130,"83 FR 28710 (June 20, 2018)"
list1,84014000,840140,"83 FR 28710 (June 20, 2018)"
list1,84021100,840211,"83 FR 28710 (June 20, 2018)"
list1,84021200,840212,"83 FR 28710 (June 20, 2018)"
list1,84021900,840219,"83 FR 28710 (June 20, 2018)"
list1,84022000,840220,"83 FR 28710 (June 20, 2018)"
list1,84029000,840290,"83 FR 28710 (June 20, 2018)"
list1,84042000,840420,"83 FR 28710 (June 20, 2018)"
list1,84049000,840490,"83 FR 28710 (June 20, 2018)"
list1,84051000,840510,"83 FR 28710 (June 20, 2018)"
list1,84059000,840590,"83 FR 28710 (June 20, 2018)"
list1,84061010,840610,"83 FR 28710 (June 20, 2018)"
list1,84061090,840610,"83 FR 28710 (June 20, 2018)"
list1,84068190,840681,"83 FR 28710 (June 20, 2018)"
list1,84068290,840682,"83 FR 28710 (June 20, 2018)"
list1,84071000,840710,"83 FR 28710 (June 20, 2018)"
list1,84072100,840721,"83 FR 28710 (June 20, 2018)"
list1,84072900,840729,"83 FR 28710 (June 20, 2018)"
list1,84081000,840810,"83 FR 28710 (June 20, 2018)"
list1,84089010,840890,"83 FR 28710 (June 20, 2018)"
list1,84089090,840890,"83 FR 28710 (June 20, 2018)"
list1,84091000,840910,"83 FR 28710 (June 20, 2018)"
list1,84101100,841011,"83 FR 28710 (June 20, 2018)"
list1,84101200,841012,"83 FR 28710 (June 20, 2018)"
list1,84101300,841013,"83 FR 28710 (June 20, 2018)"
list1,84109000,841090,"83 FR 28710 (June 20, 2018)"
list1,84111140,841111,"83 FR 28710 (June 20, 2018)"
list1,84111180,841111,"83 FR 28710 (June 20, 2018)"
list1,84111240,841112,"83 FR 28710 (June 20, 2018)"
list1,84111280,841112,"83 FR 28710 (June 20, 2018)"
list1,84112140,841121,"83 FR 28710 (June 20, 2018)"
list1,84112180,841121,"83 FR 28710 (June 20, 2018)"
list1,84112240,841122,"83 FR 28710 (June 20, 2018)"
list1,84112280,841122,"83 FR 28710 (June 20, 2018)"
list1,84118140,841181,"83 FR 28710 (June 20, 2018)"
list1,84118180,841181,"83 FR 28710 (June 20, 2018)"
list1,84118240,841182,"83 FR 28710 (June 20, 2018)"
list1,84118280,841182,"83 FR 28710 (June 20, 2018)"
list1,84119110,841191,"83 FR 28710 (June 20, 2018)"
list1,84119190,841191,"83 FR 28710 (June 20, 2018)"
list1,84119910,841199,"83 FR 28710 (June 20, 2018)"
list1,84119990,841199,"83 FR 28710 (June 20, 2018)"
list1,84121000,841210,"83 FR 28710 (June 20, 2018)"
list1,84122100,841221,"83 FR 28710 (June 20, 2018)"
list1,84122940,841229,"83 FR 28710 (June 20, 2018)"
list1,84122980,841229,"83 FR 28710 (June 20, 2018)"
list1,84123100,841231,"83 FR 28710 (June 20, 2018)"
list1,84123900,841239,"83 FR 28710 (June 20, 2018)"
list1,84128010,841280,"83 FR 28710 (June 20, 2018)"
list1,84128090,841280,"83 FR 28710 (June 20, 2018)"
list1,84129010,841290,"83 FR 28710 (June 20, 2018)"
list1,84131900,841319,"83 FR 28710 (June 20, 2018)"
list1,84134000,841340,"83 FR 28710 (June 20, 2018)"
list1,84135000,841350,"83 FR 28710 (June 20, 2018)"
list1,84136000,841360,"83 FR 28710 (June 20, 2018)"
list1,84137010,841370,"83 FR 28710 (June 20, 2018)"
list1,84137020,841370,"83 FR 28710 (June 20, 2018)"
list1,84138100,841381,"83 FR 28710 (June 20, 2018)"
list1,84138200,841382,"83 FR 28710 (June 20, 2018)"
list1,84139110,841391,"83 FR 28710 (June 20, 2018)"
list1,84139120,841391,"83 FR 28710 (June 20, 2018)"
list1,84139190,841391,"83 FR 28710 (June 20, 2018)"
list1,84143040,841430,"83 FR 28710 (June 20, 2018)"
list1,84143080,841430,"83 FR 28710 (June 20, 2018)"
list1,84145930,841459,"83 FR 28710 (June 20, 2018)"
list1,84148005,841480,"83 FR 28710 (June 20, 2018)"
list1,84148020,841480,"83 FR 28710 (June 20, 2018)"
