country_iso3_code,country_name,wb_region,eci_pre,exposure_pre,pre_trade_openness,z_eci_pre,z_exposure_pre,z_openness_pre
ABW,Aruba,Latin America & Caribbean,0.8849999999999999,0.4475506686847455,147.49417315646417,0.9148751763840055,1.3157393356692113,0.9683293620986408
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",-1.425333333333333,0.11298974045588599,,-1.4208529356503212,-0.662521917209306,
AGO,Angola,Sub-Saharan Africa,-0.6973333333333334,0.47021839078480204,62.75478529014424,-0.6848508873624887,1.4497737447645997,-0.5246138707059085
AIA,Anguilla,,0.852,0.5144204805249987,,0.8815124461731559,1.7111410296182383,
ALB,Albania,Europe & Central Asia,-0.4213333333333333,0.1081372377458165,74.97024318204194,-0.4058171437808377,-0.6912148017659026,-0.3094012564244927
AND,Andorra,Europe & Central Asia,1.1080000000000003,0.0075082148144855,,1.1403263532633834,-1.2862349615733857,
ANS,Undeclared,,,0.0,,,-1.3306310915232185,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",0.6023333333333333,0.1716374011784639,161.45152298853068,0.6291014873052132,-0.315737863872162,1.214230725140601
ARG,Argentina,Latin America & Caribbean,0.2403333333333333,0.22967574386156,27.022830015763162,0.26312244681043906,0.027443287373072837,-1.1541414394666993
ARM,Armenia,Europe & Central Asia,-0.0786666666666666,0.1037333032830861,77.37633490419019,-0.05938394522777339,-0.7172552989451676,-0.26701059908631297
ASM,American Samoa,East Asia & Pacific,0.6133333333333333,0.0,168.00779427435035,0.6402223973754964,-1.3306310915232185,1.3297394760892915
ATA,Antarctica,,1.1843333333333332,0.0,,1.2174987292056512,-1.3306310915232185,
ATF,French Southern and Antarctic Lands,,0.3739999999999999,0.14002688632679303,,0.3982583540281226,-0.5026510729119951,
ATG,Antigua and Barbuda,Latin America & Caribbean,0.293,0.3848999521355172,132.82698809923647,0.31636801623785554,0.9452851835046426,0.7099220827113505
AUS,Australia,East Asia & Pacific,0.2156666666666666,0.36654466641764755,41.793872901472746,0.2381846484710161,0.836750242758852,-0.893904387100043
AUT,Austria,Europe & Central Asia,1.4406666666666668,0.08637945461232589,104.26167474886716,1.4766496335707353,-0.8198687349952919,0.20665680863771846
AZE,Azerbaijan,Europe & Central Asia,-0.898,0.06027554462789359,79.25054697049167,-0.8877232468264427,-0.9742213485661928,-0.23399062700863477
BDI,Burundi,Sub-Saharan Africa,-1.1833333333333333,0.1005692265587808,,-1.1761929141040914,-0.7359645081106388,
BEL,Belgium,Europe & Central Asia,1.178,0.0903829733039886,159.59316534277968,1.211095780983367,-0.7961958992436123,1.1814900771230425
BEN,Benin,Sub-Saharan Africa,-1.0120000000000002,0.3868031863114347,58.73750700572976,-1.0029763148275597,0.9565390213191891,-0.595390502211327
BES,Bonaire,,0.5576666666666666,0.0024471579998479004,,0.5839438524743663,-1.316161028098899,
BFA,Burkina Faso,Sub-Saharan Africa,-1.4436666666666664,0.0511027976891728,60.0581926816049,-1.4393877857674602,-1.0284598693265081,-0.5721225887639212
BGD,Bangladesh,South Asia,-0.8476666666666667,0.2735443648874374,40.390213797126734,-0.8368366583230257,0.2868387692427905,-0.9186341310097317
BGR,Bulgaria,Europe & Central Asia,0.6733333333333333,0.0450697029393897,127.180828072228,0.7008819068497684,-1.0641336033803437,0.6104477223707778
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",0.6273333333333334,0.13268434639028207,158.19294761574432,0.6543762829194933,-0.546067566078156,1.1568209635895792
BHS,The Bahamas,Latin America & Caribbean,0.6003333333333334,0.3367431975320754,75.7603570776402,0.6270795036560709,0.6605339359495184,-0.29548098601329836
BIH,Bosnia and Herzegovina,Europe & Central Asia,0.4083333333333334,0.0176326778355894,89.96842197950387,0.4329690733384006,-1.2263689365510309,-0.04516251097371224
BLM,Saint Barthélemy,,0.6896666666666667,0.0,,0.7173947733177647,-1.3306310915232185,
BLR,Belarus,Europe & Central Asia,0.8736666666666667,0.0394857241820794,126.34076045688299,0.9034172690388653,-1.097151711235805,0.5956473645559905
BLZ,Belize,Latin America & Caribbean,-0.3436666666666666,0.3456807806300158,104.20497261874284,-0.3272967787391412,0.7133819311731049,0.20565782736600743
BMU,Bermuda,North America,0.632,0.2914330399941181,74.16783226145068,0.6590942447674922,0.39261463797983315,-0.3235381765036772
BOL,Bolivia,Latin America & Caribbean,-1.3310000000000002,0.1775280985556328,70.22568838599626,-1.3254827068657722,-0.28090612653995695,-0.3929910858270965
BRA,Brazil,Latin America & Caribbean,0.6353333333333334,0.3483768623059676,25.232113190041716,0.6624642175160629,0.729323882142594,-1.1856903877674299
BRB,Barbados,Latin America & Caribbean,0.444,0.41177358563990546,,0.46902778174810666,1.104189177964577,
BRN,Brunei,East Asia & Pacific,0.4769999999999999,0.1550617847976029,96.89905878353882,0.5023905119589561,-0.413749606613397,0.0769418324271752
BTN,Bhutan,South Asia,-0.2916666666666667,0.0279954832940448,86.64068943678971,-0.27472520386143895,-1.1650935909268194,-0.10379068737812523
BVT,Bouvet Island,,1.0626666666666666,0.0,,1.094494723882822,-1.3306310915232185,
BWA,Botswana,Sub-Saharan Africa,-0.0216666666666666,0.061703520085627094,108.74089908033606,-0.0017574112272150412,-0.965777719081272,0.285572031207291
CAF,Central African Republic,Sub-Saharan Africa,-0.535,0.14101948923175753,47.5621942825049,-0.5207332145070974,-0.49678180456442916,-0.7922777812524862
CAN,Canada,North America,0.9446666666666664,0.752416525870044,64.30582223938865,0.9751976885834203,3.1184134129682572,-0.49728761575517383
CCK,Cocos (Keeling) Islands,,1.375333333333333,0.1778166151451895,,1.41059816769875,-0.27920012580354625,
CHE,Switzerland,Europe & Central Asia,1.8020000000000003,0.1728906745432267,124.11453443149519,1.8419546795157955,-0.30832724916021653,0.5564255910338681
CHL,Chile,Latin America & Caribbean,-0.09233333333333328,0.4346450317535013,61.727864916414084,-0.07320083349691313,1.2394282086647632,-0.5427062107757723
CIV,Côte d'Ivoire,Sub-Saharan Africa,-1.0103333333333333,0.1465065734782962,55.212577587793184,-1.001291328453274,-0.4643366346706447,-0.6574929040946631
CMR,Cameroon,Sub-Saharan Africa,-0.8916666666666667,0.2462662069861917,45.986789723688354,-0.8813202986041585,0.1255428190204675,-0.8200333460994373
COD,Democratic Republic of the Congo,Sub-Saharan Africa,-1.6903333333333332,0.3171640369798641,67.5092187714623,-1.6887657691616895,0.5447622142204598,-0.4408499980785686
COG,Republic of the Congo,Sub-Saharan Africa,-1.2123333333333333,0.28045191017368193,104.80709229022129,-1.2055116770166563,0.32768313581190045,0.21626600511553695
COK,Cook Islands,,0.18166666666666662,0.094521430813586,,0.20381092643559537,-0.7717251692595052,
COL,Colombia,Latin America & Caribbean,0.25366666666666665,0.44017818179484286,37.359266250455185,0.2766023378047217,1.272145765945276,-0.9720335329021229
COM,Comoros,Sub-Saharan Africa,-0.6406666666666667,0.1237119020444165,39.06529799158277,-0.6275613506367874,-0.599121696119584,-0.9419765711161326
CPV,Cabo Verde,Sub-Saharan Africa,0.0196666666666666,0.0831373599865718,92.92706496310875,0.04003025085506106,-0.8390392645913469,0.006963025118496792
CRI,Costa Rica,Latin America & Caribbean,0.2266666666666666,0.4707582453062759,64.05169763275177,0.24930555854129932,1.4529659085587308,-0.5017647971618433
CUB,Cuba,Latin America & Caribbean,-0.5763333333333333,0.223808466560771,35.76160258559265,-0.5625208765893734,-0.00724996687359361,-1.000181259913286
CUW,Curaçao,Latin America & Caribbean,0.4413333333333333,0.3107748348799689,156.86361179793985,0.4663318035492501,0.5069828147611581,1.1334006514621575
CXR,Christmas Island,,0.8303333333333335,0.0458275197687375,,0.8596076233074469,-1.0596526268412887,
CYM,Cayman Islands,Latin America & Caribbean,0.54,0.1867541196593594,117.436583958714,0.5660829969069419,-0.22635259524637832,0.4387730894242221
CYP,Cyprus,Europe & Central Asia,0.5976666666666667,0.05460550053162929,131.40445291810468,0.6243835254572143,-1.0077483614099618,0.6848597790344885
