test_id,event_year,term,estimate,se,p_cluster,ci_low_95,ci_high_95,n_obs,n_countries,outcome_key,outcome,lower_order_terms_per_year,event_reference_year
market_connectivity_event_2012,2012,event_eci_x_exposure_x_openness_2012,0.00013642929568111195,0.009221922444267285,0.9882128958816633,-0.01806055231932238,0.018333410910684605,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2013,2013,event_eci_x_exposure_x_openness_2013,-0.0016387638735769414,0.010529295956512901,0.8764923742980488,-0.02241549520021079,0.019137967453056907,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2014,2014,event_eci_x_exposure_x_openness_2014,0.009795323901905233,0.007154799735792611,0.17268758195038542,-0.0043227474696648956,0.02391339527347536,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2015,2015,event_eci_x_exposure_x_openness_2015,0.003582360704904357,0.008752363910148407,0.6828046161799536,-0.013688073537339474,0.020852794947148187,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2016,2016,event_eci_x_exposure_x_openness_2016,0.009010010854338182,0.010718688425998121,0.40169347153819884,-0.012140435530741539,0.030160457239417904,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2018,2018,event_eci_x_exposure_x_openness_2018,0.01263968380097829,0.008472773593412265,0.13750208641292608,-0.004079054210449448,0.029358421812406027,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2019,2019,event_eci_x_exposure_x_openness_2019,0.009381581031360685,0.007944720643097942,0.2392174112055916,-0.006295186622292965,0.025058348685014335,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2020,2020,event_eci_x_exposure_x_openness_2020,0.026797943598561587,0.01211290870785167,0.028200848681222617,0.0028963787791769467,0.050699508417946224,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2021,2021,event_eci_x_exposure_x_openness_2021,0.04516319570483858,0.012137131221675819,0.000264995923610019,0.02121383427456385,0.0691125571351133,1991,181,diversification,Partner diversification excluding US and China,7,2017
market_connectivity_event_2022,2022,event_eci_x_exposure_x_openness_2022,0.047377072109361415,0.013099297562823119,0.0003872580158215148,0.021529134397812864,0.07322500982090996,1991,181,diversification,Partner diversification excluding US and China,7,2017
