excluded_country,estimate,se,p_cluster,n_obs,n_countries
ABW,0.025309875345295586,0.00653750973673912,0.0001514601078778697,1980,180
AGO,0.024833730737310555,0.006423328561861342,0.0001545315935529538,1980,180
ALB,0.024770147902393437,0.006393127380305232,0.0001497438382870192,1980,180
ARE,0.02475992399230451,0.00641272394027451,0.000157547955667301,1980,180
ARG,0.0248565848306299,0.0064012853502131905,0.0001449612970639214,1980,180
ARM,0.024828606495248796,0.0063981991181726785,0.00014634189966819072,1980,180
ASM,0.025144360872848277,0.006414061553833649,0.00012585572120207784,1980,180
ATG,0.024906159442983238,0.0063495051835205174,0.00012473453181741749,1980,180
AUS,0.02479006860201364,0.006397802777050476,0.00014958387146651284,1980,180
AUT,0.0248199161233449,0.006397103471988362,0.00014672731025970232,1980,180
AZE,0.024902217418744446,0.006391957314970981,0.0001380807115928212,1980,180
BEL,0.024794186619412704,0.006399436179408915,0.00014977970003126156,1980,180
BEN,0.024978080297497828,0.006400078264480846,0.00013449795155645884,1980,180
BFA,0.02458123042853807,0.006515172528877054,0.0002191555908552995,1980,180
BGD,0.024807220678954293,0.006396341864121023,0.00014757656640510233,1980,180
BGR,0.024820825704129065,0.0064054158764457955,0.0001494726628942342,1980,180
BHR,0.02464348462697709,0.006417661365986223,0.0001705980692665917,1980,180
BHS,0.02479250642305809,0.006398150702685273,0.00014948743027641583,1980,180
BIH,0.024791981542434456,0.006399987372691499,0.00015016481629797184,1980,180
BLR,0.024773016745837893,0.006408356852674774,0.0001547898522975336,1980,180
BLZ,0.024792418625124445,0.006394777771626767,0.00014834239400953315,1980,180
BMU,0.024787070330782802,0.006394220257783621,0.00014862272567563604,1980,180
BOL,0.02489898490361631,0.006395171961316138,0.00013937993754743316,1980,180
BRA,0.024799847210329372,0.006398091455029878,0.00014881904673411285,1980,180
BRN,0.024689103933205708,0.006395761731394755,0.0001580443711975789,1980,180
BTN,0.024409113733726305,0.00638786413099143,0.0001830597578029836,1980,180
BWA,0.02436239069341563,0.006420831558614691,0.00020242043685845127,1980,180
CAF,0.024698796056527278,0.006436862271398191,0.0001724436449823372,1980,180
CAN,0.024825250158655183,0.006387335097332525,0.0001430083380949577,1980,180
CHE,0.024843697413729843,0.00640810663067723,0.0001483772061379454,1980,180
CHL,0.024802679180873838,0.006402871891556161,0.0001502071116277292,1980,180
