dv,spec,coef,pvalue,delta_vs_main,n_obs,n_countries
DV1_GVC_Linkage_Change,Main_FE_cluster,0.35190352067303227,0.40763932671851133,0.0,679,76
DV1_GVC_Linkage_Change,Trim_flagged_obs,-0.03705965928592497,0.7251897372866147,-0.38896317995895724,638,76
DV1_GVC_Linkage_Change,Winsorize_1_99_dv_eci,0.2862176301047096,0.4561036994636358,-0.06568589056832269,679,76
DV1_GVC_Linkage_Change,Drop_top5_influential_countries,-0.3807340126564715,0.19835244622837733,-0.7326375333295038,634,71
DV2_Export_Recovery,Main_FE_cluster,-0.1030868624149686,0.18272272769443443,0.0,1729,180
DV2_Export_Recovery,Trim_flagged_obs,-0.10760472230628823,0.01413862210331286,-0.004517859891319628,1653,173
DV2_Export_Recovery,Winsorize_1_99_dv_eci,-0.13006579448755107,0.02172728679946545,-0.026978932072582465,1729,180
DV2_Export_Recovery,Drop_top5_influential_countries,-0.15130371726198885,0.009154290249587275,-0.04821685484702025,1684,175
DV3_Partner_Diversification,Main_FE_cluster,0.0005757448508210013,0.9630290252515152,0.0,1729,180
DV3_Partner_Diversification,Trim_flagged_obs,0.00575788501052797,0.18683327086399548,0.005182140159706968,1605,175
DV3_Partner_Diversification,Winsorize_1_99_dv_eci,0.00012281624305493044,0.9919681525480842,-0.0004529286077660709,1729,180
DV3_Partner_Diversification,Drop_top5_influential_countries,0.004495724684545301,0.5784001661530989,0.0039199798337243,1679,175
