dv,spec,coef_z_eci_pe,se,pvalue,n_obs,n_countries,dropped_countries
DV1_GVC_Linkage_Change,Main_FE_cluster,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76,
DV1_GVC_Linkage_Change,Trim_flagged_obs,-0.03705965928592497,0.10542347491019112,0.7251897372866147,638,76,
DV1_GVC_Linkage_Change,Winsorize_1_99_dv_eci,0.2862176301047096,0.3840414500219784,0.4561036994636358,679,76,
DV1_GVC_Linkage_Change,Drop_top5_influential_countries,-0.3807340126564715,0.29600089017469394,0.19835244622837733,634,71,AGO|BRN|COD|NOR|KAZ
DV2_Export_Recovery,Main_FE_cluster,-0.1030868624149686,0.07736823487694293,0.18272272769443443,1729,180,
DV2_Export_Recovery,Trim_flagged_obs,-0.10760472230628823,0.04385367226720368,0.01413862210331286,1653,173,
DV2_Export_Recovery,Winsorize_1_99_dv_eci,-0.13006579448755107,0.056671033229950776,0.02172728679946545,1729,180,
DV2_Export_Recovery,Drop_top5_influential_countries,-0.15130371726198885,0.05805445755945742,0.009154290249587275,1684,175,DJI|NRU|YEM|FSM|MAC
DV3_Partner_Diversification,Main_FE_cluster,0.0005757448508210013,0.012420918880851315,0.9630290252515152,1729,180,
DV3_Partner_Diversification,Trim_flagged_obs,0.00575788501052797,0.0043620168064693095,0.18683327086399548,1605,175,
DV3_Partner_Diversification,Winsorize_1_99_dv_eci,0.00012281624305493044,0.01220037229481063,0.9919681525480842,1729,180,
DV3_Partner_Diversification,Drop_top5_influential_countries,0.004495724684545301,0.008089864767903772,0.5784001661530989,1679,175,TCD|BTN|FSM|PLW|MLI
