country_iso3_code,dvs,total_flagged,avg_flag_rate
DJI,2,12,0.6666666666666666
FSM,2,11,0.55
NRU,2,11,0.611111111111111
AGO,2,9,0.4833333333333333
CYM,2,8,1.0
SSD,2,8,1.0
MAC,2,7,0.35
TCD,1,8,0.8
BTN,1,7,0.7
YEM,1,7,1.0
BRN,1,6,0.6666666666666666
COD,1,6,0.6666666666666666
MLI,1,6,0.6
PLW,1,6,0.6
SLE,1,6,0.6
TLS,1,6,0.8571428571428571
VUT,1,5,0.5
ABW,1,4,0.4
BMU,1,4,0.4
NOR,1,4,0.4444444444444444
COG,1,3,0.3
GNB,1,3,0.3
GUM,1,3,0.3
KAZ,1,3,0.3333333333333333
KIR,1,3,0.3
NER,1,3,0.3
NPL,1,3,0.3
PYF,1,3,1.0
SDN,1,3,0.3
VEN,1,3,1.0
