dv,sample,coef_z_eci_pe,se,pvalue,n_obs,n_countries
DV1_GVC_Linkage_Change,All,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76
DV1_GVC_Linkage_Change,Exclude_Q1_smallest,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76
DV1_GVC_Linkage_Change,Q1_smallest_only,,,,0,0
DV1_GVC_Linkage_Change,Q4_largest_only,-0.18211530141854412,0.24369184786863463,0.4548716369772916,459,51
DV2_Export_Recovery,All,-0.1030868624149686,0.07736823487694293,0.18272272769443443,1729,180
DV2_Export_Recovery,Exclude_Q1_smallest,-0.10000276824142741,0.061806970248773685,0.1056657693744134,1529,158
DV2_Export_Recovery,Q1_smallest_only,-0.303425220138129,0.4879445398049951,0.5340446722958638,200,22
DV2_Export_Recovery,Q4_largest_only,0.03384350707843563,0.038873984799412495,0.38397518303011835,559,56
DV3_Partner_Diversification,All,0.0005757448508210013,0.012420918880851315,0.9630290252515152,1729,180
DV3_Partner_Diversification,Exclude_Q1_smallest,-0.001306197322709215,0.011781986512027375,0.9117242492727813,1529,158
DV3_Partner_Diversification,Q1_smallest_only,0.0303913026163615,0.05099193035429154,0.5511737577672984,200,22
DV3_Partner_Diversification,Q4_largest_only,0.01694610763879838,0.007460681396898678,0.02312345608579514,559,56
