country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate,dv
BRN,9,6,0.10835536838921396,3.3549497886537534,0.17233415096806204,0.6666666666666666,DV1_GVC_Linkage_Change
COD,9,6,0.07565826773319348,2.6851370238138688,0.3175569317514597,0.6666666666666666,DV1_GVC_Linkage_Change
AGO,9,6,0.03697044765021458,1.871129395835937,0.3102458347857858,0.6666666666666666,DV1_GVC_Linkage_Change
NOR,9,4,0.03255120430315892,1.769113581265435,0.130378804380374,0.4444444444444444,DV1_GVC_Linkage_Change
KAZ,9,3,0.010091010715151694,0.9717356841098829,0.16934489622612656,0.3333333333333333,DV1_GVC_Linkage_Change
ISL,9,2,0.05787794143279871,2.3875633464703387,0.13782884302201456,0.2222222222222222,DV1_GVC_Linkage_Change
ARE,9,2,0.046139374811871005,2.1072688221324176,0.1713949393709982,0.2222222222222222,DV1_GVC_Linkage_Change
PER,9,2,0.042862371916432426,2.0335628728511854,0.15730656484009653,0.2222222222222222,DV1_GVC_Linkage_Change
LAO,4,2,0.02434425483039593,1.511059423684652,0.2756488895025809,0.5,DV1_GVC_Linkage_Change
ZAF,9,2,0.0076729917162422475,0.8473987454661903,0.13769308997066682,0.2222222222222222,DV1_GVC_Linkage_Change
CMR,9,1,0.01924500937523218,1.3504826440788684,0.15159335478923858,0.1111111111111111,DV1_GVC_Linkage_Change
RUS,9,1,0.012803898533821936,1.0975994339512083,0.1408450735988988,0.1111111111111111,DV1_GVC_Linkage_Change
GRC,9,1,0.012634878905690382,1.089818478424762,0.13952686279384166,0.1111111111111111,DV1_GVC_Linkage_Change
CIV,9,1,0.009685309451761558,0.9531369653996301,0.14379042813525883,0.1111111111111111,DV1_GVC_Linkage_Change
COL,9,1,0.007717981460489624,0.8500754381048946,0.13787108272586363,0.1111111111111111,DV1_GVC_Linkage_Change
CHL,9,1,0.0074311668856912256,0.8339331650256798,0.17793436046182248,0.1111111111111111,DV1_GVC_Linkage_Change
DNK,9,0,0.0057070677030271345,0.7301299137087592,0.1296222343548096,0.0,DV1_GVC_Linkage_Change
EGY,9,0,0.005358144609575659,0.7072860650637112,0.13228181683011708,0.0,DV1_GVC_Linkage_Change
HRV,9,0,0.005335958641755185,0.7058606480067886,0.13155519951187689,0.0,DV1_GVC_Linkage_Change
SAU,9,0,0.004756504475228227,0.6652908292245675,0.24815510347615027,0.0,DV1_GVC_Linkage_Change
DJI,9,9,0.4232661103128117,11.43604235966323,0.14656210014412085,1.0,DV2_Export_Recovery
NRU,9,8,0.11802693680894952,5.079626521671528,0.13848677727202127,0.8888888888888888,DV2_Export_Recovery
YEM,7,7,0.021489122338165682,2.076809565460312,0.17158609479303066,1.0,DV2_Export_Recovery
FSM,10,5,0.006568793993798784,1.1439025775165876,0.12090235695630544,0.5,DV2_Export_Recovery
ABW,10,4,0.050621288044559946,3.251318446475887,0.1184140166464466,0.4,DV2_Export_Recovery
MAC,10,4,0.012692774088374346,1.5912902120182106,0.16729799673517662,0.4,DV2_Export_Recovery
SSD,4,4,0.012564226366419677,1.580066503310173,0.2782248542663319,1.0,DV2_Export_Recovery
CYM,4,4,0.0024244167079141717,0.6929341730341837,0.256284483136688,1.0,DV2_Export_Recovery
GUM,10,3,0.03502141318604026,2.682720898818988,0.11022200690088892,0.3,DV2_Export_Recovery
NER,10,3,0.010527601644195144,1.4514713927969387,0.11148719219925161,0.3,DV2_Export_Recovery
PYF,3,3,0.00046034626242095025,0.3018272382317308,0.33847503276011,1.0,DV2_Export_Recovery
VEN,3,3,0.0002029454503872125,0.20039717637718568,0.34161717810317627,1.0,DV2_Export_Recovery
SLE,10,2,0.00810745822652878,1.2720530868702384,0.11071592529348599,0.2,DV2_Export_Recovery
ASM,10,2,0.004205659835514226,0.9142151765488349,0.11171392555057312,0.2,DV2_Export_Recovery
TLS,7,2,0.004029283272745076,0.8938950185762848,0.2133158756175286,0.2857142857142857,DV2_Export_Recovery
ATG,8,2,0.0034614007874113886,0.8288015796846077,0.1382307529193564,0.25,DV2_Export_Recovery
CRI,10,2,0.0033441637550030053,0.8149327997214612,0.11056894890762102,0.2,DV2_Export_Recovery
AFG,2,2,0.0026495923138473926,0.7241909601362523,0.5054665361260654,1.0,DV2_Export_Recovery
SDN,10,1,0.009789402205907585,1.3990631085763692,0.12147867591543501,0.1,DV2_Export_Recovery
GIN,10,1,0.008710834174182412,1.3175885745257565,0.137212274219517,0.1,DV2_Export_Recovery
TCD,10,8,0.023325415882799846,2.174194961928387,0.12770412448683793,0.8,DV3_Partner_Diversification
BTN,10,7,0.01275866318198602,1.599826961961114,0.11181154830789364,0.7,DV3_Partner_Diversification
TLS,7,6,0.06882451760840848,3.752365636351333,0.2133158756175286,0.8571428571428571,DV3_Partner_Diversification
PLW,10,6,0.03127355771381161,2.521868929983671,0.13021720136948517,0.6,DV3_Partner_Diversification
SLE,10,6,0.028048813453109642,2.390917975574034,0.11071592529348599,0.6,DV3_Partner_Diversification
FSM,10,6,0.01090791558138074,1.4773516233304473,0.12090235695630544,0.6,DV3_Partner_Diversification
MLI,10,6,0.007745548751552651,1.2432349100580022,0.11498638041216269,0.6,DV3_Partner_Diversification
VUT,10,5,0.009360262447661753,1.367667017270809,0.11618330930178468,0.5,DV3_Partner_Diversification
SSD,4,4,0.06213022782666155,3.543345565262519,0.2782248542663319,1.0,DV3_Partner_Diversification
CYM,4,4,0.017750020329969907,1.8804097536615072,0.256284483136688,1.0,DV3_Partner_Diversification
BMU,10,4,0.008855629026514305,1.3297868284961596,0.11395647605185012,0.4,DV3_Partner_Diversification
DJI,9,3,0.04575342977380436,3.06910789435054,0.14656210014412085,0.3333333333333333,DV3_Partner_Diversification
SDN,10,3,0.019017367092805108,1.9597228004403615,0.12147867591543501,0.3,DV3_Partner_Diversification
NRU,9,3,0.018922174639511354,1.9524851348379049,0.13848677727202127,0.3333333333333333,DV3_Partner_Diversification
NPL,10,3,0.012930125620251436,1.6104738210269667,0.11095925574502803,0.3,DV3_Partner_Diversification
GNB,10,3,0.007240420396958205,1.2015223290058346,0.1163945501158315,0.3,DV3_Partner_Diversification
MAC,10,3,0.004776215537273321,0.9741194854518133,0.16729799673517662,0.3,DV3_Partner_Diversification
COG,10,3,0.004757936884958696,0.972536269745556,0.12749630430826986,0.3,DV3_Partner_Diversification
KIR,10,3,0.004706296764984258,0.9672388003152862,0.11776022298595304,0.3,DV3_Partner_Diversification
AGO,10,3,0.002950343216609281,0.7650822927387373,0.12869366344342476,0.3,DV3_Partner_Diversification
