model,dv,coef_key,se_key,p_key,coef_key_fmt,n_obs,n_countries,year_min,year_max,r2
Model1_Baseline,DV1_GVC_Linkage_Change,0.42346384879407317,0.5902426802359431,0.4731024991992624,0.423 (0.590),800,80,2013,2022,0.10956746613086321
Model2_Controls,DV1_GVC_Linkage_Change,0.5825730492714805,0.5671877129792453,0.30436130130407923,0.583 (0.567),754,76,2013,2022,0.14082230831673825
Model3_Full_DiD,DV1_GVC_Linkage_Change,0.5825730492714843,0.5676165884378574,0.30472683319624605,0.583 (0.568),754,76,2013,2022,0.14082230831673814
Model4_PSM_DiD,DV1_GVC_Linkage_Change,0.5877930878820242,0.5663082695016624,0.29929874379304755,0.588 (0.566),394,40,2013,2022,0.1947486752640466
Model1_Baseline,DV2_Export_Recovery,-0.8306557561480046,0.76216032120761,0.27577036310379555,-0.831 (0.762),2529,230,2012,2022,0.2457841394472774
Model2_Controls,DV2_Export_Recovery,-0.11237271766980957,0.10031582405232223,0.26263308165303967,-0.112 (0.100),1924,180,2012,2022,0.39290287238636346
Model3_Full_DiD,DV2_Export_Recovery,-0.11237271766981244,0.1003448800483116,0.262771301158899,-0.112 (0.100),1924,180,2012,2022,0.39290287238636346
Model4_PSM_DiD,DV2_Export_Recovery,-0.12182530758887869,0.09342691065473611,0.19224593205651153,-0.122 (0.093),1261,118,2012,2022,0.3760792826036967
Model1_Baseline,DV3_Partner_Diversification,-0.004422409496259607,0.012965181016998627,0.7330290995090096,-0.004 (0.013),2529,230,2012,2022,0.7928818049609336
Model2_Controls,DV3_Partner_Diversification,0.0013772129167645602,0.011809399933116783,0.9071611414183451,0.001 (0.012),1924,180,2012,2022,0.8806446626474975
Model3_Full_DiD,DV3_Partner_Diversification,0.001377212916764639,0.011812820469012759,0.9071879023647206,0.001 (0.012),1924,180,2012,2022,0.8806446626474975
Model4_PSM_DiD,DV3_Partner_Diversification,0.0006490617933602724,0.011860299537878684,0.9563570885131751,0.001 (0.012),1261,118,2012,2022,0.8686159277731311
