model,dv,coef_key_no_rents,se_key_no_rents,p_key_no_rents,n_obs_no_rents,n_countries_no_rents,year_min_no_rents,year_max_no_rents,coef_key_with_rents,se_key_with_rents,p_key_with_rents,n_obs_with_rents,n_countries_with_rents,year_min_with_rents,year_max_with_rents,coef_diff_no_minus_with,n_diff_no_minus_with,yearmax_diff_no_minus_with
Model1_Baseline,DV1_GVC_Linkage_Change,0.4234638487940731,0.5902426802359431,0.4731024991992624,800,80,2013,2022,0.4234638487940731,0.5902426802359431,0.4731024991992624,800,80,2013,2022,0.0,0,0
Model1_Baseline,DV2_Export_Recovery,-0.8306557561480046,0.76216032120761,0.2757703631037955,2529,230,2012,2022,-0.8306557561480046,0.76216032120761,0.2757703631037955,2529,230,2012,2022,0.0,0,0
Model1_Baseline,DV3_Partner_Diversification,-0.0044224094962596,0.0129651810169986,0.7330290995090096,2529,230,2012,2022,-0.0044224094962596,0.0129651810169986,0.7330290995090096,2529,230,2012,2022,0.0,0,0
Model2_Controls,DV1_GVC_Linkage_Change,0.5825730492714805,0.5671877129792453,0.3043613013040792,754,76,2013,2022,0.3519035206730338,0.4246138553929021,0.4072395044205787,679,76,2013,2021,0.23066952859844664,75,1
Model2_Controls,DV2_Export_Recovery,-0.1123727176698095,0.1003158240523222,0.2626330816530396,1924,180,2012,2022,-0.1030868624149652,0.0773429800256492,0.1825798814656396,1729,180,2012,2021,-0.009285855254844294,195,1
Model2_Controls,DV3_Partner_Diversification,0.0013772129167645,0.0118093999331167,0.9071611414183453,1924,180,2012,2022,0.0005757448508212,0.0124168643944104,0.9630169617439346,1729,180,2012,2021,0.0008014680659433001,195,1
Model3_Full_DiD,DV1_GVC_Linkage_Change,0.5825730492714843,0.5676165884378574,0.304726833196246,754,76,2013,2022,0.3519035206730331,0.4249759994718577,0.4076393267185104,679,76,2013,2021,0.23066952859845125,75,1
Model3_Full_DiD,DV2_Export_Recovery,-0.1123727176698124,0.1003448800483116,0.262771301158899,1924,180,2012,2022,-0.1030868624149702,0.0773682348769428,0.1827227276944272,1729,180,2012,2021,-0.009285855254842199,195,1
Model3_Full_DiD,DV3_Partner_Diversification,0.0013772129167646,0.0118128204690127,0.9071879023647206,1924,180,2012,2022,0.0005757448508209,0.0124209188808513,0.9630290252515196,1729,180,2012,2021,0.0008014680659437001,195,1
Model4_PSM_DiD,DV1_GVC_Linkage_Change,0.5877930878820242,0.5663082695016624,0.2992987437930475,394,40,2013,2022,0.3562891985472327,0.4359803040522006,0.4138061558932773,355,40,2013,2021,0.23150388933479155,39,1
Model4_PSM_DiD,DV2_Export_Recovery,-0.1218253075888786,0.0934269106547361,0.1922459320565115,1261,118,2012,2022,-0.1046097097858989,0.0766360569849513,0.1722469310790608,1131,118,2012,2021,-0.01721559780297971,130,1
Model4_PSM_DiD,DV3_Partner_Diversification,0.0006490617933602,0.0118602995378786,0.9563570885131752,1261,118,2012,2022,5.951947147764063e-05,0.01280392813296,0.9962910213308208,1131,118,2012,2021,0.0005895423218825593,130,1
