model,dv,coef_key,se_key,p_key,coef_key_fmt,n_obs,n_countries,year_min,year_max,r2
Model1_Baseline,DV1_GVC_Linkage_Change,0.42346384879407317,0.5902426802359431,0.4731024991992624,0.423 (0.590),800,80,2013,2022,0.10956746613086321
Model2_Controls,DV1_GVC_Linkage_Change,0.3519035206730338,0.4246138553929021,0.40723950442057877,0.352 (0.425),679,76,2013,2021,0.15387581985800158
Model3_Full_DiD,DV1_GVC_Linkage_Change,0.35190352067303315,0.42497599947185777,0.40763932671851044,0.352 (0.425),679,76,2013,2021,0.15387581985800158
Model4_PSM_DiD,DV1_GVC_Linkage_Change,0.3562891985472327,0.4359803040522006,0.4138061558932773,0.356 (0.436),355,40,2013,2021,0.21076571838880465
Model1_Baseline,DV2_Export_Recovery,-0.8306557561480046,0.76216032120761,0.27577036310379555,-0.831 (0.762),2529,230,2012,2022,0.2457841394472774
Model2_Controls,DV2_Export_Recovery,-0.1030868624149652,0.07734298002564927,0.18257988146563964,-0.103 (0.077),1729,180,2012,2021,0.4085632219474523
Model3_Full_DiD,DV2_Export_Recovery,-0.10308686241497023,0.07736823487694289,0.1827227276944272,-0.103 (0.077),1729,180,2012,2021,0.4085632219474523
Model4_PSM_DiD,DV2_Export_Recovery,-0.10460970978589897,0.07663605698495131,0.17224693107906086,-0.105 (0.077),1131,118,2012,2021,0.4016303353139026
Model1_Baseline,DV3_Partner_Diversification,-0.004422409496259607,0.012965181016998627,0.7330290995090096,-0.004 (0.013),2529,230,2012,2022,0.7928818049609336
Model2_Controls,DV3_Partner_Diversification,0.0005757448508212291,0.012416864394410412,0.9630169617439346,0.001 (0.012),1729,180,2012,2021,0.8972852829462769
Model3_Full_DiD,DV3_Partner_Diversification,0.0005757448508209319,0.012420918880851312,0.9630290252515197,0.001 (0.012),1729,180,2012,2021,0.8972852829462769
Model4_PSM_DiD,DV3_Partner_Diversification,5.951947147764063e-05,0.012803928132960088,0.9962910213308208,0.000 (0.013),1131,118,2012,2021,0.8871102683733695
