mode,dv,stratifier,group,coef,pvalue,n,pooled_coef,reversal,sig_reversal
raw,H1_DV1_Stability,_pooled,ALL,0.044348800851031406,0.7521548996748009,800,0.044348800851031406,0,0
raw,H1_DV1_Stability,size_q4,size_q4_3,0.9649669222711895,0.033435146427889986,240,0.044348800851031406,0,0
raw,H1_DV1_Stability,size_q4,size_q4_4,-0.28795616366062515,0.09303899684383728,520,0.044348800851031406,1,1
raw,H1_DV1_Stability,income_q4,income_q4_2,0.8752611458684431,0.05152863230738159,126,0.044348800851031406,0,0
raw,H1_DV1_Stability,income_q4,income_q4_4,-0.9480633404864629,0.030055986417920007,327,0.044348800851031406,1,1
raw,H1_DV1_Stability,income_q4,income_q4_3,-0.5140935544737686,0.11303196317999367,234,0.044348800851031406,1,0
raw,H1_DV1_Stability,income_q4,income_q4_1,1.523657687303302,0.016920569993942976,103,0.044348800851031406,0,0
raw,H1_DV1_Stability,eci_t3,eci_t3_1,1.3396622098147235,0.06611803393771316,115,0.044348800851031406,0,0
raw,H1_DV1_Stability,eci_t3,eci_t3_2,2.4288336053273323,0.04156017572154321,206,0.044348800851031406,0,0
raw,H1_DV1_Stability,eci_t3,eci_t3_3,-0.9293514672845312,0.019436750829781895,479,0.044348800851031406,1,1
raw,H1_DV1_Stability,coi_q4,coi_q4_3,0.47365131862091475,0.17198575960589407,204,0.044348800851031406,0,0
raw,H1_DV1_Stability,coi_q4,coi_q4_4,-0.7556840630140034,0.0006942190845289394,450,0.044348800851031406,1,1
raw,H1_DV1_Stability,wgi_q4,wgi_q4_1,1.5339596308055057,0.016621360092822793,106,0.044348800851031406,0,0
raw,H1_DV1_Stability,wgi_q4,wgi_q4_3,1.007701339170952,0.06277410077124697,161,0.044348800851031406,0,0
raw,H1_DV1_Stability,wgi_q4,wgi_q4_4,-0.42690756837972893,0.18164465951261555,349,0.044348800851031406,1,0
raw,H1_DV1_Stability,wgi_q4,wgi_q4_2,-0.16247329483825174,0.7748222257586839,174,0.044348800851031406,1,0
raw,H1_DV1_Stability,open_q4,open_q4_2,-0.01380435770167722,0.95868935200767,193,0.044348800851031406,1,0
raw,H1_DV1_Stability,open_q4,open_q4_1,-0.07593369642728032,0.7813497659457946,183,0.044348800851031406,1,0
raw,H1_DV1_Stability,open_q4,open_q4_4,-1.8763467790740418,0.007312010436276671,243,0.044348800851031406,1,1
raw,H1_DV1_Stability,open_q4,open_q4_3,1.3750082258488854,0.005878156228157313,135,0.044348800851031406,0,0
raw,H1_DV1_Stability,rents_q4,rents_q4_4,-0.15923268861218645,0.8379663975590471,91,0.044348800851031406,1,0
raw,H1_DV1_Stability,rents_q4,rents_q4_3,0.5875233502418147,0.12748639567886494,220,0.044348800851031406,0,0
raw,H1_DV1_Stability,rents_q4,rents_q4_2,-0.00990081543611133,0.9554677299574729,253,0.044348800851031406,1,0
raw,H1_DV1_Stability,rents_q4,rents_q4_1,0.929404116830539,0.3740884332180244,147,0.044348800851031406,0,0
raw,H1_DV1_Stability,tariff_q4,tariff_q4_3,0.5970437311267285,0.09953755583881205,117,0.044348800851031406,0,0
raw,H1_DV1_Stability,tariff_q4,tariff_q4_2,-0.4772614420363387,0.31776582357866606,240,0.044348800851031406,1,0
raw,H1_DV1_Stability,tariff_q4,tariff_q4_1,-0.35386229144743464,0.1614728011425732,273,0.044348800851031406,1,0
raw,H1_DV1_Stability,intensity_q4,intensity_q4_4,0.003614479593944675,0.981327879026196,180,0.044348800851031406,0,0
raw,H1_DV1_Stability,intensity_q4,intensity_q4_3,0.5309787342880787,0.07586592637371559,190,0.044348800851031406,0,0
raw,H1_DV1_Stability,gpr_time_q4,gprQ2,0.6092443477537564,0.2016235820183675,111,0.044348800851031406,0,0
raw,H1_DV1_Stability,gpr_time_q4,gprQ4,2.1661520952439592,0.003987035053005628,111,0.044348800851031406,0,0
raw,H1_DV1_Stability,gpr_time_q4,gprQ1,-0.21744654199977637,0.20872957061520905,467,0.044348800851031406,1,0
raw,H1_DV1_Stability,post_group,post,0.09687631364238511,0.600059286494803,320,0.044348800851031406,0,0
raw,H1_DV1_Stability,exposed_group,exposed,0.021751534906837428,0.8904981679826905,220,0.044348800851031406,0,0
raw,H2_DV2_ExportRecovery,_pooled,ALL,0.35731708007379265,0.5650332523782716,2529,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,size_q4,size_q4_1,2.7284482523072793,0.38994093847838673,637,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,size_q4,size_q4_2,-0.23895557441040244,0.002183795280533109,627,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,size_q4,size_q4_3,-0.2577880083529927,7.082342267087185e-05,638,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,size_q4,size_q4_4,0.010634329666219773,0.8056900827993687,627,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,income_q4,income_q4_4,-0.08914518085259668,0.4474281712205085,558,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,income_q4,income_q4_1,-0.3247524496769795,0.0029143576399892597,559,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,income_q4,income_q4_2,0.5903924314820694,0.001758640106542123,558,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,income_q4,income_q4_3,-0.6318439932098466,1.7397294872510093e-05,558,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,eci_t3,eci_t3_2,0.3478447584885293,0.3847732646379884,845,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,eci_t3,eci_t3_3,0.42700129596947856,0.3165525372312142,841,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,eci_t3,eci_t3_1,0.6032246803320213,0.8539414237992685,843,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,coi_q4,coi_q4_2,-0.3460003310013544,0.19582571990400588,631,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,coi_q4,coi_q4_3,-0.12199222506204813,0.2498638134314845,633,0.35731708007379265,1,0
raw,H2_DV2_ExportRecovery,coi_q4,coi_q4_1,0.4677028864743234,0.908345302720949,634,0.35731708007379265,0,0
raw,H2_DV2_ExportRecovery,coi_q4,coi_q4_4,-0.2897303223983604,0.034537679672800914,631,0.35731708007379265,1,1
raw,H2_DV2_ExportRecovery,wgi_q4,wgi_q4_4,-0.021177720546645983,0.7893281609638187,552,0.35731708007379265,1,0
