dv,stratifier,groups,support05,support10,share_support05,share_support10
H1_DV1_Stability,coi_q4,2,0,0,0.0,0.0
H1_DV1_Stability,eci_t3,3,0,0,0.0,0.0
H1_DV1_Stability,exposed_group,1,0,0,0.0,0.0
H1_DV1_Stability,gpr_time_q4,2,0,0,0.0,0.0
H1_DV1_Stability,income_q4,3,0,1,0.0,0.3333333333333333
H1_DV1_Stability,intensity_q4,2,0,0,0.0,0.0
H1_DV1_Stability,open_q4,4,0,0,0.0,0.0
H1_DV1_Stability,post_group,1,0,0,0.0,0.0
H1_DV1_Stability,rents_q4,4,1,1,0.25,0.25
H1_DV1_Stability,size_q4,2,0,0,0.0,0.0
H1_DV1_Stability,tariff_q4,3,1,1,0.3333333333333333,0.3333333333333333
H1_DV1_Stability,wgi_q4,3,1,1,0.3333333333333333,0.3333333333333333
H2_DV2_ExportRecovery,coi_q4,4,0,0,0.0,0.0
H2_DV2_ExportRecovery,eci_t3,3,0,0,0.0,0.0
H2_DV2_ExportRecovery,exposed_group,1,0,0,0.0,0.0
H2_DV2_ExportRecovery,gpr_time_q4,2,0,0,0.0,0.0
H2_DV2_ExportRecovery,income_q4,4,0,0,0.0,0.0
H2_DV2_ExportRecovery,intensity_q4,2,0,0,0.0,0.0
H2_DV2_ExportRecovery,open_q4,4,0,0,0.0,0.0
H2_DV2_ExportRecovery,post_group,1,0,0,0.0,0.0
H2_DV2_ExportRecovery,rents_q4,4,0,0,0.0,0.0
H2_DV2_ExportRecovery,size_q4,4,0,0,0.0,0.0
H2_DV2_ExportRecovery,tariff_q4,4,0,0,0.0,0.0
H2_DV2_ExportRecovery,wgi_q4,4,1,1,0.25,0.25
H3_DV3_Diversification,coi_q4,4,0,0,0.0,0.0
H3_DV3_Diversification,eci_t3,3,1,1,0.3333333333333333,0.3333333333333333
H3_DV3_Diversification,exposed_group,1,0,0,0.0,0.0
H3_DV3_Diversification,gpr_time_q4,2,0,0,0.0,0.0
H3_DV3_Diversification,income_q4,4,2,2,0.5,0.5
H3_DV3_Diversification,intensity_q4,2,0,0,0.0,0.0
H3_DV3_Diversification,open_q4,4,1,1,0.25,0.25
H3_DV3_Diversification,post_group,1,0,0,0.0,0.0
H3_DV3_Diversification,rents_q4,4,0,0,0.0,0.0
H3_DV3_Diversification,size_q4,4,1,1,0.25,0.25
H3_DV3_Diversification,tariff_q4,4,0,0,0.0,0.0
H3_DV3_Diversification,wgi_q4,4,1,1,0.25,0.25
