dv,stratifier,group,coef,pvalue,n
H1_DV1_Stability,size_q4,size_q4_3,0.9649669222711896,0.0334351464278899,240
H1_DV1_Stability,income_q4,income_q4_1,1.523657687303302,0.0169205699939429,103
H1_DV1_Stability,eci_t3,eci_t3_2,2.4288336053273323,0.0415601757215432,206
H1_DV1_Stability,wgi_q4,wgi_q4_1,1.5339596308055057,0.0166213600928227,106
H1_DV1_Stability,open_q4,open_q4_3,1.3750082258488854,0.0058781562281573,135
H1_DV1_Stability,gpr_time_q4,gprQ4,2.1661520952439592,0.0039870350530056,111
H2_DV2_ExportRecovery,income_q4,income_q4_2,0.5903924314820694,0.0017586401065421,558
H2_DV2_ExportRecovery,wgi_q4,wgi_q4_1,0.3138370983499072,0.0236652430414237,553
H3_DV3_Diversification,size_q4,size_q4_3,0.0700437971956613,0.0002227928315268,638
H3_DV3_Diversification,income_q4,income_q4_2,0.1447810979028008,0.0001118580686068,558
H3_DV3_Diversification,wgi_q4,wgi_q4_3,0.0717893303276287,0.0121946994437834,552
H3_DV3_Diversification,open_q4,open_q4_4,0.0514775782996916,0.0097775085761847,493
