dv,stratifier,group,coef,pvalue,n
H1_DV1_Stability,income_q4,income_q4_2,0.7818447981814715,0.094760382412254,100
H1_DV1_Stability,wgi_q4,wgi_q4_3,1.5921179745627474,0.0012740205990641,144
H1_DV1_Stability,rents_q4,rents_q4_3,1.1209067511213195,0.0097487933544537,197
H1_DV1_Stability,tariff_q4,tariff_q4_3,0.8820536950920133,0.0248338649116243,103
H2_DV2_ExportRecovery,wgi_q4,wgi_q4_1,0.4646579805407531,0.0119148959472705,407
H3_DV3_Diversification,size_q4,size_q4_3,0.0788450781702202,0.0001129744776089,533
H3_DV3_Diversification,income_q4,income_q4_2,0.095017924125272,0.0208592596912203,442
H3_DV3_Diversification,income_q4,income_q4_3,0.078627714265823,0.0123250345711355,414
H3_DV3_Diversification,eci_t3,eci_t3_3,0.1004622556283199,0.0043698961474242,556
H3_DV3_Diversification,wgi_q4,wgi_q4_3,0.0782505267673469,0.0098007484293945,409
H3_DV3_Diversification,open_q4,open_q4_4,0.047764085189821,0.0250481855360014,419
