dv,stratifier,group,coef,pvalue,n,pooled_coef,reversal_vs_pooled
H1_DV1_Stability,_pooled,ALL,-0.26387755072227276,0.08281490647409583,679,-0.26387755072227276,0
H1_DV1_Stability,income_q,I2,0.7818447981814715,0.09476038241225407,100,-0.26387755072227276,1
H1_DV1_Stability,income_q,I4,-0.9995005778350972,0.03247338958190538,292,-0.26387755072227276,0
H1_DV1_Stability,income_q,I3,-0.16761617420911656,0.600511225549594,212,-0.26387755072227276,0
H1_DV1_Stability,size_q,Q4,-0.16881437466717944,0.32144141953001903,459,-0.26387755072227276,0
H1_DV1_Stability,size_q,Q3,-0.759544376451839,0.13082892977283928,193,-0.26387755072227276,0
H1_DV1_Stability,eci_t,E1,-0.8717752146921776,0.2946546937415462,82,-0.26387755072227276,0
H1_DV1_Stability,eci_t,E2,1.7499138437640742,0.2157703124061292,178,-0.26387755072227276,1
H1_DV1_Stability,eci_t,E3,-0.6234423532224994,0.14759562096971612,419,-0.26387755072227276,0
H1_DV1_Stability,exposed,1,-0.22428451504920244,0.19606576211971946,180,-0.26387755072227276,0
H2_DV2_ExportRecovery,_pooled,ALL,-0.1145195526599526,0.004515047137094463,1729,-0.1145195526599526,0
H2_DV2_ExportRecovery,income_q,I4,0.0724957079317024,0.530396668400888,425,-0.1145195526599526,1
H2_DV2_ExportRecovery,income_q,I1,-0.23542932617855986,0.03949254814055293,448,-0.1145195526599526,0
H2_DV2_ExportRecovery,income_q,I2,0.12199129483818667,0.4123881313201581,442,-0.1145195526599526,1
H2_DV2_ExportRecovery,income_q,I3,-0.017615371458782482,0.9068736496068867,414,-0.1145195526599526,0
H2_DV2_ExportRecovery,size_q,Q1,-0.7250268929250876,0.019612164055275882,200,-0.1145195526599526,0
H2_DV2_ExportRecovery,size_q,Q2,-0.17022205774444693,0.06518120124598,447,-0.1145195526599526,0
H2_DV2_ExportRecovery,size_q,Q4,0.030299083138449534,0.35410186823246875,559,-0.1145195526599526,1
H2_DV2_ExportRecovery,size_q,Q3,-0.2081460849784567,0.00036968806949819633,523,-0.1145195526599526,0
H2_DV2_ExportRecovery,eci_t,E2,0.14662616491664981,0.6521260431268537,559,-0.1145195526599526,1
H2_DV2_ExportRecovery,eci_t,E3,0.13879882655438147,0.3946898248280386,556,-0.1145195526599526,1
H2_DV2_ExportRecovery,eci_t,E1,-0.3326765735968276,0.004128635757220245,614,-0.1145195526599526,0
H2_DV2_ExportRecovery,exposed,1,-0.10557939005923618,0.07565259923120268,569,-0.1145195526599526,0
H3_DV3_Diversification,_pooled,ALL,-0.013242576157408757,0.2384590262144647,1729,-0.013242576157408757,0
H3_DV3_Diversification,income_q,I4,0.010745672947984149,0.6661836485632151,425,-0.013242576157408757,1
H3_DV3_Diversification,income_q,I1,-0.006562912089823361,0.849467031511826,448,-0.013242576157408757,0
H3_DV3_Diversification,income_q,I2,0.09501792412527205,0.020859259691220346,442,-0.013242576157408757,1
H3_DV3_Diversification,income_q,I3,0.078627714265823,0.012325034571135507,414,-0.013242576157408757,1
H3_DV3_Diversification,size_q,Q1,-0.03817487951514249,0.3850242853876836,200,-0.013242576157408757,0
H3_DV3_Diversification,size_q,Q2,-0.05188166246825633,0.10585531267412951,447,-0.013242576157408757,0
H3_DV3_Diversification,size_q,Q4,0.03801737010041613,0.0009763271629851773,559,-0.013242576157408757,1
H3_DV3_Diversification,size_q,Q3,0.07471250419153473,0.00031624143696416275,523,-0.013242576157408757,1
H3_DV3_Diversification,eci_t,E2,-0.12831674417663136,0.11702232383052899,559,-0.013242576157408757,0
H3_DV3_Diversification,eci_t,E3,0.10046225562831992,0.004369896147424201,556,-0.013242576157408757,1
H3_DV3_Diversification,eci_t,E1,-0.006965204275619521,0.8419255416933876,614,-0.013242576157408757,0
H3_DV3_Diversification,exposed,1,-0.0037948251094499143,0.7466916323685996,569,-0.013242576157408757,0
