dv,stratifier,n_groups,pooled_coef,weighted_mean_group_coef,sign_pooled,sign_weighted_group_mean,reversal_groups_count,reversal_groups_share
H1_DV1_Stability,eci_t,3,-0.26387755072227276,-0.03125662653163566,-1,-1,1,0.3333333333333333
H1_DV1_Stability,exposed,1,-0.26387755072227276,-0.22428451504920244,-1,-1,0,0.0
H1_DV1_Stability,income_q,3,-0.26387755072227276,-0.412589930202043,-1,-1,1,0.3333333333333333
H1_DV1_Stability,size_q,2,-0.26387755072227276,-0.3436777034163194,-1,-1,0,0.0
H2_DV2_ExportRecovery,eci_t,3,-0.1145195526599526,-0.026100198054256115,-1,-1,2,0.6666666666666666
H2_DV2_ExportRecovery,exposed,1,-0.1145195526599526,-0.10557939005923618,-1,-1,0,0.0
H2_DV2_ExportRecovery,income_q,4,-0.1145195526599526,-0.016214154842382145,-1,-1,2,0.5
H2_DV2_ExportRecovery,size_q,4,-0.1145195526599526,-0.18103982265247245,-1,-1,1,0.25
H3_DV3_Diversification,eci_t,3,-0.013242576157408757,-0.011653372637722056,-1,-1,1,0.3333333333333333
H3_DV3_Diversification,exposed,1,-0.013242576157408757,-0.0037948251094499143,-1,-1,0,0.0
H3_DV3_Diversification,income_q,4,-0.013242576157408757,0.04405813913017546,-1,1,3,0.75
H3_DV3_Diversification,size_q,4,-0.013242576157408757,0.0170620419618081,-1,1,2,0.5
