dv,stratifier,n_groups,pooled_coef,weighted_mean_group_coef,sign_pooled,sign_weighted_group_mean,reversal_groups_count,reversal_groups_share
H1_DV1_Stability,eci_t,3,0.044348800851031406,0.2615519049960415,1,1,1,0.3333333333333333
H1_DV1_Stability,exposed,1,0.044348800851031406,0.021751534906837428,1,1,0,0.0
H1_DV1_Stability,income_q,4,0.044348800851031406,-0.20644931381553325,1,-1,2,0.5
H1_DV1_Stability,size_q,2,0.044348800851031406,0.15511599831270623,1,1,1,0.5
H2_DV2_ExportRecovery,eci_t,3,0.35731708007379265,0.45929431251602715,1,1,0,0.0
H2_DV2_ExportRecovery,exposed,1,0.35731708007379265,1.3622550789818504,1,1,0,0.0
H2_DV2_ExportRecovery,income_q,4,0.35731708007379265,-0.11393175178203323,1,-1,3,0.75
H2_DV2_ExportRecovery,size_q,4,0.35731708007379265,0.5596249638650254,1,1,2,0.5
H3_DV3_Diversification,eci_t,3,-0.01557736641902367,0.006903535527393467,-1,1,2,0.6666666666666666
H3_DV3_Diversification,exposed,1,-0.01557736641902367,-0.02720206342497409,-1,-1,0,0.0
H3_DV3_Diversification,income_q,4,-0.01557736641902367,0.055963037407621805,-1,1,3,0.75
H3_DV3_Diversification,size_q,4,-0.01557736641902367,0.002862734070175247,-1,1,2,0.5
