variable,label,smd_before,smd_after_residual_density_weighting
pre_log_real_gdp_pc,Log real GDP per capita,-0.3227063567657081,-0.739743098520643
pre_real_gdp_pc_growth_mean,Mean real GDP-per-capita growth,-0.29462507774456065,-0.37551410736077045
pre_real_gdp_pc_growth_slope,Real GDP-per-capita growth trend,-0.36646236327121445,-0.6634856009686143
pre_real_gdp_pc_growth_volatility,GDP-per-capita growth volatility,0.17214966617234878,0.2847203583459642
pre_manufacturing_value_added_share,Manufacturing value-added share,-0.349298300353134,-0.4524904429171435
pre_trade_openness,Trade openness,-0.4307599189388432,-0.5936370156809073
pre_resource_rents,Natural-resource-rent dependence,0.5378419241969076,0.8086799359464456
pre_institutional_quality,Institutional quality,-0.5407670452399977,-0.9902538330423172
pre_export_concentration,Export concentration,0.3746564178490301,0.6450246926966143
pre_log_population,Log population,0.2923928952742597,0.5287797720409185
