outcome_key,term,model,coefficient,p_cluster,percentage_change_from_model_A,sign_stability_vs_A,confidence_intervals_overlap,common_sample_n_countries,common_sample_n_obs,adjustment_evidence
diversification,eci_exposure_post,A_FE,-0.02537093635486192,0.023922433518303112,0.0,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post,B_structural_x_year,-0.020766443819926705,0.03706248276932408,18.148689786346182,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post,C_region_x_year,-0.03032458523726025,0.007367302193107671,-19.524895782764613,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post,D_country_trends,-0.002729372968463456,0.7076601819923501,89.2421275656213,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post_x_moderator,A_FE,0.009392000565571691,0.23118856543109667,0.0,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post_x_moderator,B_structural_x_year,0.003887307335664557,0.6165783489160703,-58.61044397809898,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post_x_moderator,C_region_x_year,0.008927832438341846,0.2930759538400387,-4.94216460049363,True,True,166,1826,Models A-D; no weighting model
diversification,eci_exposure_post_x_moderator,D_country_trends,0.004348664297893271,0.40889739538766645,-53.69821086005686,True,True,166,1826,Models A-D; no weighting model
gvc,eci_exposure_post,A_FE,0.10338980837129995,0.6472316085323252,0.0,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post,B_structural_x_year,0.06318008602968275,0.830554629356241,-38.891379116608405,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post,C_region_x_year,0.11929185306448772,0.6175822513530991,15.380669471868405,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post,D_country_trends,0.2175362961888053,0.43432748850642805,110.40400365921496,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post_x_moderator,A_FE,0.15729220940031446,0.4403719561287944,0.0,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post_x_moderator,B_structural_x_year,0.2157581021140161,0.3931872115849871,37.170240621964815,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post_x_moderator,C_region_x_year,0.12605840173481228,0.593631957929136,-19.85718668749257,True,True,73,803,Models A-D; no weighting model
gvc,eci_exposure_post_x_moderator,D_country_trends,-0.1693328721542988,0.5689612570138787,-207.6549644765561,False,True,73,803,Models A-D; no weighting model
recovery,eci_exposure_post,A_FE,-0.005986891195989618,0.9198045089683969,0.0,True,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post,B_structural_x_year,-0.021915569797260767,0.6397184538255145,-266.0592631438023,True,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post,C_region_x_year,0.020916487243067806,0.7232904764246272,449.37142764643755,False,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post,D_country_trends,0.023141485131441264,0.49446928513473876,486.53592279984696,False,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post_x_moderator,A_FE,0.011068146352475598,0.7717761802822701,0.0,True,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post_x_moderator,B_structural_x_year,0.023071531946001877,0.5135395946712383,108.44982720021133,True,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post_x_moderator,C_region_x_year,-0.0017496927274863018,0.9672961879777764,-115.80836277155794,False,True,166,1826,Models A-D; no weighting model
recovery,eci_exposure_post_x_moderator,D_country_trends,0.013096997051692066,0.6434903076124455,18.33053733304383,True,True,166,1826,Models A-D; no weighting model
