test_id,variant,outcome_key,outcome,event_year,term,estimate,se,p_cluster,ci_low_95,ci_high_95,n_obs,n_countries
corrected_event_full_sample_gvc_2012,full_sample,gvc,Adverse forward-GVC deviation stability,2012,event_eci_exposure_2012,-0.20194354864647837,0.48919017831194167,0.6809221720970132,-1.1764603565784382,0.7725732592854814,836,76
corrected_event_full_sample_gvc_2013,full_sample,gvc,Adverse forward-GVC deviation stability,2013,event_eci_exposure_2013,-0.20088950156649085,0.43000876690676293,0.6417288664373354,-1.057510892361301,0.6557318892283194,836,76
corrected_event_full_sample_gvc_2014,full_sample,gvc,Adverse forward-GVC deviation stability,2014,event_eci_exposure_2014,-0.512979350442626,0.33474820001449823,0.1296230670643102,-1.179831960739881,0.15387325985462919,836,76
corrected_event_full_sample_gvc_2015,full_sample,gvc,Adverse forward-GVC deviation stability,2015,event_eci_exposure_2015,-0.29727612690046246,0.2188200544179664,0.17836412377126257,-0.7331880286453811,0.13863577484445616,836,76
corrected_event_full_sample_gvc_2016,full_sample,gvc,Adverse forward-GVC deviation stability,2016,event_eci_exposure_2016,-0.11069680680614707,0.25966428478597375,0.6711049504089084,-0.627974587845737,0.4065809742334428,836,76
corrected_event_full_sample_gvc_2018,full_sample,gvc,Adverse forward-GVC deviation stability,2018,event_eci_exposure_2018,0.06827826607868281,0.12826234331163508,0.5960690229278691,-0.18723342430980044,0.3237899564671661,836,76
corrected_event_full_sample_gvc_2019,full_sample,gvc,Adverse forward-GVC deviation stability,2019,event_eci_exposure_2019,0.16172610181106603,0.2832503148830684,0.5697300829624095,-0.4025374605893077,0.7259896642114398,836,76
corrected_event_full_sample_gvc_2020,full_sample,gvc,Adverse forward-GVC deviation stability,2020,event_eci_exposure_2020,-0.04308437628113987,0.1926497546348656,0.8236447424428881,-0.426862367457259,0.34069361489497924,836,76
corrected_event_full_sample_gvc_2021,full_sample,gvc,Adverse forward-GVC deviation stability,2021,event_eci_exposure_2021,-0.05121410644058709,0.2679049128441562,0.8489127020970488,-0.5849080603852135,0.48247984750403927,836,76
corrected_event_full_sample_gvc_2022,full_sample,gvc,Adverse forward-GVC deviation stability,2022,event_eci_exposure_2022,-0.31228110500876455,0.21666005058987214,0.15365063793664593,-0.7438900584750835,0.1193278484575544,836,76
corrected_event_pooled_regime_interacted_gvc_2012,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2012,event_eci_exposure_2012,0.05523066895769557,0.5868439145311843,0.9252689844898734,-1.1138223572429842,1.2242836951583753,836,76
corrected_event_pooled_regime_interacted_gvc_2013,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2013,event_eci_exposure_2013,-0.09024823125012911,0.5059420309039155,0.8589081543439541,-1.0981364408140881,0.9176399783138298,836,76
corrected_event_pooled_regime_interacted_gvc_2014,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2014,event_eci_exposure_2014,-0.4814319899013119,0.38326766286376923,0.21296955006805107,-1.2449403266516317,0.2820763468490078,836,76
corrected_event_pooled_regime_interacted_gvc_2015,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2015,event_eci_exposure_2015,-0.23528753307315775,0.29798787367759855,0.43225787102978613,-0.8289098180928497,0.3583347519465342,836,76
corrected_event_pooled_regime_interacted_gvc_2016,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2016,event_eci_exposure_2016,-0.1637849280057146,0.33853301364755806,0.6299318931453256,-0.8381772736938853,0.510607417682456,836,76
corrected_event_pooled_regime_interacted_gvc_2018,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2018,event_eci_exposure_2018,0.13607092382634886,0.14643861345605627,0.3557659248810691,-0.1556497534685625,0.42779160112126025,836,76
corrected_event_pooled_regime_interacted_gvc_2019,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2019,event_eci_exposure_2019,0.13997141128285767,0.34470070117486334,0.6858499906541511,-0.5467075980136706,0.8266504205793859,836,76
corrected_event_pooled_regime_interacted_gvc_2020,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2020,event_eci_exposure_2020,-0.10486247900586329,0.2278094596736559,0.6466270880464009,-0.55868219432384,0.3489572363121134,836,76
corrected_event_pooled_regime_interacted_gvc_2021,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2021,event_eci_exposure_2021,-0.11181428493138566,0.31046267954111234,0.7197444536346184,-0.7302876575825432,0.5066590877197719,836,76
corrected_event_pooled_regime_interacted_gvc_2022,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,2022,event_eci_exposure_2022,-0.3818608566527326,0.26281598052002303,0.15040644719753696,-0.9054171375528817,0.14169542424741643,836,76
corrected_event_regime_R1_gvc_2012,regime_R1,gvc,Adverse forward-GVC deviation stability,2012,event_eci_exposure_2012,0.017822121825766646,0.7001360831386936,0.9798451726696964,-1.4066154496161674,1.4422596932677005,374,34
corrected_event_regime_R1_gvc_2013,regime_R1,gvc,Adverse forward-GVC deviation stability,2013,event_eci_exposure_2013,0.006960168663235344,0.5803792426072077,0.9905038487790089,-1.1738302787431896,1.1877506160696605,374,34
corrected_event_regime_R1_gvc_2014,regime_R1,gvc,Adverse forward-GVC deviation stability,2014,event_eci_exposure_2014,-0.5209151383160753,0.41435250038853605,0.21751409937792418,-1.363921638892935,0.3220913622607843,374,34
corrected_event_regime_R1_gvc_2015,regime_R1,gvc,Adverse forward-GVC deviation stability,2015,event_eci_exposure_2015,-0.3571628289362835,0.33148039134138274,0.2890805143750365,-1.03156475592482,0.3172390980522529,374,34
corrected_event_regime_R1_gvc_2016,regime_R1,gvc,Adverse forward-GVC deviation stability,2016,event_eci_exposure_2016,-0.1936738555864353,0.40237033347612783,0.6334567689023469,-1.012302454283409,0.6249547431105384,374,34
