test_id,variant,outcome_key,outcome,test_type,wald_chi2,wald_df,p_cluster,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,post_start
corrected_event_post_period_full_sample_confirmatory_gvc,full_sample_confirmatory,gvc,Adverse forward-GVC deviation stability,joint_post_period,4.672522236331904,5,0.4571373981097224,0.767,999,999,0.767,858,78,2018
corrected_event_post_period_full_sample_cleaned_structural_gvc,full_sample_cleaned_structural,gvc,Adverse forward-GVC deviation stability,joint_post_period,4.943183242404508,5,0.4228535099001448,0.729,999,999,0.729,847,77,2018
corrected_event_post_period_pooled_regime_interacted_gvc,pooled_regime_interacted,gvc,Adverse forward-GVC deviation stability,joint_post_period,15.19901824395429,10,0.1249727208301395,0.835,999,999,0.835,847,77,2018
corrected_event_post_period_regime_R1_gvc,regime_R1,gvc,Adverse forward-GVC deviation stability,joint_post_period,11.158917096928608,5,0.0483185942374884,0.578,999,999,0.578,374,34,2018
corrected_event_post_period_regime_R2_gvc,regime_R2,gvc,Adverse forward-GVC deviation stability,joint_post_period,3.7010229523754345,5,0.5932117385281913,0.729,999,999,0.729,473,43,2018
corrected_event_post_period_full_sample_confirmatory_recovery,full_sample_confirmatory,recovery,Log export recovery,joint_post_period,5.330905721411948,5,0.3768439968557401,0.531,999,999,0.531,2507,228,2018
corrected_event_post_period_full_sample_cleaned_structural_recovery,full_sample_cleaned_structural,recovery,Log export recovery,joint_post_period,6.1718740719270935,5,0.2898523123397232,0.614,999,999,0.614,2222,202,2018
corrected_event_post_period_pooled_regime_interacted_recovery,pooled_regime_interacted,recovery,Log export recovery,joint_post_period,14.038422347222172,10,0.1712462493887573,0.776,999,999,0.776,2222,202,2018
corrected_event_post_period_regime_R1_recovery,regime_R1,recovery,Log export recovery,joint_post_period,9.919200173005423,5,0.0775573147570325,0.652,999,999,0.652,1199,109,2018
corrected_event_post_period_regime_R2_recovery,regime_R2,recovery,Log export recovery,joint_post_period,4.074493408052859,5,0.5387413904266551,0.696,999,999,0.696,1023,93,2018
