test_id,outcome_key,outcome,post_start,test,threshold_z_eci,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries
h6_2018_gvc_H6_low_slope_negative,gvc,Adverse forward-GVC deviation stability,2018,H6_low_slope_negative,0.09033990109194491,0.5982095287408331,0.4257918589914781,1.40493416233401,0.917915360634717,-0.2500113507127092,1.4464304081943755,0.836,999,999,0.836,836,76
h6_2018_gvc_H6_high_minus_low_positive,gvc,Adverse forward-GVC deviation stability,2018,H6_high_minus_low_positive,0.09033990109194491,-0.6190054635006605,0.4255095838796155,-1.4547391808589405,0.9250429545090482,-1.46666402209584,0.22865309509451903,0.851,999,999,0.851,836,76
h6_2018_recovery_H6_low_slope_negative,recovery,Log export recovery,2018,H6_low_slope_negative,0.09033990109194491,0.028619760452013098,0.04141315832750909,0.691078913269026,0.7548393443480677,-0.05304518813005245,0.11028470903407865,0.647,999,999,0.647,2200,200
h6_2018_recovery_H6_high_minus_low_positive,recovery,Log export recovery,2018,H6_high_minus_low_positive,0.09033990109194491,-0.08197782097904388,0.053830568820287014,-1.5228860250896898,0.9353126401418863,-0.18812936344500325,0.02417372148691549,0.885,999,999,0.885,2200,200
h6_2018_diversification_H6_low_slope_negative,diversification,Partner diversification excluding US and China,2018,H6_low_slope_negative,0.09033990109194491,-0.014710416687169207,0.014561992632175648,-1.0101925649011527,0.15681487444660588,-0.04342603335553379,0.014005199981195378,0.384,999,999,0.384,2200,200
h6_2018_diversification_H6_high_minus_low_positive,diversification,Partner diversification excluding US and China,2018,H6_high_minus_low_positive,0.09033990109194491,0.01841478983954339,0.018158988401361067,1.014086766978889,0.15588636319064306,-0.017393946175512254,0.05422352585459904,0.231,999,999,0.231,2200,200
h6_2019_gvc_H6_low_slope_negative,gvc,Adverse forward-GVC deviation stability,2019,H6_low_slope_negative,0.09033990109194491,0.38479479126254024,0.29091343772225703,1.3227123307721327,0.9050249276900264,-0.19473449465216497,0.9643240771772454,0.856,999,999,0.856,836,76
h6_2019_gvc_H6_high_minus_low_positive,gvc,Adverse forward-GVC deviation stability,2019,H6_high_minus_low_positive,0.09033990109194491,-0.379865445701826,0.2900639587179427,-1.309592020259249,0.9028342723015478,-0.957702482662257,0.19797159125860497,0.862,999,999,0.862,836,76
h6_2019_recovery_H6_low_slope_negative,recovery,Log export recovery,2019,H6_low_slope_negative,0.09033990109194491,0.03878466747361534,0.044467444140800706,0.8722036587218382,0.8079257958246232,-0.04890320000598591,0.1264725349532166,0.637,999,999,0.637,2200,200
h6_2019_recovery_H6_high_minus_low_positive,recovery,Log export recovery,2019,H6_high_minus_low_positive,0.09033990109194491,-0.09831832664864691,0.05923123153133648,-1.659906844864964,0.9507459182102622,-0.21511974129095668,0.01848308799366287,0.898,999,999,0.898,2200,200
h6_2019_diversification_H6_low_slope_negative,diversification,Partner diversification excluding US and China,2019,H6_low_slope_negative,0.09033990109194491,-0.012740834419624288,0.012879557456002007,-0.9892292078472718,0.16187613849604895,-0.03813876203205391,0.012657093192805334,0.365,999,999,0.365,2200,200
h6_2019_diversification_H6_high_minus_low_positive,diversification,Partner diversification excluding US and China,2019,H6_high_minus_low_positive,0.09033990109194491,0.013058835047443217,0.016567819860387283,0.7882047944440868,0.21575741564547804,-0.019612185750231655,0.045729855845118086,0.261,999,999,0.261,2200,200
