outcome_key,excluded_region,regime,estimate,p_cluster
gvc,East Asia & Pacific,R1,0.14965775974912698,0.5424668032754262
gvc,East Asia & Pacific,R2,-0.2947321025966189,0.16163234787601807
gvc,East Asia & Pacific,R2_minus_R1,-0.4443898623457459,0.17116648583075925
gvc,Europe & Central Asia,R1,0.37323994890413054,0.14585772345923537
gvc,Europe & Central Asia,R2,0.12652890871544364,0.9035914224011741
gvc,Europe & Central Asia,R2_minus_R1,-0.2467110401886869,0.8185020669428715
gvc,Latin America & Caribbean,R1,0.14852073712379063,0.6391624694505452
gvc,Latin America & Caribbean,R2,-0.10250534987627621,0.8109739534899434
gvc,Latin America & Caribbean,R2_minus_R1,-0.25102608700006684,0.6377597478371042
gvc,"Middle East, North Africa, Afghanistan & Pakistan",R1,0.3328625761756771,0.2179407249869252
gvc,"Middle East, North Africa, Afghanistan & Pakistan",R2,-0.037827966642445865,0.898310286377072
gvc,"Middle East, North Africa, Afghanistan & Pakistan",R2_minus_R1,-0.37069054281812297,0.35527657246752026
gvc,North America,R1,0.2586986087629146,0.2909571689865933
gvc,North America,R2,-0.12471809951221235,0.685927502578433
gvc,North America,R2_minus_R1,-0.38341670827512697,0.3310005882005217
gvc,South Asia,R1,0.26025982899847344,0.28844797584556614
gvc,South Asia,R2,-0.13226721596922897,0.6557195105492747
gvc,South Asia,R2_minus_R1,-0.3925270449677024,0.308552227771921
gvc,Sub-Saharan Africa,R1,0.10262567201283322,0.2828515882309295
gvc,Sub-Saharan Africa,R2,-0.1322672159692192,0.6564034091793308
gvc,Sub-Saharan Africa,R2_minus_R1,-0.23489288798205243,0.4524135569752593
recovery,East Asia & Pacific,R1,0.030339955998199514,0.29132345366712237
recovery,East Asia & Pacific,R2,-0.13555594795419637,0.35291378817177244
recovery,East Asia & Pacific,R2_minus_R1,-0.1658959039523959,0.2649382353527284
recovery,Europe & Central Asia,R1,0.026453102238175506,0.43828979933555096
recovery,Europe & Central Asia,R2,-0.1878400360367995,0.17006853351546378
recovery,Europe & Central Asia,R2_minus_R1,-0.214293138274975,0.12915677696806943
recovery,Latin America & Caribbean,R1,0.041031500415706586,0.3114336201680605
recovery,Latin America & Caribbean,R2,-0.20072642988885686,0.06678597889520252
recovery,Latin America & Caribbean,R2_minus_R1,-0.24175793030456344,0.03876704683180524
recovery,"Middle East, North Africa, Afghanistan & Pakistan",R1,0.0269333122207258,0.41060960561641824
recovery,"Middle East, North Africa, Afghanistan & Pakistan",R2,-0.054914127783408415,0.5752239988168011
recovery,"Middle East, North Africa, Afghanistan & Pakistan",R2_minus_R1,-0.08184744000413421,0.4284306495099637
recovery,North America,R1,0.02791217261500243,0.3689872809893702
recovery,North America,R2,-0.16107103650627264,0.15951303653754986
recovery,North America,R2_minus_R1,-0.18898320912127506,0.11147593254426502
recovery,South Asia,R1,0.02798668996563863,0.3659917990476575
recovery,South Asia,R2,-0.1643118784895856,0.1381046674657905
recovery,South Asia,R2_minus_R1,-0.19229856845522422,0.09492937186475262
recovery,Sub-Saharan Africa,R1,0.020841390000314087,0.6644687253810776
recovery,Sub-Saharan Africa,R2,-0.14060886590717508,0.2239135651815434
recovery,Sub-Saharan Africa,R2_minus_R1,-0.16145025590748918,0.1974882006697376
diversification,East Asia & Pacific,R1,-0.02195877070965296,0.06328913628986774
diversification,East Asia & Pacific,R2,0.02937870550878745,0.18349823521269748
diversification,East Asia & Pacific,R2_minus_R1,0.05133747621844041,0.041076442390313626
diversification,Europe & Central Asia,R1,-0.01702591569043696,0.23106018626423772
diversification,Europe & Central Asia,R2,0.04930964651247716,0.013092304521101605
diversification,Europe & Central Asia,R2_minus_R1,0.06633556220291412,0.006890967119440542
diversification,Latin America & Caribbean,R1,-0.027112066611274153,0.03401314200756038
diversification,Latin America & Caribbean,R2,0.029929425128365064,0.17406378955953164
diversification,Latin America & Caribbean,R2_minus_R1,0.05704149173963922,0.025647918167156215
diversification,"Middle East, North Africa, Afghanistan & Pakistan",R1,-0.017940654392943397,0.17168042352049437
diversification,"Middle East, North Africa, Afghanistan & Pakistan",R2,0.014475627288119537,0.366264420280219
diversification,"Middle East, North Africa, Afghanistan & Pakistan",R2_minus_R1,0.03241628168106293,0.11819011650983977
diversification,North America,R1,-0.017812018765647815,0.16963974406380208
diversification,North America,R2,0.02761574008145027,0.13356746110062898
diversification,North America,R2_minus_R1,0.045427758847098085,0.04417430609978155
diversification,South Asia,R1,-0.01805626099902569,0.16649340613766037
diversification,South Asia,R2,0.02497896438387971,0.15196721474723252
diversification,South Asia,R2_minus_R1,0.0430352253829054,0.048706282995192064
diversification,Sub-Saharan Africa,R1,0.008928472877025641,0.38100720071492644
diversification,Sub-Saharan Africa,R2,0.025962874324153437,0.13932019805068296
diversification,Sub-Saharan Africa,R2_minus_R1,0.017034401447127794,0.40065883687545367
