analysis,outcome_key,entity,estimate_2018,se_2018,p_wild_2018,estimate_2019,se_2019,p_wild_2019,sign_stability,n_obs_2018,n_obs_2019,n_countries_2018,n_countries_2019,pvalue_for_fdr
continuous_moderator,diversification,z_pre_export_concentration,-0.0036530987785688,0.0039821897372706,0.547,-0.0024634424435734,0.0036659909920981,0.621,True,2200,2200,200,200,0.621
continuous_moderator,diversification,z_pre_institutional_quality,0.0141474987210942,0.005832781194581,0.265,0.0118458143089275,0.0055508794434863,0.289,True,2134,2134,194,194,0.289
continuous_moderator,diversification,z_pre_log_population,-0.019881872363487,0.0120191374954906,0.159,-0.0198155374269762,0.011828443617275,0.13,True,2200,2200,200,200,0.13
continuous_moderator,diversification,z_pre_log_real_gdp_pc,0.0171445081737133,0.0083735349795333,0.142,0.0159797727272494,0.0077699582289705,0.121,True,2200,2200,200,200,0.121
continuous_moderator,diversification,z_pre_manufacturing_value_added_share,0.0059172700819802,0.0096989976217117,0.839,0.0047262871376169,0.0085901860411703,0.847,True,2057,2057,187,187,0.847
continuous_moderator,diversification,z_pre_real_gdp_pc_growth_mean,-0.0045222584853694,0.0111144823893411,0.739,-0.0054915353986557,0.0111203918160982,0.708,True,2200,2200,200,200,0.708
continuous_moderator,diversification,z_pre_real_gdp_pc_growth_slope,0.0045271436070023,0.0033809089933363,0.478,0.0022436528441889,0.0033008753980315,0.637,True,2200,2200,200,200,0.637
continuous_moderator,diversification,z_pre_real_gdp_pc_growth_volatility,-0.0087538579162541,0.0045880212575318,0.626,-0.0076412666279112,0.004265085036384,0.552,True,2200,2200,200,200,0.552
continuous_moderator,diversification,z_pre_resource_rents,-0.0265471066774061,0.0116183208040656,0.132,-0.0234221722279323,0.0105111888379263,0.123,True,2200,2200,200,200,0.123
continuous_moderator,diversification,z_pre_trade_openness,0.0240075378783842,0.0062982221162521,0.004,0.0263819717560251,0.0060871605089875,0.004,True,1958,1958,178,178,0.004
continuous_moderator,gvc,z_pre_export_concentration,-0.3468047352154842,0.3701460998190268,0.468,-0.3271135844874288,0.2749464713621976,0.332,True,836,836,76,76,0.332
continuous_moderator,gvc,z_pre_institutional_quality,-0.2496683316735385,0.1613409091417731,0.172,-0.2575159756813394,0.1186367948450155,0.044,True,836,836,76,76,0.044
continuous_moderator,gvc,z_pre_log_population,0.0498778192386331,0.3476030754517725,0.883,0.1492550278576324,0.2760795010668498,0.605,True,836,836,76,76,0.605
continuous_moderator,gvc,z_pre_log_real_gdp_pc,-0.2702529805273362,0.1924745087975334,0.252,-0.2710296453995954,0.1535158349002429,0.143,True,836,836,76,76,0.143
continuous_moderator,gvc,z_pre_manufacturing_value_added_share,0.0700399862344396,0.1313748006692054,0.605,0.0374568591808429,0.1086709515912698,0.742,True,825,825,75,75,0.742
continuous_moderator,gvc,z_pre_real_gdp_pc_growth_mean,0.4787723429592332,0.1902097782262145,0.078,0.3319723259969805,0.1833392446984783,0.17,True,836,836,76,76,0.17
continuous_moderator,gvc,z_pre_real_gdp_pc_growth_slope,-0.1326113083999054,0.443024431243298,0.791,-0.2954617510964753,0.3868247121728774,0.506,True,836,836,76,76,0.506
