analysis,outcome_key,outcome,entity,post_start,estimate,se,p_wild_bootstrap,n_obs,n_countries
focal,gvc,Adverse forward-GVC deviation stability,eci_exposure_post,2018,0.2307913595147387,0.2202037980789892,0.399,847,77
focal,gvc,Adverse forward-GVC deviation stability,eci_exposure_post_x_moderator,2018,0.0991398561258661,0.2010760357924362,0.66,847,77
focal,recovery,Log export recovery,eci_exposure_post,2018,-0.0525080289990436,0.0536231885028701,0.414,2222,202
focal,recovery,Log export recovery,eci_exposure_post_x_moderator,2018,-0.0085675923219399,0.037454743572858,0.824,2222,202
focal,diversification,Partner diversification excluding US and China,eci_exposure_post,2018,-0.01313782028715,0.013254891627136,0.462,2222,202
focal,diversification,Partner diversification excluding US and China,eci_exposure_post_x_moderator,2018,0.0066015825597687,0.0086630599009543,0.53,2222,202
regime,gvc,Adverse forward-GVC deviation stability,regime_slope_2018_gvc_R1,2018,0.25593228628504,0.240646522000801,0.353,847,77
regime,gvc,Adverse forward-GVC deviation stability,regime_slope_2018_gvc_R2,2018,-0.0928257990075648,0.284518803745692,0.746,847,77
regime,recovery,Log export recovery,regime_slope_2018_recovery_R1,2018,0.0284790198200765,0.0323927055718267,0.579,2222,202
regime,recovery,Log export recovery,regime_slope_2018_recovery_R2,2018,-0.1051420539249754,0.107059913193493,0.444,2222,202
regime,diversification,Partner diversification excluding US and China,regime_slope_2018_diversification_R1,2018,-0.018030173846911,0.0127803710528355,0.552,2222,202
regime,diversification,Partner diversification excluding US and China,regime_slope_2018_diversification_R2,2018,0.025450044553201,0.0174282653367736,0.206,2222,202
regime,gvc,Adverse forward-GVC deviation stability,pairwise_2018_gvc_R2_minus_R1,2018,-0.3487580852926048,0.3726415143753654,0.388,847,77
regime,gvc,Adverse forward-GVC deviation stability,omnibus_2018_gvc_regime_equality,2018,,,0.388,847,77
regime,recovery,Log export recovery,pairwise_2018_recovery_R2_minus_R1,2018,-0.1336210737450519,0.1118530839416658,0.33,2222,202
regime,recovery,Log export recovery,omnibus_2018_recovery_regime_equality,2018,,,0.33,2222,202
regime,diversification,Partner diversification excluding US and China,pairwise_2018_diversification_R2_minus_R1,2018,0.043480218400112,0.0216120872869128,0.117,2222,202
regime,diversification,Partner diversification excluding US and China,omnibus_2018_diversification_regime_equality,2018,,,0.117,2222,202
focal,gvc,Adverse forward-GVC deviation stability,eci_exposure_post,2019,0.14220957794806,0.1724901554878266,0.5,847,77
focal,gvc,Adverse forward-GVC deviation stability,eci_exposure_post_x_moderator,2019,0.0527345136682827,0.1818037805529224,0.786,847,77
focal,recovery,Log export recovery,eci_exposure_post,2019,-0.0571763465233258,0.0593041271138071,0.41,2222,202
focal,recovery,Log export recovery,eci_exposure_post_x_moderator,2019,-0.0191206031453375,0.0402343245103648,0.693,2222,202
focal,diversification,Partner diversification excluding US and China,eci_exposure_post,2019,-0.0132759435898109,0.0118457795124537,0.383,2222,202
focal,diversification,Partner diversification excluding US and China,eci_exposure_post_x_moderator,2019,0.0059036080009899,0.0085021143323275,0.548,2222,202
regime,gvc,Adverse forward-GVC deviation stability,regime_slope_2019_gvc_R1,2019,0.1809921244240054,0.1664470420327473,0.417,847,77
