sample,country_iso3_code,primary_structural_profile,alternative_structural_profile,reassigned_vs_primary
cleaned_primary,ABW,R2,R2,False
cleaned_primary,AFG,R1,R1,False
cleaned_primary,AGO,R1,R1,False
cleaned_primary,ALB,R1,R1,False
cleaned_primary,AND,R2,R2,False
cleaned_primary,ARE,R2,R2,False
cleaned_primary,ARG,R1,R1,False
cleaned_primary,ARM,R1,R1,False
cleaned_primary,ASM,R2,R2,False
cleaned_primary,ATG,R2,R2,False
cleaned_primary,AUS,R2,R2,False
cleaned_primary,AUT,R2,R2,False
cleaned_primary,AZE,R1,R1,False
cleaned_primary,BDI,R1,R1,False
cleaned_primary,BEL,R2,R2,False
cleaned_primary,BEN,R1,R1,False
cleaned_primary,BFA,R1,R1,False
cleaned_primary,BGD,R1,R1,False
cleaned_primary,BGR,R2,R2,False
cleaned_primary,BHR,R2,R2,False
cleaned_primary,BHS,R2,R2,False
cleaned_primary,BIH,R1,R1,False
cleaned_primary,BLR,R1,R1,False
cleaned_primary,BLZ,R2,R2,False
cleaned_primary,BMU,R2,R2,False
cleaned_primary,BOL,R1,R1,False
cleaned_primary,BRA,R1,R1,False
cleaned_primary,BRB,R2,R2,False
cleaned_primary,BRN,R2,R2,False
cleaned_primary,BTN,R2,R2,False
cleaned_primary,BWA,R2,R2,False
cleaned_primary,CAN,R2,R2,False
cleaned_primary,CHE,R2,R2,False
cleaned_primary,CHL,R2,R2,False
cleaned_primary,CIV,R1,R1,False
cleaned_primary,CMR,R1,R1,False
cleaned_primary,COD,R1,R1,False
cleaned_primary,COG,R1,R1,False
cleaned_primary,COL,R1,R1,False
cleaned_primary,COM,R1,R1,False
cleaned_primary,CPV,R2,R2,False
cleaned_primary,CRI,R2,R2,False
cleaned_primary,CUB,R1,R1,False
cleaned_primary,CUW,R2,R2,False
cleaned_primary,CYM,R2,R2,False
cleaned_primary,CYP,R2,R2,False
cleaned_primary,CZE,R2,R2,False
cleaned_primary,DEU,R2,R2,False
cleaned_primary,DJI,R2,R2,False
cleaned_primary,DMA,R2,R2,False
cleaned_primary,DNK,R2,R2,False
cleaned_primary,DOM,R1,R1,False
cleaned_primary,DZA,R1,R1,False
cleaned_primary,ECU,R1,R1,False
cleaned_primary,EGY,R1,R1,False
cleaned_primary,ESP,R2,R2,False
cleaned_primary,EST,R2,R2,False
cleaned_primary,ETH,R1,R1,False
cleaned_primary,FIN,R2,R2,False
cleaned_primary,FJI,R2,R2,False
cleaned_primary,FRA,R2,R2,False
cleaned_primary,FRO,R2,R2,False
cleaned_primary,FSM,R2,R2,False
cleaned_primary,GAB,R1,R1,False
