country_iso3_code,country_name,wb_region,pre_log_real_gdp_pc,pre_real_gdp_pc_growth_mean,pre_real_gdp_pc_growth_slope,pre_real_gdp_pc_growth_volatility,pre_manufacturing_value_added_share,pre_trade_openness,pre_resource_rents,pre_institutional_quality,pre_export_concentration,pre_log_population,eci_pre,coi_pre,exposure_pre,gvc_pre_mean,gvc_pre_slope,gvc_pre_n,recovery_pre_mean,recovery_pre_slope,recovery_pre_n,diversification_pre_mean,diversification_pre_slope,diversification_pre_n,exposure_tercile,eci_tercile_legacy_reference,coi_tercile_legacy_reference,z_pre_log_real_gdp_pc,z_pre_real_gdp_pc_growth_mean,z_pre_real_gdp_pc_growth_slope,z_pre_real_gdp_pc_growth_volatility,z_pre_manufacturing_value_added_share,z_pre_trade_openness,z_pre_resource_rents,z_pre_institutional_quality,z_pre_export_concentration,z_pre_log_population,z_eci_pre,z_coi_pre,z_exposure_pre,structural_complete_case
ABW,Aruba,Latin America & Caribbean,10.206003662946179,0.023021855684745775,-0.002510971119033777,0.018994494553299435,3.2836150547292497,147.49417315646417,0.0029421955344923166,1.1874318444444445,0.14095600136536027,11.580397646802028,0.8849999999999999,0.071,0.4475506686847455,,,0,0.4966230377838343,-0.33738201478694396,6,0.8670734667472354,-0.007433118542797191,6,high,high,middle,1.0458823141849585,0.23494235832610888,-0.19993998775809346,-0.19540514955250562,-1.2475481993650517,0.9683293620986408,-0.677200609987272,1.3431073288914326,-0.33679355129432764,-1.5681023097401237,0.9148751763840055,0.31150094026758435,1.3157393356692113,1
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",6.344663402816585,-0.0021770843091356794,-0.0038102579088413594,0.01390062215739309,9.088027504598577,,0.603552036171564,-1.620635702777774,0.2786781959410914,17.31663840755151,-1.425333333333333,-0.976,0.11298974045588599,,,0,-0.11120548649920418,0.07958009236362198,6,0.6935023102613785,-0.007825646709863946,6,low,low,low,-1.6686097680238907,-0.6103110257131847,-0.2704010295174309,-0.3533823242047609,-0.30514147544961434,,-0.6108623803549018,-1.747129695952173,0.5254090770886369,0.8868740189989205,-1.4208529356503212,-0.881240277121686,-0.662521917209306,0
AGO,Angola,Sub-Saharan Africa,8.186393368102179,-0.020182075197881132,-0.01532491141528284,0.027774051352975768,5.103336119804868,62.75478529014424,24.399404258443752,-1.0854345361111093,0.25528852901128135,17.134272962514867,-0.6973333333333334,-1.2636666666666667,0.47021839078480204,-1.7664444444444432,0.6016952380953051,6,0.3824708465202722,-0.21462928377807908,6,0.9033289106966792,-0.001704584798469569,6,high,low,low,-0.3738879689750976,-1.214256250472798,-0.8948470624689615,0.07687681397419983,-0.9520975603574066,-0.5246138707059085,2.017424074866401,-1.158148685645323,0.3789792851004252,0.808825891415374,-0.6848508873624887,-1.2089498188621954,1.4497737447645997,1
AIA,Anguilla,,,,,,,,,,0.27403789645894433,,0.852,-0.2856666666666667,0.5144204805249987,,,0,-0.6622341535370836,0.2933072777997114,6,0.7255653599759421,-0.07491320954647586,6,high,high,middle,,,,,,,,,0.4963587237863499,,0.8815124461731559,-0.09481332353582839,1.7111410296182383,0
ALB,Albania,Europe & Central Asia,8.33195745129933,0.04178433045091161,0.004694203654109837,0.008722626340257602,6.021642696636455,74.97024318204194,2.35262149895214,-0.14534936111111096,0.23545757929849986,14.82800127975901,-0.4213333333333333,-0.25333333333333335,0.1081372377458165,,,0,0.044148218924130234,-0.0010227590020567545,6,0.7235858732582582,-0.008524395052780295,6,low,middle,middle,-0.27155755397059483,0.864296025301952,0.190800628213983,-0.5139684335485372,-0.8030009377282998,-0.3094012564244927,-0.4176751166533444,-0.1235987806171021,0.25482865695828855,-0.17820422551211607,-0.4058171437808377,-0.05797922672374332,-0.6912148017659026,1
AND,Andorra,Europe & Central Asia,10.54132630147989,0.01670503710763427,-0.001533651167321832,0.030425608740764776,3.7391520499088267,,0.0,1.4183335555555556,0.2937329060517456,11.211311507988697,1.1080000000000003,0.8106666666666665,0.0075082148144855,,,0,0.5426657937251284,-0.24683483402726414,6,0.6961138271444905,0.06114472786066584,6,low,high,high,1.2816115133658121,0.023055974217800635,-0.14693938583555163,0.1591100369516455,-1.1735870308648477,,-0.6775255797593016,1.5972112650596146,0.619658305885322,-1.726062509083994,1.1403263532633834,1.1541283714636335,-1.2862349615733857,0
ANS,Undeclared,,,,,,,,,,,,,,0.0,,,0,,,0,,,0,low,,,,,,,,,,,,,,,-1.3306310915232185,0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",10.699022767025442,-0.00305122531226516,-0.009388796902541432,0.022721147960882992,8.410399186393912,161.45152298853068,19.958312519625533,0.658926913888889,0.055117011155932955,15.92882326085398,0.6023333333333333,0.20099999999999987,0.1716374011784639,-0.24544444444444422,-0.12622857142860447,6,0.13783330376931838,-0.07864034285208014,6,0.9402538157411793,0.004453048570808609,6,middle,high,high,1.3924708985217202,-0.6396325226175029,-0.5729282868363516,-0.07982978164353025,-0.41516147986986573,1.214230725140601,1.5268990390533914,0.7614954279132076,-0.8741840801361448,0.2929217293529082,0.6291014873052132,0.45959679342957577,-0.315737863872162,1
ARG,Argentina,Latin America & Caribbean,9.51796809459904,-0.0034364387772541248,0.001534025253851919,0.027324379225559327,14.250902247241116,27.022830015763162,2.135645671955334,-0.15594418055555534,0.06179492985914479,17.582110978333095,0.2403333333333333,0.1576666666666666,0.22967574386156,-0.5328888888888889,0.1802857142857581,6,0.127355058840091,-0.07456975775429422,6,0.9300689092411302,0.005472911314074334,6,middle,middle,high,0.5621986767078269,-0.6525538195029468,0.019422404426680886,0.06293105195114497,0.5331049300602231,-1.1541414394666993,-0.4416404120283252,-0.13525822355006942,-0.8323773177927599,1.0004900446123821,0.26312244681043906,0.41023150904224526,0.027443287373072837,1
ARM,Armenia,Europe & Central Asia,8.143360166075654,0.037708650775182664,0.00549742476629573,0.02522689062726246,9.81594775618107,77.37633490419019,0.6869836626978382,-0.2144482638888887,0.1056428697222238,14.916117697877787,-0.0786666666666666,-0.5996666666666667,0.1037333032830861,,,0,-0.13613903503329655,0.09466046967124818,6,0.8748353006983969,-0.0027241169014659583,6,low,middle,middle,-0.4041399743161588,0.7275846382750956,0.2343597537062796,-0.002118736671465559,-0.1869560526371811,-0.26701059908631297,-0.6016472359722665,-0.19964110657581574,-0.5578695733032825,-0.1404924679905213,-0.05938394522777339,-0.45252176886556184,-0.7172552989451676,1
