country_iso3_code,consensus_cluster_numeric,assignment_probability,pre_log_real_gdp_pc,wb_region,exposure_tercile,cluster_imputed_fields,structural_profile,structural_regime,sample,selected_k
ABW,0,1.0,10.206003662946179,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
AFG,1,1.0,6.344663402816585,"Middle East, North Africa, Afghanistan & Pakistan",low,1,R1,R1,cleaned_primary,2
AGO,1,1.0,8.186393368102179,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
ALB,0,1.0,8.33195745129933,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
AND,0,1.0,10.54132630147989,Europe & Central Asia,low,1,R2,R2,cleaned_primary,2
ARE,0,1.0,10.699022767025442,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R2,R2,cleaned_primary,2
ARG,1,1.0,9.51796809459904,Latin America & Caribbean,middle,0,R1,R1,cleaned_primary,2
ARM,1,1.0,8.143360166075654,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
ASM,0,1.0,9.41245158699119,East Asia & Pacific,low,1,R2,R2,cleaned_primary,2
ATG,0,1.0,9.694585690293565,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
AUS,0,1.0,10.946579550967622,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
AUT,0,1.0,10.696607943089171,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
AZE,1,1.0,8.585507227554196,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
BDI,1,1.0,5.55483038993643,Sub-Saharan Africa,low,1,R1,R1,cleaned_primary,2
BEL,0,1.0,10.614301807080388,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
BEN,1,1.0,6.9043668025904745,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
BFA,1,1.0,6.447721023706862,Sub-Saharan Africa,low,0,R1,R1,cleaned_primary,2
BGD,1,1.0,7.0873334404112756,South Asia,high,0,R1,R1,cleaned_primary,2
BGR,0,1.0,8.879600199286097,Europe & Central Asia,low,1,R2,R2,cleaned_primary,2
BHR,0,1.0,10.081292782568426,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R2,R2,cleaned_primary,2
BHS,0,1.0,10.333141426404827,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
BIH,1,1.0,8.427501254327861,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
BLR,1,1.0,8.702734093488298,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
BLZ,0,1.0,8.698355115481851,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
BMU,0,1.0,11.5720310916245,North America,high,0,R2,R2,cleaned_primary,2
BOL,1,1.0,7.981364746309544,Latin America & Caribbean,middle,0,R1,R1,cleaned_primary,2
BRA,1,1.0,9.104637344842866,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
BRB,0,1.0,9.938310997294442,Latin America & Caribbean,high,1,R2,R2,cleaned_primary,2
BRN,0,1.0,10.344488853357378,East Asia & Pacific,middle,0,R2,R2,cleaned_primary,2
BTN,0,1.0,7.973167356513414,South Asia,low,0,R2,R2,cleaned_primary,2
BWA,0,1.0,8.748934220545607,Sub-Saharan Africa,low,0,R2,R2,cleaned_primary,2
CAF,1,1.0,5.97186945678721,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
CAN,0,1.0,10.677720974859874,North America,high,0,R2,R2,cleaned_primary,2
CHE,0,1.0,11.332967267005763,Europe & Central Asia,middle,0,R2,R2,cleaned_primary,2
CHL,0,1.0,9.494934356137847,Latin America & Caribbean,high,0,R2,R2,cleaned_primary,2
CIV,1,1.0,7.468536430889671,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
CMR,1,1.0,7.237020374835161,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
COD,1,1.0,6.1604075678536825,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
COG,1,1.0,7.749342012238482,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
COL,1,1.0,8.714817667502437,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
