country_left,country_right,co_clustering_probability
ABW,ABW,1.0
ABW,AFG,0.0
ABW,AGO,0.0
ABW,ALB,1.0
ABW,AND,1.0
ABW,ARE,1.0
ABW,ARG,0.0
ABW,ARM,0.0
ABW,ASM,1.0
ABW,ATG,1.0
ABW,AUS,1.0
ABW,AUT,1.0
ABW,AZE,0.0
ABW,BDI,0.0
ABW,BEL,1.0
ABW,BEN,0.0
ABW,BFA,0.0
ABW,BGD,0.0
ABW,BGR,1.0
ABW,BHR,1.0
ABW,BHS,1.0
ABW,BIH,0.0
ABW,BLR,0.0
ABW,BLZ,1.0
ABW,BMU,1.0
ABW,BOL,0.0
ABW,BRA,0.0
ABW,BRB,1.0
ABW,BRN,1.0
ABW,BTN,1.0
ABW,BWA,1.0
ABW,CAF,0.0
ABW,CAN,1.0
ABW,CHE,1.0
ABW,CHL,1.0
ABW,CIV,0.0
ABW,CMR,0.0
ABW,COD,0.0
ABW,COG,0.0
ABW,COL,0.0
ABW,COM,0.0
ABW,CPV,1.0
ABW,CRI,1.0
ABW,CUB,0.0
ABW,CUW,1.0
ABW,CYM,1.0
ABW,CYP,1.0
ABW,CZE,1.0
ABW,DEU,1.0
ABW,DJI,1.0
ABW,DMA,1.0
ABW,DNK,1.0
ABW,DOM,0.0
ABW,DZA,0.0
ABW,ECU,0.0
ABW,EGY,0.0
ABW,ESP,1.0
ABW,EST,1.0
ABW,ETH,0.0
ABW,FIN,1.0
ABW,FJI,0.0
ABW,FRA,1.0
ABW,FRO,1.0
ABW,FSM,1.0
ABW,GAB,0.0
ABW,GBR,1.0
ABW,GEO,1.0
ABW,GHA,0.0
ABW,GIN,0.0
ABW,GMB,0.0
ABW,GNB,0.0
ABW,GNQ,0.0
ABW,GRC,1.0
ABW,GRD,1.0
ABW,GRL,1.0
ABW,GTM,0.0
ABW,GUM,1.0
ABW,GUY,0.0
ABW,HKG,1.0
ABW,HND,0.0
ABW,HRV,1.0
ABW,HTI,0.0
ABW,HUN,1.0
ABW,IDN,0.0
ABW,IND,0.0
ABW,IRL,1.0
ABW,IRN,0.0
ABW,IRQ,0.0
ABW,ISL,1.0
ABW,ISR,1.0
ABW,ITA,1.0
ABW,JAM,1.0
ABW,JOR,0.0
ABW,JPN,1.0
ABW,KAZ,0.0
ABW,KEN,0.0
ABW,KGZ,0.0
ABW,KHM,0.0
ABW,KIR,1.0
ABW,KNA,1.0
ABW,KOR,1.0
ABW,KWT,0.0
ABW,LAO,0.0
ABW,LBN,0.0
ABW,LBR,0.0
ABW,LBY,0.0
ABW,LCA,1.0
ABW,LKA,0.0
ABW,LSO,0.0
ABW,LTU,1.0
ABW,LUX,1.0
ABW,LVA,1.0
ABW,MAC,1.0
ABW,MAR,0.0
ABW,MDA,0.0
ABW,MDG,0.0
ABW,MDV,1.0
ABW,MEX,0.0
ABW,MHL,1.0
ABW,MKD,1.0
ABW,MLI,0.0
ABW,MLT,1.0
ABW,MMR,0.0
ABW,MNE,1.0
ABW,MNG,0.0
ABW,MNP,1.0
ABW,MOZ,0.0
ABW,MRT,0.0
ABW,MUS,1.0
ABW,MWI,0.0
ABW,MYS,0.0
ABW,NAM,1.0
ABW,NER,0.0
ABW,NGA,0.0
ABW,NIC,0.0
ABW,NLD,1.0
ABW,NOR,1.0
ABW,NPL,0.0
ABW,NRU,1.0
ABW,NZL,1.0
ABW,OMN,0.0
ABW,PAK,0.0
ABW,PAN,1.0
ABW,PER,0.0
ABW,PHL,0.0
ABW,PLW,1.0
ABW,PNG,0.0
ABW,POL,1.0
ABW,PRT,1.0
ABW,PRY,0.0
ABW,PSE,0.0
ABW,PYF,1.0
ABW,QAT,1.0
ABW,ROU,0.0
ABW,RUS,0.0
ABW,RWA,0.0
ABW,SAU,0.0
ABW,SDN,0.0
ABW,SEN,0.0
ABW,SGP,1.0
ABW,SLB,0.0
ABW,SLE,0.0
ABW,SLV,0.0
ABW,SMR,1.0
ABW,SOM,0.0
ABW,SRB,0.0
ABW,SSD,0.0
ABW,STP,1.0
ABW,SUR,0.0
ABW,SVK,1.0
ABW,SVN,1.0
ABW,SWE,1.0
ABW,SWZ,0.0
ABW,SXM,1.0
ABW,SYC,1.0
ABW,SYR,0.0
ABW,TCA,1.0
ABW,TCD,0.0
ABW,TGO,0.0
ABW,THA,0.0
ABW,TJK,0.0
ABW,TKM,0.0
ABW,TLS,0.0
ABW,TON,1.0
ABW,TTO,0.0
ABW,TUN,0.0
ABW,TUR,0.0
ABW,TUV,1.0
ABW,TZA,0.0
ABW,UGA,0.0
ABW,UKR,0.0
ABW,URY,1.0
ABW,UZB,0.0
ABW,VCT,1.0
ABW,VEN,0.0
ABW,VNM,0.0
ABW,VUT,1.0
ABW,WSM,1.0
ABW,YEM,0.0
ABW,ZAF,0.0
ABW,ZMB,0.0
ABW,ZWE,0.0
AFG,ABW,0.0
AFG,AFG,1.0
AFG,AGO,1.0
AFG,ALB,0.0
AFG,AND,0.0
AFG,ARE,0.0
AFG,ARG,1.0
AFG,ARM,1.0
AFG,ASM,0.0
AFG,ATG,0.0
AFG,AUS,0.0
AFG,AUT,0.0
AFG,AZE,1.0
AFG,BDI,1.0
AFG,BEL,0.0
AFG,BEN,1.0
AFG,BFA,1.0
AFG,BGD,1.0
AFG,BGR,0.0
AFG,BHR,0.0
AFG,BHS,0.0
AFG,BIH,1.0
AFG,BLR,1.0
AFG,BLZ,0.0
AFG,BMU,0.0
AFG,BOL,1.0
AFG,BRA,1.0
AFG,BRB,0.0
AFG,BRN,0.0
AFG,BTN,0.0
AFG,BWA,0.0
AFG,CAF,1.0
AFG,CAN,0.0
AFG,CHE,0.0
AFG,CHL,0.0
AFG,CIV,1.0
AFG,CMR,1.0
AFG,COD,1.0
AFG,COG,1.0
AFG,COL,1.0
AFG,COM,1.0
AFG,CPV,0.0
AFG,CRI,0.0
AFG,CUB,1.0
AFG,CUW,0.0
AFG,CYM,0.0
AFG,CYP,0.0
AFG,CZE,0.0
AFG,DEU,0.0
AFG,DJI,0.0
AFG,DMA,0.0
AFG,DNK,0.0
AFG,DOM,1.0
AFG,DZA,1.0
AFG,ECU,1.0
AFG,EGY,1.0
AFG,ESP,0.0
AFG,EST,0.0
AFG,ETH,1.0
AFG,FIN,0.0
AFG,FJI,1.0
AFG,FRA,0.0
AFG,FRO,0.0
AFG,FSM,0.0
AFG,GAB,1.0
