test_id,outcome_key,outcome,regime,event_year,estimate,se,p_cluster,n_obs,n_countries
event_gvc_R1_2012,gvc,Adverse forward-GVC deviation stability,R1,2012,0.15657781953251318,0.3158337497350606,0.6231623693373599,396,36
event_gvc_R1_2013,gvc,Adverse forward-GVC deviation stability,R1,2013,0.07528355345306034,0.2412606941228509,0.7568597735606152,396,36
event_gvc_R1_2014,gvc,Adverse forward-GVC deviation stability,R1,2014,0.2662741712968696,0.18865048222404032,0.16693503890137187,396,36
event_gvc_R1_2015,gvc,Adverse forward-GVC deviation stability,R1,2015,0.23930863252578471,0.15295659620458282,0.12668568233098504,396,36
event_gvc_R1_2016,gvc,Adverse forward-GVC deviation stability,R1,2016,-0.04436574728567082,0.15660943547738665,0.7786241520297986,396,36
event_gvc_R1_2018,gvc,Adverse forward-GVC deviation stability,R1,2018,-0.1333030170961212,0.09198010678947818,0.15616673865460068,396,36
event_gvc_R1_2019,gvc,Adverse forward-GVC deviation stability,R1,2019,-0.2554695302396342,0.1729025087910532,0.14847507912247043,396,36
event_gvc_R1_2020,gvc,Adverse forward-GVC deviation stability,R1,2020,-0.044478910014346444,0.09785391694177474,0.6522440293701647,396,36
event_gvc_R1_2021,gvc,Adverse forward-GVC deviation stability,R1,2021,-0.11625191063811836,0.11203745419394623,0.3065643921568626,396,36
event_gvc_R1_2022,gvc,Adverse forward-GVC deviation stability,R1,2022,0.07757722516946403,0.09797116642534706,0.43378961780775915,396,36
event_gvc_R2_2012,gvc,Adverse forward-GVC deviation stability,R2,2012,0.00041506357818926753,0.21230976536014748,0.9984496257066742,462,42
event_gvc_R2_2013,gvc,Adverse forward-GVC deviation stability,R2,2013,0.07486371379286808,0.16744370636301603,0.6571575053169394,462,42
event_gvc_R2_2014,gvc,Adverse forward-GVC deviation stability,R2,2014,0.03725701993935585,0.15013419512127443,0.8052508047081207,462,42
event_gvc_R2_2015,gvc,Adverse forward-GVC deviation stability,R2,2015,-0.04965747428238067,0.054960704041711335,0.3715340950675874,462,42
event_gvc_R2_2016,gvc,Adverse forward-GVC deviation stability,R2,2016,-0.07238426771412215,0.0898559045423352,0.42514440630946193,462,42
event_gvc_R2_2018,gvc,Adverse forward-GVC deviation stability,R2,2018,-0.052438124010584536,0.057915562688482684,0.3705311335503562,462,42
event_gvc_R2_2019,gvc,Adverse forward-GVC deviation stability,R2,2019,0.07152340888489093,0.11059016491910743,0.5214027202609428,462,42
event_gvc_R2_2020,gvc,Adverse forward-GVC deviation stability,R2,2020,0.10636971313908133,0.09382957466451024,0.2635276212976941,462,42
event_gvc_R2_2021,gvc,Adverse forward-GVC deviation stability,R2,2021,0.07044122802480969,0.09212723491220036,0.4488835573459044,462,42
event_gvc_R2_2022,gvc,Adverse forward-GVC deviation stability,R2,2022,0.04409229095862868,0.07669646145030541,0.568504878897996,462,42
event_recovery_R1_2012,recovery,Log export recovery,R1,2012,0.07650666945007008,0.13524572539589136,0.5725600975613879,1473,134
event_recovery_R1_2013,recovery,Log export recovery,R1,2013,0.13773679918891424,0.09475832067010867,0.14842420786574667,1473,134
event_recovery_R1_2014,recovery,Log export recovery,R1,2014,0.07146589059500863,0.05646819821727617,0.2078705791150614,1473,134
event_recovery_R1_2015,recovery,Log export recovery,R1,2015,-0.01825195507877521,0.07007968697600864,0.7949227705110794,1473,134
event_recovery_R1_2016,recovery,Log export recovery,R1,2016,0.011574528720490695,0.06112241758217066,0.8500943851681395,1473,134
event_recovery_R1_2018,recovery,Log export recovery,R1,2018,-0.132446646923006,0.06084706873768367,0.03126741526317295,1473,134
event_recovery_R1_2019,recovery,Log export recovery,R1,2019,-0.10108022969525035,0.05011822993633616,0.04572578305784274,1473,134
event_recovery_R1_2020,recovery,Log export recovery,R1,2020,-0.13936454712834573,0.07046440890370986,0.05001835002324039,1473,134
